key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
177312-0004591,5-10,5.341210532032038,cinque,0,-5.60625,13.9553125,0.7779687500000001,-0.432968749999999,carla_p6
177312-0004591,5-10,5.341210532032038,cinque,1,-6.47890625,15.629999999999999,0.578125,-0.32312500000000005,carla_p6
177312-0004591,5-10,5.341210532032038,cinque,5,-1.4149609375,14.935625,0.9725683593750001,-0.322734375,carla_p6
177312-0004591,5-10,5.341210532032038,lebowski,0,-5.64015625,13.8409375,2.14484375,0.19796875000000003,carla_p6
177312-0004591,5-10,5.341210532032038,lebowski,1,-6.6693750000000005,17.54875,1.65671875,-0.192343749999999,carla_p6
177312-0004591,5-10,5.341210532032038,lebowski,5,-3.102109375,16.62375,3.460615234375,-0.08375,carla_p6
253410-0006891,5-10,7.973545218691852,cinque,0,-5.4134375,19.91625,1.436718749999999,-0.26171875,carla_p6
253410-0006891,5-10,7.973545218691852,cinque,1,-0.55390625,25.830625,0.27823242187499997,-0.466953124999999,carla_p6
253410-0006891,5-10,7.973545218691852,cinque,5,-0.02665771484375,23.639375,0.215969238281249,-1.26224853515625,carla_p6
253410-0006891,5-10,7.973545218691852,lebowski,0,-6.3709375,17.60875,1.014375,-1.12875,carla_p6
253410-0006891,5-10,7.973545218691852,lebowski,1,-1.8362109375000002,26.685625,2.036181640625,-1.6276171875,carla_p6
253410-0006891,5-10,7.973545218691852,lebowski,5,-0.1531396484375,24.1375,1.0115185546875,-0.9784228515625001,carla_p6
2436710-0002512,5-10,7.324104103594424,cinque,0,-0.24169921874999997,21.10875,0.9960546875,-1.40623046875,carla_p6
2436710-0002512,5-10,7.324104103594424,cinque,1,-0.21882324218750002,22.023125,0.6743115234375,-1.7114111328125001,carla_p6
2436710-0002512,5-10,7.324104103594424,cinque,5,4.5740625,22.376875,0.46406249999999905,-0.35390625000000003,carla_p6
2436710-0002512,5-10,7.324104103594424,lebowski,0,-0.11170166015625,20.436875,1.09490478515625,-0.75163818359375,carla_p6
2436710-0002512,5-10,7.324104103594424,lebowski,1,-0.09705078125,21.94375,1.107636718749999,-1.20857421875,carla_p6
2436710-0002512,5-10,7.324104103594424,lebowski,5,4.34640625,21.995,2.464531249999999,0.53515625,carla_p6
253412-0006006,5-10,7.959522226834986,cinque,0,-10.63875,29.078125,0.584062499999999,-0.5521875,carla_p6
253412-0006006,5-10,7.959522226834986,cinque,1,-7.7203125,29.1625,0.55953125,-0.9368749999999981,carla_p6
253412-0006006,5-10,7.959522226834986,cinque,5,-0.30595703124999996,23.61125,0.250440673828125,-0.82642578125,carla_p6
253412-0006006,5-10,7.959522226834986,lebowski,0,-9.956875,27.321875,0.325625,-0.49000000000000005,carla_p6
253412-0006006,5-10,7.959522226834986,lebowski,1,-8.1775,21.69375,0.425937499999999,-1.0271875,carla_p6
253412-0006006,5-10,7.959522226834986,lebowski,5,-0.2046435546875,22.615,1.1576904296875,-1.2935595703125,carla_p6
251312-0005083,5-10,6.542783094400887,cinque,0,-0.4455078125,20.283125,0.6076025390625001,-1.2007421875,carla_p6
251312-0005083,5-10,6.542783094400887,cinque,1,-0.4790625,21.4425,0.2544384765625,-1.710078125,carla_p6
251312-0005083,5-10,6.542783094400887,cinque,5,-12.0453125,13.6090625,0.681874999999999,-0.1203125,carla_p6
251312-0005083,5-10,6.542783094400887,lebowski,0,-0.188388671875,15.02625,0.860283203125,-0.399794921875,carla_p6
251312-0005083,5-10,6.542783094400887,lebowski,1,-0.30966796874999997,21.365625,0.8987695312499999,-0.8405664062499991,carla_p6
251312-0005083,5-10,6.542783094400887,lebowski,5,-3.700078125,21.355,1.065546875,-0.14804687499999902,carla_p6
253910-0004260,5-10,7.718179250638075,cinque,0,-0.6929296875000001,19.735625,0.465620117187499,-2.1405078125,carla_p6
253910-0004260,5-10,7.718179250638075,cinque,1,-0.50322265625,21.82375,0.37128906249999905,-2.08505859375,carla_p6
253910-0004260,5-10,7.718179250638075,cinque,5,-0.1315283203125,18.729375,0.07018798828125,-0.5988818359375,carla_p6
253910-0004260,5-10,7.718179250638075,lebowski,0,-0.8866406250000001,22.260625,1.0276904296875,-1.886015624999999,carla_p6
253910-0004260,5-10,7.718179250638075,lebowski,1,-0.5964843750000001,23.508125,1.28810546875,-1.9737500000000001,carla_p6
253910-0004260,5-10,7.718179250638075,lebowski,5,0.057943115234375,14.2546875,0.734478759765625,-0.460823974609375,carla_p6
2436712-0002191,5-10,7.210737704558472,cinque,0,-1.1754296875,9.784375,1.17250244140625,-1.0887109375,carla_p6
2436712-0002191,5-10,7.210737704558472,cinque,1,5.56234375,6.751875,0.516718749999999,-0.5825,carla_p6
2436712-0002191,5-10,7.210737704558472,cinque,5,-0.1703759765625,24.538125,1.2836181640625,-0.5229248046875,carla_p6
2436712-0002191,5-10,7.210737704558472,lebowski,0,-2.58265625,13.05,1.8855859375000001,-1.3050000000000002,carla_p6
2436712-0002191,5-10,7.210737704558472,lebowski,1,-1.3083984375,10.1646875,0.86134765625,-0.25507812500000004,carla_p6
2436712-0002191,5-10,7.210737704558472,lebowski,5,-0.410400390625,23.17125,1.646025390625,-0.869638671875,carla_p6
253411-0005036,5-10,8.997992674686715,cinque,0,-12.8478125,17.639375,1.133124999999999,0.178124999999999,carla_p6
253411-0005036,5-10,8.997992674686715,cinque,1,-1.2951953125,31.38375,1.204421386718749,-1.5011328124999999,carla_p6
253411-0005036,5-10,8.997992674686715,cinque,5,0.006406593322753001,37.2625,1.162343406677246,-0.33785190582275304,carla_p6
253411-0005036,5-10,8.997992674686715,lebowski,0,-8.493125,23.136875,1.461718749999999,-1.6306250000000002,carla_p6
253411-0005036,5-10,8.997992674686715,lebowski,1,-0.80005859375,30.7525,2.13318359375,-1.17892578125,carla_p6
253411-0005036,5-10,8.997992674686715,lebowski,5,0.1245654296875,36.66875,3.0633251953125,-0.3603466796875,carla_p6
264310-0006043,5-10,6.71371044203522,cinque,0,0.178515625,7.51265625,0.8705859375,-0.2528759765625,carla_p6
264310-0006043,5-10,6.71371044203522,cinque,1,-0.034620361328125,1.5875,0.377520751953125,-0.049368896484374,carla_p6
264310-0006043,5-10,6.71371044203522,cinque,5,0.014111328125,0.51796875,0.564599609375,-0.127368164062499,carla_p6
264310-0006043,5-10,6.71371044203522,lebowski,0,0.17722656250000002,7.6684375,0.9904296875,-0.2839501953125,carla_p6
264310-0006043,5-10,6.71371044203522,lebowski,1,0.036002197265625,2.5984375,0.44114624023437504,-0.131839599609375,carla_p6
264310-0006043,5-10,6.71371044203522,lebowski,5,0.006140594482421001,0.325927734375,0.727003936767578,-0.26950973510742104,carla_p6
266811-0008706,5-10,5.058377753048086,cinque,0,-0.222373046875,9.479375,1.3451074218749999,-1.003486328125,carla_p6
266811-0008706,5-10,5.058377753048086,cinque,1,-0.128046875,5.77921875,1.0534765625,-0.54404296875,carla_p6
266811-0008706,5-10,5.058377753048086,cinque,5,-0.008712158203125,0.1204248046875,1.095430908203125,0.0032925415039060002,carla_p6
266811-0008706,5-10,5.058377753048086,lebowski,0,-0.07454589843750001,6.50734375,0.220600585937499,-0.058222656250000004,carla_p6
266811-0008706,5-10,5.058377753048086,lebowski,1,-0.048341064453125006,3.47734375,0.13230834960937501,-0.011812744140624,carla_p6
266811-0008706,5-10,5.058377753048086,lebowski,5,0.0345703125,1.0906640625,0.331279296875,-0.055375366210937006,carla_p6
250911-0005929,5-10,6.245830264628697,cinque,0,-2.637890625,19.295,-0.147578125,-0.281953125,carla_p6
250911-0005929,5-10,6.245830264628697,cinque,1,-6.4471875,24.99125,0.0012499999999990002,-0.43062500000000004,carla_p6
250911-0005929,5-10,6.245830264628697,cinque,5,-1.072734375,30.1575,0.117226562499999,-0.248554687499999,carla_p6
250911-0005929,5-10,6.245830264628697,lebowski,0,-4.86125,26.23875,0.45234374999999905,-0.451406249999999,carla_p6
250911-0005929,5-10,6.245830264628697,lebowski,1,-7.3421875,29.62,0.6162499999999991,-0.45281250000000006,carla_p6
250911-0005929,5-10,6.245830264628697,lebowski,5,-1.547734375,31.81625,1.668642578125,-0.742890624999999,carla_p6
255412-0005888,5-10,5.625737056221891,cinque,0,-8.0221875,22.093125,0.9460937499999991,-0.40718750000000004,carla_p6
255412-0005888,5-10,5.625737056221891,cinque,1,-7.1446875,24.74,0.45203125000000005,-0.754375,carla_p6
