set,probe,feature,dim,n,pos_rate,n_routes,auc_mean,auc_sd,auc_oof,fold_aucs,verdict
carla_p5v1_ba,a,cinque temporal,512,37174,0.1894,101,0.9737,0.0255,0.9689,"[0.9617, 0.9869, 0.9953, 0.9955, 0.929]",有信息，可激发
carla_p5v1_ba,a,lebowski temporal,512,37174,0.1894,101,0.9715,0.0257,0.9676,"[0.9461, 0.9883, 0.9946, 0.9938, 0.9349]",有信息，可激发
carla_p5v1_ba,a,cinque vision (mean),512,37174,0.1894,101,0.9718,0.0198,0.9674,"[0.9477, 0.9923, 0.9893, 0.9813, 0.9481]",有信息，可激发
carla_p5v1_ba,a,lebowski vision (view_40),3072,37174,0.1894,101,0.9732,0.0218,0.9709,"[0.9532, 0.9844, 0.9967, 0.9901, 0.9414]",有信息，可激发
carla_p5v1_ba,a,YOLO26x-seg image-plane tokens,216,37174,0.1894,101,0.9006,0.037,0.9032,"[0.8494, 0.9093, 0.924, 0.9514, 0.8687]",有信息，可激发
carla_p5v1_ba,b,cinque temporal,512,37174,0.5593,101,0.7684,0.0116,0.7595,"[0.7578, 0.7867, 0.7543, 0.7699, 0.773]",有信息，可激发
carla_p5v1_ba,b,lebowski temporal,512,37174,0.5593,101,0.7838,0.0165,0.7719,"[0.7615, 0.8097, 0.7778, 0.7937, 0.7764]",有信息，可激发
carla_p5v1_ba,b,cinque vision (mean),512,37174,0.5593,101,0.7649,0.0388,0.7622,"[0.7213, 0.7689, 0.7877, 0.8231, 0.7237]",有信息，可激发
carla_p5v1_ba,b,lebowski vision (view_40),3072,37174,0.5593,101,0.785,0.0114,0.7782,"[0.7796, 0.7881, 0.7833, 0.7696, 0.8042]",有信息，可激发
carla_p5v1_ba,b,YOLO26x-seg image-plane tokens,216,37174,0.5593,101,0.7305,0.0333,0.7315,"[0.7017, 0.7315, 0.6858, 0.7599, 0.7737]",有信息，可激发
carla_p5v1_ba,b_front,cinque temporal,512,37174,0.3547,101,0.8168,0.0261,0.8118,"[0.7749, 0.8145, 0.8116, 0.8552, 0.8281]",有信息，可激发
carla_p5v1_ba,b_front,lebowski temporal,512,37174,0.3547,101,0.8242,0.0102,0.8237,"[0.8181, 0.8165, 0.8215, 0.8443, 0.8208]",有信息，可激发
carla_p5v1_ba,b_front,cinque vision (mean),512,37174,0.3547,101,0.8581,0.0304,0.8589,"[0.8096, 0.8512, 0.8972, 0.8831, 0.8497]",有信息，可激发
carla_p5v1_ba,b_front,lebowski vision (view_40),3072,37174,0.3547,101,0.8678,0.0258,0.8665,"[0.8285, 0.8496, 0.8715, 0.8922, 0.8971]",有信息，可激发
carla_p5v1_ba,b_front,YOLO26x-seg image-plane tokens,216,37174,0.3547,101,0.8559,0.0512,0.8558,"[0.763, 0.8438, 0.9112, 0.8756, 0.886]",有信息，可激发
carla_p5v1_ba,c,cinque temporal,512,37174,0.4305,101,0.7596,0.0602,0.7495,"[0.6793, 0.8274, 0.7806, 0.8128, 0.6978]",有信息，可激发
carla_p5v1_ba,c,lebowski temporal,512,37174,0.4305,101,0.7654,0.0475,0.7599,"[0.6822, 0.7973, 0.8162, 0.7462, 0.7849]",有信息，可激发
carla_p5v1_ba,c,cinque vision (mean),512,37174,0.4305,101,0.7864,0.0526,0.783,"[0.7227, 0.8651, 0.8093, 0.8017, 0.7331]",有信息，可激发
carla_p5v1_ba,c,lebowski vision (view_40),3072,37174,0.4305,101,0.8204,0.0606,0.8174,"[0.7257, 0.8677, 0.8994, 0.7901, 0.8192]",有信息，可激发
carla_p5v1_ba,c,YOLO26x-seg image-plane tokens,216,37174,0.4305,101,0.6595,0.0191,0.6595,"[0.6257, 0.6703, 0.6516, 0.6785, 0.6712]",之间
