set,probe,feature,dim,n,pos_rate,n_routes,auc_mean,auc_sd,auc_oof,fold_aucs,verdict,frames
carla_p6,a,cinque temporal,512,37317,0.314,55,0.9106,0.036,0.8935,"[0.8839, 0.854, 0.9493, 0.9277, 0.9383]",有信息，可激发,all
carla_p6,a,lebowski temporal,512,37317,0.314,55,0.8874,0.0488,0.8681,"[0.8903, 0.7937, 0.9075, 0.9127, 0.9328]",有信息，可激发,all
carla_p6,a,cinque vision (mean),512,37317,0.314,55,0.884,0.0427,0.8642,"[0.9087, 0.8022, 0.8842, 0.9031, 0.9218]",有信息，可激发,all
carla_p6,a,lebowski vision (view_40),3072,37317,0.314,55,0.9038,0.0229,0.883,"[0.8989, 0.8669, 0.9151, 0.9013, 0.9369]",有信息，可激发,all
carla_p6,a,ego speed only,1,37317,0.314,55,0.7278,0.0904,0.6768,"[0.6371, 0.6086, 0.7863, 0.8454, 0.7616]",有信息，可激发,all
carla_p6,b,cinque temporal,512,37317,0.746,55,0.8614,0.0291,0.8577,"[0.8696, 0.8864, 0.8826, 0.8625, 0.8059]",有信息，可激发,all
carla_p6,b,lebowski temporal,512,37317,0.746,55,0.8826,0.0211,0.8809,"[0.8942, 0.8958, 0.9067, 0.8501, 0.8661]",有信息，可激发,all
carla_p6,b,cinque vision (mean),512,37317,0.746,55,0.8657,0.0305,0.8609,"[0.872, 0.8825, 0.9002, 0.8096, 0.8641]",有信息，可激发,all
carla_p6,b,lebowski vision (view_40),3072,37317,0.746,55,0.8876,0.0182,0.8859,"[0.9072, 0.9036, 0.8925, 0.8583, 0.8764]",有信息，可激发,all
carla_p6,b,ego speed only,1,37317,0.746,55,0.6772,0.0428,0.6611,"[0.7284, 0.6917, 0.7092, 0.6449, 0.6119]",之间,all
carla_p6,b_front,cinque temporal,512,37317,0.5823,55,0.7767,0.0169,0.7659,"[0.7822, 0.7747, 0.806, 0.7591, 0.7617]",有信息，可激发,all
carla_p6,b_front,lebowski temporal,512,37317,0.5823,55,0.8295,0.0108,0.8288,"[0.8348, 0.8403, 0.8375, 0.811, 0.824]",有信息，可激发,all
carla_p6,b_front,cinque vision (mean),512,37317,0.5823,55,0.8226,0.0618,0.8085,"[0.7785, 0.8436, 0.8972, 0.7268, 0.8671]",有信息，可激发,all
carla_p6,b_front,lebowski vision (view_40),3072,37317,0.5823,55,0.8535,0.0436,0.8477,"[0.8661, 0.7808, 0.9009, 0.8303, 0.8895]",有信息，可激发,all
carla_p6,b_front,ego speed only,1,37317,0.5823,55,0.5943,0.0591,0.5506,"[0.7057, 0.5863, 0.5869, 0.5345, 0.5579]",没有，要外接,all
carla_p6,c,cinque temporal,512,26779,0.5432,25,0.8536,0.0461,0.8224,"[0.8543, 0.7731, 0.9146, 0.8524, 0.8738]",有信息，可激发,2W
carla_p6,c,lebowski temporal,512,26779,0.5432,25,0.8967,0.0458,0.8958,"[0.9466, 0.821, 0.9421, 0.8869, 0.8871]",有信息，可激发,2W
carla_p6,c,cinque vision (mean),512,26779,0.5432,25,0.9044,0.0489,0.89,"[0.9349, 0.8114, 0.9519, 0.9133, 0.9106]",有信息，可激发,2W
carla_p6,c,lebowski vision (view_40),3072,26779,0.5432,25,0.9181,0.0556,0.9158,"[0.94, 0.9255, 0.9645, 0.8099, 0.9507]",有信息，可激发,2W
carla_p6,c,ego speed only,1,26779,0.5432,25,0.6652,0.1071,0.6189,"[0.5269, 0.5448, 0.7218, 0.7732, 0.7593]",之间,2W
carla_p6,a,cinque temporal,512,20914,0.1678,55,0.9195,0.029,0.9111,"[0.9468, 0.8792, 0.9023, 0.9579, 0.9114]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,a,lebowski temporal,512,20914,0.1678,55,0.9029,0.0373,0.8974,"[0.9252, 0.8486, 0.8774, 0.9563, 0.907]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,a,cinque vision (mean),512,20914,0.1678,55,0.8817,0.0351,0.8726,"[0.8895, 0.8602, 0.826, 0.9245, 0.9082]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,a,lebowski vision (view_40),3072,20914,0.1678,55,0.9024,0.0344,0.8959,"[0.9102, 0.8443, 0.8952, 0.951, 0.9112]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,a,ego speed only,1,20914,0.1678,55,0.4979,0.0098,0.4416,"[0.4883, 0.5156, 0.4904, 0.4945, 0.5008]",没有，要外接,v_ego>=3 (post hoc)
carla_p6,b,cinque temporal,512,20914,0.6473,55,0.8744,0.0203,0.8657,"[0.8631, 0.8909, 0.8417, 0.8984, 0.8781]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,b,lebowski temporal,512,20914,0.6473,55,0.9087,0.0179,0.904,"[0.8921, 0.9219, 0.8853, 0.9332, 0.9112]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,b,cinque vision (mean),512,20914,0.6473,55,0.8828,0.0427,0.8855,"[0.7999, 0.9075, 0.892, 0.9202, 0.8942]",有信息，可激发,v_ego>=3 (post hoc)
carla_p6,b,lebowski vision (view_40),3072,20914,0.6473,55,0.9051,0.0177,0.9004,"[0.8741, 0.9198, 0.9022, 0.9247, 0.9045]",有信息，可激发,v_ego>=3 (post hoc)
