set,probe,feature,dim,n,pos_rate,n_routes,auc_mean,auc_sd,auc_oof,fold_aucs,verdict,frames
carla_p5v1_ba,a,ego speed only,1,37174,0.1894,101,0.8296,0.0549,0.8046,"[0.8716, 0.8511, 0.8692, 0.7234, 0.8327]",有信息，可激发,all
carla_p5v1_ba,b,ego speed only,1,37174,0.5593,101,0.617,0.0689,0.5832,"[0.6269, 0.6833, 0.4916, 0.6754, 0.6076]",之间,all
carla_p5v1_ba,b_front,ego speed only,1,37174,0.3547,101,0.6543,0.019,0.6368,"[0.6258, 0.6564, 0.6457, 0.6592, 0.6843]",之间,all
carla_p5v1_ba,c,ego speed only,1,37174,0.4305,101,0.5411,0.0673,0.5125,"[0.5934, 0.5498, 0.5906, 0.561, 0.4106]",没有，要外接,all
carla_p5v1_ba,a,cinque temporal,512,20230,0.0246,97,0.9595,0.0278,0.9585,"[0.9876, 0.9966, 0.9446, 0.9239, 0.9447]",有信息，可激发,v_ego>=3
carla_p5v1_ba,a,lebowski temporal,512,20230,0.0246,97,0.9605,0.037,0.9568,"[0.986, 0.9906, 0.9786, 0.8902, 0.9571]",有信息，可激发,v_ego>=3
carla_p5v1_ba,a,cinque vision (mean),512,20230,0.0246,97,0.965,0.0177,0.9623,"[0.9805, 0.9665, 0.9723, 0.9308, 0.9752]",有信息，可激发,v_ego>=3
carla_p5v1_ba,a,lebowski vision (view_40),3072,20230,0.0246,97,0.9692,0.0125,0.9676,"[0.9723, 0.9757, 0.9873, 0.9588, 0.952]",有信息，可激发,v_ego>=3
carla_p5v1_ba,a,YOLO26x-seg image-plane tokens,216,20230,0.0246,97,0.6881,0.1241,0.7095,"[0.8156, 0.5402, 0.5826, 0.8508, 0.6516]",之间,v_ego>=3
carla_p5v1_ba,a,ego speed only,1,20230,0.0246,97,0.6184,0.0554,0.5891,"[0.6284, 0.5582, 0.6483, 0.7011, 0.5561]",之间,v_ego>=3
carla_p5v1_ba,b,cinque temporal,512,20230,0.6492,97,0.8242,0.0164,0.8236,"[0.8401, 0.8151, 0.8399, 0.8291, 0.7969]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b,lebowski temporal,512,20230,0.6492,97,0.8244,0.0363,0.8252,"[0.8698, 0.8026, 0.855, 0.7686, 0.8262]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b,cinque vision (mean),512,20230,0.6492,97,0.8181,0.0379,0.818,"[0.868, 0.7985, 0.8508, 0.8116, 0.7614]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b,lebowski vision (view_40),3072,20230,0.6492,97,0.8483,0.0295,0.845,"[0.8814, 0.7969, 0.8709, 0.8401, 0.8524]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b,YOLO26x-seg image-plane tokens,216,20230,0.6492,97,0.792,0.0456,0.7782,"[0.8349, 0.7402, 0.8279, 0.8245, 0.7327]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b,ego speed only,1,20230,0.6492,97,0.595,0.0296,0.5779,"[0.6451, 0.583, 0.571, 0.5649, 0.6109]",没有，要外接,v_ego>=3
carla_p5v1_ba,b_front,cinque temporal,512,20230,0.4671,97,0.8501,0.0197,0.8481,"[0.837, 0.8715, 0.8766, 0.8316, 0.8337]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b_front,lebowski temporal,512,20230,0.4671,97,0.8495,0.035,0.8492,"[0.8829, 0.8463, 0.8953, 0.8096, 0.8131]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b_front,cinque vision (mean),512,20230,0.4671,97,0.8819,0.0253,0.8832,"[0.9051, 0.8716, 0.9162, 0.8697, 0.8469]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b_front,lebowski vision (view_40),3072,20230,0.4671,97,0.8843,0.0307,0.884,"[0.9068, 0.8506, 0.9254, 0.8908, 0.8477]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b_front,YOLO26x-seg image-plane tokens,216,20230,0.4671,97,0.8556,0.0447,0.8488,"[0.8575, 0.7894, 0.9087, 0.8979, 0.8244]",有信息，可激发,v_ego>=3
carla_p5v1_ba,b_front,ego speed only,1,20230,0.4671,97,0.5626,0.0329,0.518,"[0.6191, 0.5595, 0.5433, 0.5204, 0.5708]",没有，要外接,v_ego>=3
carla_p5v1_ba,c,cinque temporal,512,20230,0.4536,97,0.8271,0.0474,0.819,"[0.8203, 0.7382, 0.869, 0.8608, 0.8472]",有信息，可激发,v_ego>=3
carla_p5v1_ba,c,lebowski temporal,512,20230,0.4536,97,0.8598,0.0691,0.8556,"[0.8912, 0.7253, 0.9114, 0.9058, 0.8652]",有信息，可激发,v_ego>=3
carla_p5v1_ba,c,cinque vision (mean),512,20230,0.4536,97,0.8758,0.0543,0.8714,"[0.924, 0.7718, 0.8965, 0.9104, 0.8765]",有信息，可激发,v_ego>=3
carla_p5v1_ba,c,lebowski vision (view_40),3072,20230,0.4536,97,0.9002,0.0685,0.8962,"[0.9559, 0.7675, 0.907, 0.9466, 0.9239]",有信息，可激发,v_ego>=3
carla_p5v1_ba,c,YOLO26x-seg image-plane tokens,216,20230,0.4536,97,0.7251,0.0391,0.72,"[0.6937, 0.7255, 0.7538, 0.7804, 0.6724]",有信息，可激发,v_ego>=3
carla_p5v1_ba,c,ego speed only,1,20230,0.4536,97,0.5718,0.0274,0.5336,"[0.5514, 0.5882, 0.5365, 0.5683, 0.6143]",没有，要外接,v_ego>=3
