set,probe,feature,dim,n,pos_rate,n_routes,auc_mean,auc_sd,auc_oof,fold_aucs,verdict,frames
carla_p5v1_pdm,a,ego speed only,1,35559,0.3513,101,0.7859,0.0572,0.7106,"[0.7836, 0.8039, 0.7583, 0.879, 0.7047]",有信息，可激发,all
carla_p5v1_pdm,b,ego speed only,1,35559,0.555,101,0.5176,0.0679,0.4963,"[0.5693, 0.6124, 0.5048, 0.4843, 0.4171]",没有，要外接,all
carla_p5v1_pdm,b_front,ego speed only,1,35559,0.3063,101,0.6429,0.0595,0.5814,"[0.5428, 0.642, 0.6291, 0.6795, 0.7213]",之间,all
carla_p5v1_pdm,c,ego speed only,1,35559,0.4278,101,0.5336,0.0654,0.4903,"[0.5229, 0.5211, 0.5305, 0.4449, 0.6488]",没有，要外接,all
carla_p5v1_pdm,a,cinque temporal,512,12706,0.0251,101,0.9082,0.0433,0.9063,"[0.8934, 0.9272, 0.9342, 0.8312, 0.9551]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,a,lebowski temporal,512,12706,0.0251,101,0.9282,0.0341,0.9308,"[0.8948, 0.9389, 0.9548, 0.8823, 0.9702]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,a,cinque vision (mean),512,12706,0.0251,101,0.8699,0.0444,0.8653,"[0.8559, 0.8238, 0.8895, 0.8338, 0.9464]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,a,lebowski vision (view_40),3072,12706,0.0251,101,0.8942,0.0525,0.8979,"[0.9238, 0.8729, 0.9254, 0.8012, 0.9474]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,a,ego speed only,1,12706,0.0251,101,0.7333,0.0234,0.7241,"[0.7262, 0.6926, 0.7501, 0.7603, 0.7372]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b,cinque temporal,512,12706,0.616,101,0.8241,0.0235,0.8202,"[0.8696, 0.8046, 0.8134, 0.8226, 0.8103]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b,lebowski temporal,512,12706,0.616,101,0.8298,0.0127,0.8263,"[0.8489, 0.8091, 0.8326, 0.8309, 0.8274]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b,cinque vision (mean),512,12706,0.616,101,0.8208,0.0329,0.8181,"[0.8681, 0.7717, 0.8324, 0.7987, 0.8332]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b,lebowski vision (view_40),3072,12706,0.616,101,0.8402,0.0239,0.8364,"[0.8696, 0.8074, 0.8656, 0.8319, 0.8263]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b,ego speed only,1,12706,0.616,101,0.5938,0.0252,0.5752,"[0.611, 0.6098, 0.6071, 0.5966, 0.5444]",没有，要外接,v_ego>=3
carla_p5v1_pdm,b_front,cinque temporal,512,12706,0.452,101,0.7798,0.026,0.7705,"[0.8059, 0.7835, 0.7818, 0.7967, 0.7309]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b_front,lebowski temporal,512,12706,0.452,101,0.836,0.0102,0.8289,"[0.8494, 0.8439, 0.8329, 0.8342, 0.8196]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b_front,cinque vision (mean),512,12706,0.452,101,0.8633,0.0234,0.8611,"[0.8986, 0.8419, 0.8824, 0.8387, 0.8551]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b_front,lebowski vision (view_40),3072,12706,0.452,101,0.8745,0.0328,0.8705,"[0.939, 0.868, 0.8524, 0.8616, 0.8516]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,b_front,ego speed only,1,12706,0.452,101,0.6042,0.0169,0.5766,"[0.5978, 0.5948, 0.5844, 0.6337, 0.6102]",之间,v_ego>=3
carla_p5v1_pdm,c,cinque temporal,512,12706,0.4514,101,0.8288,0.0518,0.8218,"[0.805, 0.9188, 0.7606, 0.8375, 0.8223]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,c,lebowski temporal,512,12706,0.4514,101,0.8387,0.05,0.839,"[0.8532, 0.9148, 0.7583, 0.8329, 0.8345]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,c,cinque vision (mean),512,12706,0.4514,101,0.8649,0.0341,0.866,"[0.8718, 0.8713, 0.8252, 0.8346, 0.9217]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,c,lebowski vision (view_40),3072,12706,0.4514,101,0.8899,0.0341,0.8906,"[0.8922, 0.9141, 0.9007, 0.8244, 0.9183]",有信息，可激发,v_ego>=3
carla_p5v1_pdm,c,ego speed only,1,12706,0.4514,101,0.5846,0.0432,0.5322,"[0.5352, 0.6038, 0.6495, 0.5962, 0.5381]",没有，要外接,v_ego>=3
