arm,n,l2_avg,l2_lo,l2_hi,l2_1s,l2_2s,l2_3s,col_vad_avg,col_vad_lo,col_vad_hi,col_vad_1s,col_vad_2s,col_vad_3s,col_bevp_avg,col_bevp_lo,col_bevp_hi,col_bevp_1s,col_bevp_2s,col_bevp_3s,d_l2,d_l2_lo,d_l2_hi,d_col_vad,d_col_vad_lo,d_col_vad_hi,d_col_bevp,d_col_bevp_lo,d_col_bevp_hi
ridge ego,3632,0.43394362322340596,0.40302612870782833,0.46705925606033455,0.15244104974785846,0.3922484515426487,0.7571413683797105,0.2103218306412139,0.09234955402077824,0.36182101309883663,0.02753303964757709,0.15831497797356828,0.44511747430249626,0.8076358296622614,0.4589977461138491,1.240137726529656,0.08259911894273128,0.5506607929515418,1.789647577092511,,,,,,,,,
A Qwen3-VL-4B L18_mean,3632,0.42647095673147406,0.3941759095741919,0.46070429894250436,0.15153064949573558,0.3863917583095879,0.7414904623890987,0.22867719040626527,0.10683321143414394,0.38724214259453094,0.013766519823788546,0.17208149779735682,0.5001835535976504,0.8810572687224669,0.4854514160073859,1.3465237702665567,0.05506607929515418,0.5781938325991189,2.0099118942731278,-0.007472666491931877,-0.011479954196419262,-0.0036631100121311847,0.018355359765051395,-0.024475502267239983,0.06284133941521804,0.07342143906020558,-0.04644577075191908,0.20310007138322167
op-cinque temporal,3632,0.3437772644326839,0.3176641381720409,0.3705721285103146,0.1292757713662867,0.3141013251484631,0.5879546967833019,0.11854503181595691,0.03515038184013617,0.22975747208558886,0.013766519823788546,0.1032488986784141,0.2386196769456681,0.3854625550660793,0.1823194794207788,0.6340106997199751,0.0,0.30286343612334804,0.8535242290748899,-0.09016635879072199,-0.10244944667002132,-0.078831415056617,-0.09177679882525697,-0.18280492126884346,-0.010738345339876698,-0.42217327459618215,-0.6967507237924453,-0.15605601985670303
op-cinque vision,3632,0.374821416134601,0.3478385827739225,0.40421874071905795,0.137763118678942,0.3411606828461982,0.6455404468786629,0.11548580518844835,0.0508761919807678,0.19771621419749572,0.0,0.1032488986784141,0.24320851688693096,0.6791483113069017,0.35832414553472985,1.0327501057740287,0.02753303964757709,0.4129955947136564,1.5969162995594715,-0.059122207088804855,-0.06903123196757623,-0.04961698361899066,-0.09483602545276552,-0.18789123916860595,-0.015316797772532888,-0.12848751835535976,-0.4498394652969433,0.21954047474774566
op-lebowski temporal,3632,0.3458483068968018,0.31990070679888477,0.37232027534464934,0.1291661410683794,0.31533098093138523,0.5930477986906407,0.14454845814977973,0.05501554445760775,0.2594530091609088,0.013766519823788546,0.11701541850220264,0.30286343612334793,0.4129955947136564,0.21114041417842375,0.651633530246246,0.0,0.24779735682819384,0.9911894273127754,-0.08809531632660414,-0.10020578887092878,-0.07703378543555618,-0.06577337249143415,-0.1535211434161695,0.01224078312445723,-0.39464023494860506,-0.6701736223506642,-0.15571936650873175
op-lebowski vision,3632,0.3690192911411565,0.34280120617940985,0.39643355669340125,0.13604363837041003,0.3357672583412771,0.6352469767117823,0.11472099853157121,0.04429689071048708,0.20464000103224755,0.0,0.09636563876651982,0.24779735682819376,0.6240822320117475,0.3300284673876953,0.9736449933865066,0.0,0.3303964757709251,1.5418502202643172,-0.06492433208224938,-0.07626342625707805,-0.05390840038537597,-0.09560083210964268,-0.18722556309718688,-0.020636434858644973,-0.18355359765051396,-0.5413377934887128,0.17476688979612745
fusion op-cinque temporal + A,3632,0.3583707263011161,0.33088521247452646,0.38708748618793604,0.13374103437064858,0.3273349150474493,0.6140362294852502,0.1369003915810083,0.048811221262014634,0.2515363285424162,0.013766519823788546,0.11701541850220264,0.27991923641703376,0.5047723935389135,0.2380919693522659,0.8151026272577994,0.0,0.3579295154185022,1.1563876651982379,-0.07557289692228988,-0.08562437703042525,-0.06577055903015833,-0.07342143906020557,-0.16033273618717847,0.006148385226087157,-0.30286343612334804,-0.5487119149421936,-0.06399619726657108
ridge ego (no cmd),3632,0.45717561048535255,0.4229258515823618,0.49241647156878554,0.1569139143784579,0.41116335786091407,0.8034495592166856,0.2187347038668624,0.10648256752466076,0.3580135709941337,0.02753303964757709,0.13766519823788545,0.4910058737151247,0.8168135095447872,0.48467888969402556,1.2086116993632425,0.05506607929515418,0.4955947136563877,1.8997797356828194,0.023231987261946613,0.0175806074449158,0.028848065916471998,0.008412873225648553,-0.04206726952181872,0.05960856060180963,0.009177679882525708,-0.15619580782927167,0.18355359765051396
A Qwen3-VL-4B L18_mean (no cmd),3632,0.4467565907914754,0.4117607457380477,0.4832328219535799,0.15516200008570163,0.4021693458611273,0.7829384264275973,0.22867719040626527,0.12183153676326393,0.36019157088122583,0.013766519823788546,0.15831497797356828,0.5139500734214391,0.8718795888399413,0.5143678594890446,1.322332273319544,0.02753303964757709,0.44052863436123346,2.147577092511013,0.012812967568069484,0.005211579188132042,0.0203994801992342,0.018355359765051392,-0.05118602615649002,0.0865978083954729,0.0642437591776799,-0.16501650165016502,0.3123916156585434
op-cinque temporal (no cmd),3632,0.34968234478498106,0.32322865658157285,0.3766394400162145,0.1304544973926291,0.3192553648572732,0.599337172105041,0.1108969652471855,0.04674200697024501,0.19605964592336064,0.0,0.07571585903083701,0.25697503671071953,0.44970631424375923,0.2483426581411281,0.6890991521879632,0.0,0.2753303964757709,1.0737885462555066,-0.08426127843842482,-0.09648041518141202,-0.07286104215882655,-0.09942486539402837,-0.19472877925115226,-0.013703288220658557,-0.3579295154185022,-0.6415588057751792,-0.0914482204025106
