arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],406,0.0024630541871921183,0.0,0.0079155672823219,0.0505208708096483,0.7692307692307693,0.0,0.0,0.0,False,True,True,False
M-C pair [cinque],406,0.43349753694581283,0.350400550029417,0.5067287505095801,0.05095939366320486,0.8002958579881657,0.03106508875739645,0.005830691602904418,0.05794947994056464,True,True,True,True
E5 A s0 [cinque],406,0.5270935960591133,0.4171548701985554,0.6206956696070569,0.05149105765156421,0.7559171597633136,-0.013313609467455622,-0.051439945724222905,0.02110149596936357,True,True,True,True
E5 A s1 [cinque],406,0.5221674876847291,0.40999930747922436,0.6160464848546868,0.0511452761854508,0.757396449704142,-0.011834319526627219,-0.05186179648443799,0.023704582921200125,True,True,True,True
E5 A s2 [cinque],406,0.5344827586206896,0.4244086297309621,0.6289004975124378,0.048544120116086636,0.7396449704142012,-0.029585798816568046,-0.07856848157365878,0.014706423806636053,True,True,True,True
N4 B s0 [cinque],406,0.5738916256157636,0.4757877748831507,0.6644067275938866,0.050809888150688765,0.7751479289940828,0.005917159763313609,-0.028401660803952632,0.0430922420045284,True,True,True,True
N4 B s1 [cinque],406,0.5640394088669951,0.4584270220435236,0.664473297882752,0.05202791835559926,0.7707100591715976,0.0014792899408284023,-0.04246045852338496,0.04713161026185435,True,True,True,True
N4 B s2 [cinque],406,0.5788177339901478,0.4836294999366206,0.6683690385968711,0.04999960025264033,0.7810650887573964,0.011834319526627219,-0.026277372262773723,0.052495575145018875,True,True,True,True
N4 C s0 [cinque],406,0.5172413793103449,0.42130113419141074,0.5976678079869822,0.05045371325322397,0.764792899408284,-0.004437869822485207,-0.054506090451644576,0.03698224852071006,True,True,True,True
N4 C s1 [cinque],406,0.5270935960591133,0.4168591167893348,0.6213626258960167,0.0507635174569672,0.7707100591715976,0.0014792899408284023,-0.04558991380057177,0.04283604135893648,True,True,True,True
N4 C s2 [cinque],406,0.5344827586206896,0.4354579567128286,0.6229240085309501,0.05351417903884745,0.764792899408284,-0.004437869822485207,-0.04539300017225045,0.033631921298090554,True,True,True,True
prior [lebowski],406,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.051578602323331654,0.7056213017751479,0.0,0.0,0.0,False,True,True,False
M-C pair [lebowski],406,0.41625615763546797,0.3243885959129862,0.5,0.04956067765172412,0.772189349112426,0.06656804733727811,0.01622359143456671,0.12136654508850354,True,True,True,True
E5 A s0 [lebowski],406,0.5566502463054187,0.46944444444444444,0.6311645769245745,0.051134882754099414,0.7707100591715976,0.0650887573964497,0.0,0.13451278489478824,True,True,True,True
E5 A s1 [lebowski],406,0.5517241379310345,0.46299550176806675,0.6296338098821169,0.050789101287986,0.7795857988165681,0.07396449704142012,0.00453155117496685,0.14970930232558138,True,True,True,True
E5 A s2 [lebowski],406,0.5640394088669951,0.4817472114675516,0.6353679952644041,0.04911176136681617,0.772189349112426,0.06656804733727811,0.0029801843572335378,0.13869017455713806,True,True,True,True
N4 B s0 [lebowski],406,0.4852216748768473,0.3611817744123955,0.5957537402288139,0.052368103358677316,0.7056213017751479,0.0,-0.10861957921854873,0.0865149213822004,True,True,True,True
N4 B s1 [lebowski],406,0.5,0.3872572407254488,0.604266457537734,0.05254359244957187,0.7071005917159763,0.0014792899408284023,-0.10562244535276345,0.08754164714456762,True,True,True,True
N4 B s2 [lebowski],406,0.5049261083743842,0.39247370143531723,0.6049327125755647,0.05513955180326034,0.7189349112426036,0.013313609467455622,-0.09956091980250106,0.1070539105009558,True,True,True,True
N4 C s0 [lebowski],406,0.5541871921182266,0.45027438594014685,0.6384112965838508,0.0488535245724702,0.7736686390532544,0.06804733727810651,0.01751760975505948,0.12484572536384225,True,True,True,True
N4 C s1 [lebowski],406,0.5788177339901478,0.4694462643207504,0.6657688766114179,0.04984969499276458,0.7899408284023669,0.08431952662721894,0.028012413784245477,0.14847306062162857,True,True,True,True
N4 C s2 [lebowski],406,0.5812807881773399,0.46990252351689255,0.6704170020313518,0.050649589459461616,0.7810650887573964,0.07544378698224852,0.023570226803031107,0.1362996290920819,True,True,True,True
