examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
prior [cinque],pooled,1.1648510098457336,1081,49,147,0.48196114708603144,0.3549692920535316,0.6022899718701918,0.48196114708603144,0.0,4045,0.06946847960444993,0.050062972292191435,0.0505208708096483,3176.0,0.3347009998113563
prior [cinque],DynamicObjectCrossing,1.1648510098457336,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0031645569620253164,,,,
prior [cinque],HighwayCutIn,1.1648510098457336,207,8,24,1.0,1.0,1.0,1.0,0.0,1112,0.23651079136690648,,,,
prior [cinque],Light,1.1648510098457336,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
prior [cinque],OppositeVehicleRunningRedLight,1.1648510098457336,0,0,0,,,,,,58,0.05172413793103448,,,,
prior [cinque],ParkingCrossingPedestrian,1.1648510098457336,76,5,15,0.013157894736842105,0.0,0.033707865168539325,0.013157894736842105,0.0,234,0.05128205128205128,,,,
prior [cinque],ParkingCutIn,1.1648510098457336,217,8,24,0.631336405529954,0.4611872146118721,0.7361111111111112,0.631336405529954,0.0,600,0.0,,,,
prior [cinque],PedestrianCrossing,1.1648510098457336,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.006180469715698393,,,,
prior [cinque],StaticCutIn,1.1648510098457336,252,10,30,0.6984126984126984,0.5670337194683908,0.8237829240688661,0.6984126984126984,0.0,779,0.0,,,,
prior [cinque],VehicleTurningRoutePedestrian,1.1648510098457336,10,1,3,0.0,0.0,0.0,0.0,0.0,2649,0.0,,,,
M-C pair [cinque],pooled,1.6276710629463196,1081,49,147,0.6632747456059205,0.5845551992614532,0.7370402648448833,0.6632747456059205,0.0,4045,0.06674907292954264,0.050062972292191435,0.05095939366320486,3176.0,0.518910462923446
M-C pair [cinque],DynamicObjectCrossing,1.6276710629463196,293,13,39,0.4778156996587031,0.3797846160922712,0.5544644912996283,0.4778156996587031,0.0,316,0.11708860759493671,,,,
M-C pair [cinque],HighwayCutIn,1.6276710629463196,207,8,24,1.0,1.0,1.0,1.0,0.0,1112,0.1735611510791367,,,,
M-C pair [cinque],Light,1.6276710629463196,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.015384615384615385,,,,
M-C pair [cinque],OppositeVehicleRunningRedLight,1.6276710629463196,0,0,0,,,,,,58,0.017241379310344827,,,,
M-C pair [cinque],ParkingCrossingPedestrian,1.6276710629463196,76,5,15,0.32894736842105265,0.2033898305084746,0.4878048780487805,0.32894736842105265,0.0,234,0.008547008547008548,,,,
M-C pair [cinque],ParkingCutIn,1.6276710629463196,217,8,24,0.6682027649769585,0.4794520547945205,0.8101851851851852,0.6682027649769585,0.0,600,0.0,,,,
M-C pair [cinque],PedestrianCrossing,1.6276710629463196,27,2,6,0.4074074074074074,0.0,0.4583333333333333,0.4074074074074074,0.0,809,0.042027194066749075,,,,
