prior,arm,ped_s0,ped_mean,ped_min,ped_max,ped_lo_min,null_mean,null_max,cutin_mean,cutin_delta_mean,seeds_pass,n_seeds,verdict
cinque,ridge_late qwen L18_last,0.0000,0.0000,0.0000,0.0000,0.0000,0.0520,0.0532,0.0000,-0.7761,0,3,none
cinque,ridge_late vjepa2 mean,0.0000,0.0000,0.0000,0.0000,0.0000,0.0525,0.0586,0.0000,-0.7761,0,3,none
cinque,ridge_late vjepa2 last_mean,0.0000,0.0000,0.0000,0.0000,0.0000,0.0538,0.0573,0.0020,-0.7742,0,3,none
cinque,ridge_late dinov2 patch_mean,0.0000,0.0000,0.0000,0.0000,0.0000,0.0666,0.0763,0.0025,-0.7737,0,3,none
cinque,ridge_late dinov2 cls,0.0000,0.0000,0.0000,0.0000,0.0000,0.0614,0.0679,0.0907,-0.6854,0,3,none
cinque,ridge_late siglip2 patch_mean,0.0000,0.0000,0.0000,0.0000,0.0000,0.0541,0.0557,0.1208,-0.6553,0,3,none
cinque,ridge_late siglip2 pooled,0.0123,0.0123,0.0025,0.0222,0.0000,0.0513,0.0522,0.1844,-0.5917,0,3,none
cinque,ridge_late opsmall temporal,0.0025,0.0025,0.0025,0.0025,0.0000,0.0514,0.0539,0.4265,-0.3496,0,3,none
cinque,prior [cinque],0.0025,0.0016,0.0000,0.0025,0.0000,0.0466,0.0505,0.7761,0.0000,0,3,none
cinque,pair-Δ qwen L18_last [cinque],0.4212,0.4146,0.4039,0.4212,0.3237,0.0517,0.0534,0.7298,-0.0464,3,3,E-layer signal
cinque,pair-Δ dual qwen L18_last [cinque],0.4335,0.4310,0.4236,0.4360,0.3504,0.0497,0.0510,0.8111,0.0350,3,3,E-layer signal
cinque,pair-Δ vjepa2 mean [cinque],0.4581,0.4704,0.4581,0.4778,0.3683,0.0502,0.0584,0.7702,-0.0059,3,3,E-layer signal
cinque,pair-Δ dual vjepa2 mean [cinque],0.4704,0.4745,0.4704,0.4778,0.3817,0.0516,0.0540,0.8161,0.0399,3,3,E-layer signal
cinque,pair-Δ vjepa2 last_mean [cinque],0.4631,0.4663,0.4581,0.4778,0.3641,0.0508,0.0517,0.7751,-0.0010,3,3,E-layer signal
cinque,pair-Δ dual vjepa2 last_mean [cinque],0.4803,0.4844,0.4803,0.4877,0.3923,0.0511,0.0517,0.8180,0.0419,3,3,E-layer signal
cinque,pair-Δ dinov2 patch_mean [cinque],0.1034,0.0714,0.0419,0.1034,0.0211,0.0494,0.0503,0.8023,0.0261,0,3,none
cinque,pair-Δ dual dinov2 patch_mean [cinque],0.2241,0.1798,0.1502,0.2241,0.0962,0.0498,0.0512,0.8259,0.0498,0,3,none
cinque,pair-Δ dinov2 cls [cinque],0.1305,0.1108,0.1010,0.1305,0.0613,0.0490,0.0511,0.7756,-0.0005,0,3,none
cinque,pair-Δ dual dinov2 cls [cinque],0.2537,0.2282,0.2069,0.2537,0.1327,0.0493,0.0507,0.8190,0.0429,2,3,unstable
cinque,pair-Δ siglip2 patch_mean [cinque],0.3695,0.3383,0.3054,0.3695,0.2050,0.0504,0.0522,0.7401,-0.0360,3,3,E-layer signal
cinque,pair-Δ dual siglip2 patch_mean [cinque],0.4433,0.4056,0.3621,0.4433,0.2513,0.0536,0.0569,0.7973,0.0212,3,3,E-layer signal
