arm,seed,route,attempts,finished,status,DS,RC,success,collisions,scenario,family,group
cl1,0,1711,1,True,Completed,100.0,100.0,True,0.0,ParkingCutIn,cut_in,sudden
cl1,0,1773,1,True,Completed,60.0,100.0,False,1.0,ParkedObstacle,obstacle_bypass,obstacle
cl1,0,1790,2,True,Completed,60.0,100.0,False,1.0,HazardAtSideLane,obstacle_bypass,obstacle
cl1,0,1792,2,True,Completed,60.0,100.0,False,1.0,HazardAtSideLane,obstacle_bypass,obstacle
cl1,0,1825,1,True,Completed,100.0,100.0,True,0.0,ConstructionObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,1833,1,True,Completed,100.0,100.0,True,0.0,ConstructionObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,1852,5,True,Completed,100.0,100.0,True,0.0,AccidentTwoWays,obstacle_bypass,obstacle
cl1,0,1956,2,True,Completed,100.0,100.0,True,0.0,ParkingExit,merge_lane_change,yield
cl1,0,2050,2,True,Completed,100.0,100.0,True,0.0,SignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,2082,5,True,Completed,100.0,100.0,True,0.0,OppositeVehicleRunningRedLight,junction_violator,sudden
cl1,0,2084,1,True,Completed,36.0,100.0,False,2.0,NonSignalizedJunctionLeftTurn,unprotected_turn,yield
cl1,0,2086,1,True,Completed,100.0,100.0,True,0.0,NonSignalizedJunctionLeftTurn,unprotected_turn,yield
cl1,0,2091,1,True,Completed,48.0,100.0,False,1.0,NonSignalizedJunctionLeftTurn,unprotected_turn,yield
cl1,0,2115,5,True,Completed,80.0,100.0,False,0.0,NonSignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,2127,5,True,Completed,35.296284,100.0,False,2.0,OppositeVehicleTakingPriority,junction_violator,sudden
cl1,0,2129,1,True,Failed - Agent got blocked,15.254788,72.65,False,3.0,OppositeVehicleTakingPriority,junction_violator,sudden
cl1,0,2143,5,True,Completed,80.0,100.0,False,0.0,OppositeVehicleTakingPriority,junction_violator,sudden
cl1,0,2144,1,True,Completed,100.0,100.0,True,0.0,VehicleTurningRoute,vru_crossing,sudden
cl1,0,2164,4,True,Completed,100.0,100.0,True,0.0,VehicleTurningRoutePedestrian,vru_crossing,sudden
cl1,0,2201,5,True,Completed,60.0,100.0,False,1.0,EnterActorFlow,merge_lane_change,yield
cl1,0,2204,5,True,Completed,48.0,100.0,False,1.0,BlockedIntersection,junction_violator,sudden
cl1,0,2215,1,True,Completed,100.0,100.0,True,0.0,BlockedIntersection,junction_violator,sudden
cl1,0,2273,1,True,Completed,100.0,100.0,True,0.0,MergerIntoSlowTraffic,merge_lane_change,yield
cl1,0,2283,1,True,Completed,100.0,100.0,True,0.0,MergerIntoSlowTraffic,merge_lane_change,yield
cl1,0,2286,1,True,Completed,100.0,100.0,True,0.0,HighwayCutIn,cut_in,sudden
cl1,0,2373,1,True,Completed,100.0,100.0,True,0.0,VanillaSignalizedTurnEncounterRedLight,routine_control,other
cl1,0,2390,1,True,Completed,100.0,100.0,True,0.0,VanillaNonSignalizedTurn,routine_control,other
cl1,0,2397,1,True,Completed,100.0,100.0,True,0.0,VanillaNonSignalizedTurn,routine_control,other
cl1,0,2403,1,True,Completed,100.0,100.0,True,0.0,VanillaNonSignalizedTurn,routine_control,other
cl1,0,2416,1,True,Completed,80.0,100.0,False,0.0,VanillaNonSignalizedTurnEncounterStopsign,routine_control,other
cl1,0,2509,1,True,Completed,100.0,100.0,True,0.0,ConstructionObstacle,obstacle_bypass,obstacle
cl1,0,2513,1,True,Completed,60.0,100.0,False,1.0,ConstructionObstacle,obstacle_bypass,obstacle
cl1,0,2534,1,True,Completed,60.0,100.0,False,1.0,Accident,obstacle_bypass,obstacle
cl1,0,2539,1,True,Completed,100.0,100.0,True,0.0,Accident,obstacle_bypass,obstacle
cl1,0,2554,1,True,Completed,100.0,100.0,True,0.0,ParkedObstacle,obstacle_bypass,obstacle
cl1,0,2606,1,True,Completed,100.0,100.0,True,0.0,ConstructionObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,2643,1,True,Completed,100.0,100.0,True,0.0,AccidentTwoWays,obstacle_bypass,obstacle
cl1,0,2664,1,True,Completed,100.0,100.0,True,0.0,ParkedObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,2668,1,True,Completed,36.0,100.0,False,2.0,ParkedObstacleTwoWays,obstacle_bypass,obstacle
cl1,0,2709,1,True,Completed,60.0,100.0,False,1.0,StaticCutIn,cut_in,sudden
cl1,0,2715,1,True,Completed,100.0,100.0,True,0.0,StaticCutIn,cut_in,sudden
cl1,0,2790,1,True,Completed,89.683717,100.0,False,0.0,InvadingTurn,obstacle_bypass,obstacle
cl1,0,2802,1,True,Completed,100.0,100.0,True,0.0,InvadingTurn,obstacle_bypass,obstacle
cl1,0,2844,1,True,Completed,100.0,100.0,True,0.0,OppositeVehicleRunningRedLight,junction_violator,sudden
cl1,0,2847,1,True,Completed,100.0,100.0,True,0.0,OppositeVehicleRunningRedLight,junction_violator,sudden
cl1,0,2881,1,True,Completed,60.0,100.0,False,1.0,NonSignalizedJunctionLeftTurn,unprotected_turn,yield
cl1,0,2903,1,True,Completed,100.0,100.0,True,0.0,NonSignalizedJunctionRightTurn,unprotected_turn,yield
cl1,0,2913,1,True,Completed,48.0,100.0,False,1.0,OppositeVehicleTakingPriority,junction_violator,sudden
cl1,0,2943,1,True,Completed,100.0,100.0,True,0.0,VehicleTurningRoute,vru_crossing,sudden
cl1,0,2989,1,True,Completed,100.0,100.0,True,0.0,BlockedIntersection,junction_violator,sudden
cl1,0,3048,1,True,Completed,100.0,100.0,True,0.0,MergerIntoSlowTraffic,merge_lane_change,yield
cl1,0,3072,1,True,Completed,100.0,100.0,True,0.0,HighwayCutIn,cut_in,sudden
cl1,0,3074,1,True,Completed,100.0,100.0,True,0.0,HighwayCutIn,cut_in,sudden
cl1,0,3080,1,True,Completed,100.0,100.0,True,0.0,HighwayCutIn,cut_in,sudden
