cls,kind,h,src,probe,auc,auc_sym,auc_min,auc_max,paired_win,n_pairs,n_routes,seeds
cutin,null,5,oracle,a,0.5153,0.5164,0.4983,0.5257,0.5210,636,26,3
cutin,null,5,oracle,b,0.5310,0.5310,0.5218,0.5477,0.5865,636,26,3
cutin,null,5,oracle,c,0.5103,0.5103,0.5001,0.5213,0.5252,636,26,3
cutin,null,5,oracle,d_front,0.5287,0.5287,0.5137,0.5384,0.5812,636,26,3
cutin,null,5,oracle,occ,0.4718,0.5341,0.4426,0.5089,0.4214,636,26,3
cutin,null,5,oracle,ped,0.3946,0.6054,0.3875,0.4039,0.3145,636,26,3
cutin,null,5,persist,a,0.5193,0.5193,0.5033,0.5300,0.5126,636,26,3
cutin,null,5,persist,b,0.5289,0.5289,0.5197,0.5422,0.5833,636,26,3
cutin,null,5,persist,c,0.5118,0.5118,0.5043,0.5196,0.5142,636,26,3
cutin,null,5,persist,d_front,0.5277,0.5277,0.5125,0.5397,0.5650,636,26,3
cutin,null,5,persist,occ,0.4724,0.5350,0.4396,0.5110,0.4261,636,26,3
cutin,null,5,persist,ped,0.3799,0.6201,0.3627,0.3959,0.2982,636,26,3
cutin,null,5,pred,a,0.5060,0.5109,0.4926,0.5193,0.4984,636,26,3
cutin,null,5,pred,b,0.5382,0.5382,0.5314,0.5499,0.6001,636,26,3
cutin,null,5,pred,c,0.5088,0.5088,0.5044,0.5120,0.5152,636,26,3
cutin,null,5,pred,d_front,0.5506,0.5506,0.5443,0.5602,0.6410,636,26,3
cutin,null,5,pred,occ,0.4569,0.5431,0.4254,0.4959,0.4051,636,26,3
cutin,null,5,pred,ped,0.3810,0.6190,0.3632,0.4011,0.2951,636,26,3
cutin,null,10,oracle,a,0.5151,0.5171,0.4970,0.5265,0.5079,636,26,3
cutin,null,10,oracle,b,0.5346,0.5346,0.5253,0.5470,0.5896,636,26,3
cutin,null,10,oracle,c,0.5074,0.5094,0.4971,0.5182,0.5283,636,26,3
cutin,null,10,oracle,d_front,0.5287,0.5287,0.5207,0.5336,0.5980,636,26,3
cutin,null,10,oracle,occ,0.4748,0.5274,0.4494,0.5033,0.4235,636,26,3
cutin,null,10,oracle,ped,0.3867,0.6133,0.3799,0.3919,0.3139,636,26,3
cutin,null,10,persist,a,0.5193,0.5193,0.5033,0.5300,0.5126,636,26,3
cutin,null,10,persist,b,0.5289,0.5289,0.5197,0.5422,0.5833,636,26,3
cutin,null,10,persist,c,0.5118,0.5118,0.5043,0.5196,0.5142,636,26,3
cutin,null,10,persist,d_front,0.5277,0.5277,0.5125,0.5397,0.5650,636,26,3
cutin,null,10,persist,occ,0.4724,0.5350,0.4396,0.5110,0.4261,636,26,3
cutin,null,10,persist,ped,0.3799,0.6201,0.3627,0.3959,0.2982,636,26,3
cutin,null,10,pred,a,0.5033,0.5090,0.4915,0.5150,0.5079,636,26,3
cutin,null,10,pred,b,0.5448,0.5448,0.5311,0.5609,0.6038,636,26,3
cutin,null,10,pred,c,0.5058,0.5065,0.4988,0.5124,0.5162,636,26,3
cutin,null,10,pred,d_front,0.5671,0.5671,0.5589,0.5734,0.6677,636,26,3
cutin,null,10,pred,occ,0.4393,0.5607,0.4116,0.4810,0.3795,636,26,3
cutin,null,10,pred,ped,0.3800,0.6200,0.3695,0.3946,0.3097,636,26,3
cutin,pair,5,oracle,a,0.5713,0.5713,0.5669,0.5772,0.7060,1907,26,3
cutin,pair,5,oracle,b,0.5704,0.5704,0.5597,0.5790,0.7263,1907,26,3
cutin,pair,5,oracle,c,0.5532,0.5532,0.5428,0.5653,0.7465,1907,26,3
cutin,pair,5,oracle,d_front,0.2651,0.7349,0.2608,0.2707,0.2564,1907,26,3
cutin,pair,5,oracle,occ,0.7077,0.7077,0.6968,0.7143,0.7277,1907,26,3
cutin,pair,5,oracle,ped,0.5222,0.5222,0.5119,0.5292,0.5999,1907,26,3
cutin,pair,5,persist,a,0.5451,0.5451,0.5426,0.5474,0.6467,1907,26,3
cutin,pair,5,persist,b,0.5575,0.5575,0.5476,0.5675,0.6896,1907,26,3
cutin,pair,5,persist,c,0.5516,0.5516,0.5432,0.5607,0.7221,1907,26,3
cutin,pair,5,persist,d_front,0.3296,0.6704,0.3265,0.3351,0.3150,1907,26,3
cutin,pair,5,persist,occ,0.6571,0.6571,0.6490,0.6614,0.6983,1907,26,3
cutin,pair,5,persist,ped,0.5251,0.5251,0.5171,0.5299,0.6011,1907,26,3
cutin,pair,5,pred,a,0.5573,0.5573,0.5525,0.5600,0.6765,1907,26,3
cutin,pair,5,pred,b,0.5593,0.5593,0.5537,0.5688,0.6966,1907,26,3
cutin,pair,5,pred,c,0.5542,0.5542,0.5452,0.5644,0.7298,1907,26,3
cutin,pair,5,pred,d_front,0.2949,0.7051,0.2942,0.2954,0.2646,1907,26,3
cutin,pair,5,pred,occ,0.6848,0.6848,0.6790,0.6898,0.7380,1907,26,3
cutin,pair,5,pred,ped,0.5163,0.5163,0.5101,0.5254,0.5744,1907,26,3
cutin,pair,10,oracle,a,0.6018,0.6018,0.5938,0.6144,0.7722,1907,26,3
cutin,pair,10,oracle,b,0.5865,0.5865,0.5735,0.5934,0.7715,1907,26,3
cutin,pair,10,oracle,c,0.5555,0.5555,0.5436,0.5670,0.7619,1907,26,3
cutin,pair,10,oracle,d_front,0.1999,0.8001,0.1955,0.2073,0.1781,1907,26,3
cutin,pair,10,oracle,occ,0.7635,0.7635,0.7523,0.7694,0.7920,1907,26,3
cutin,pair,10,oracle,ped,0.4863,0.5137,0.4778,0.4954,0.5095,1907,26,3
cutin,pair,10,persist,a,0.5451,0.5451,0.5426,0.5474,0.6467,1907,26,3
cutin,pair,10,persist,b,0.5575,0.5575,0.5476,0.5675,0.6896,1907,26,3
cutin,pair,10,persist,c,0.5516,0.5516,0.5432,0.5607,0.7221,1907,26,3
cutin,pair,10,persist,d_front,0.3296,0.6704,0.3265,0.3351,0.3150,1907,26,3
cutin,pair,10,persist,occ,0.6571,0.6571,0.6490,0.6614,0.6983,1907,26,3
cutin,pair,10,persist,ped,0.5251,0.5251,0.5171,0.5299,0.6011,1907,26,3
cutin,pair,10,pred,a,0.5611,0.5611,0.5554,0.5644,0.6826,1907,26,3
cutin,pair,10,pred,b,0.5607,0.5607,0.5567,0.5669,0.7081,1907,26,3
cutin,pair,10,pred,c,0.5535,0.5535,0.5444,0.5628,0.7387,1907,26,3
cutin,pair,10,pred,d_front,0.2838,0.7162,0.2819,0.2850,0.2120,1907,26,3
