seed,cls,kind,h,src,probe,n_pairs,n_routes,auc,auc_sym,paired_win
0,cutin,null,5,oracle,a,636,26,0.4983,0.5017,0.5031
0,cutin,null,5,oracle,b,636,26,0.5218,0.5218,0.5786
0,cutin,null,5,oracle,c,636,26,0.5213,0.5213,0.5582
0,cutin,null,5,oracle,d_front,636,26,0.5340,0.5340,0.5928
0,cutin,null,5,oracle,occ,636,26,0.4639,0.5361,0.4072
0,cutin,null,5,oracle,ped,636,26,0.3922,0.6078,0.2830
0,cutin,null,5,persist,a,636,26,0.5033,0.5033,0.4937
0,cutin,null,5,persist,b,636,26,0.5247,0.5247,0.5739
0,cutin,null,5,persist,c,636,26,0.5196,0.5196,0.5456
0,cutin,null,5,persist,d_front,636,26,0.5309,0.5309,0.5739
0,cutin,null,5,persist,occ,636,26,0.4664,0.5336,0.4151
0,cutin,null,5,persist,ped,636,26,0.3811,0.6189,0.2814
0,cutin,null,5,pred,a,636,26,0.4926,0.5074,0.4921
0,cutin,null,5,pred,b,636,26,0.5334,0.5334,0.5975
0,cutin,null,5,pred,c,636,26,0.5101,0.5101,0.5299
0,cutin,null,5,pred,d_front,636,26,0.5474,0.5474,0.6274
0,cutin,null,5,pred,occ,636,26,0.4493,0.5507,0.3836
0,cutin,null,5,pred,ped,636,26,0.3787,0.6213,0.2814
0,cutin,null,10,oracle,a,636,26,0.4970,0.5030,0.4811
0,cutin,null,10,oracle,b,636,26,0.5253,0.5253,0.5833
0,cutin,null,10,oracle,c,636,26,0.5182,0.5182,0.5676
0,cutin,null,10,oracle,d_front,636,26,0.5336,0.5336,0.6038
0,cutin,null,10,oracle,occ,636,26,0.4716,0.5284,0.4167
0,cutin,null,10,oracle,ped,636,26,0.3883,0.6117,0.2877
0,cutin,null,10,persist,a,636,26,0.5033,0.5033,0.4937
0,cutin,null,10,persist,b,636,26,0.5247,0.5247,0.5739
0,cutin,null,10,persist,c,636,26,0.5196,0.5196,0.5456
0,cutin,null,10,persist,d_front,636,26,0.5309,0.5309,0.5739
0,cutin,null,10,persist,occ,636,26,0.4664,0.5336,0.4151
0,cutin,null,10,persist,ped,636,26,0.3811,0.6189,0.2814
0,cutin,null,10,pred,a,636,26,0.4915,0.5085,0.4984
0,cutin,null,10,pred,b,636,26,0.5424,0.5424,0.6132
0,cutin,null,10,pred,c,636,26,0.5061,0.5061,0.5283
0,cutin,null,10,pred,d_front,636,26,0.5734,0.5734,0.6604
0,cutin,null,10,pred,occ,636,26,0.4252,0.5748,0.3758
0,cutin,null,10,pred,ped,636,26,0.3759,0.6241,0.2925
0,cutin,pair,5,oracle,a,1907,26,0.5669,0.5669,0.6911
0,cutin,pair,5,oracle,b,1907,26,0.5597,0.5597,0.7341
0,cutin,pair,5,oracle,c,1907,26,0.5428,0.5428,0.7137
0,cutin,pair,5,oracle,d_front,1907,26,0.2636,0.7364,0.2533
0,cutin,pair,5,oracle,occ,1907,26,0.6968,0.6968,0.7011
0,cutin,pair,5,oracle,ped,1907,26,0.5292,0.5292,0.6371
0,cutin,pair,5,persist,a,1907,26,0.5426,0.5426,0.6329
0,cutin,pair,5,persist,b,1907,26,0.5476,0.5476,0.6854
0,cutin,pair,5,persist,c,1907,26,0.5432,0.5432,0.6959
0,cutin,pair,5,persist,d_front,1907,26,0.3273,0.6727,0.3136
0,cutin,pair,5,persist,occ,1907,26,0.6490,0.6490,0.6675
0,cutin,pair,5,persist,ped,1907,26,0.5299,0.5299,0.6361
0,cutin,pair,5,pred,a,1907,26,0.5525,0.5525,0.6492
0,cutin,pair,5,pred,b,1907,26,0.5537,0.5537,0.6927
0,cutin,pair,5,pred,c,1907,26,0.5452,0.5452,0.7100
0,cutin,pair,5,pred,d_front,1907,26,0.2954,0.7046,0.2732
0,cutin,pair,5,pred,occ,1907,26,0.6790,0.6790,0.7079
0,cutin,pair,5,pred,ped,1907,26,0.5254,0.5254,0.6219
0,cutin,pair,10,oracle,a,1907,26,0.5938,0.5938,0.7472
0,cutin,pair,10,oracle,b,1907,26,0.5735,0.5735,0.7855
0,cutin,pair,10,oracle,c,1907,26,0.5436,0.5436,0.7226
0,cutin,pair,10,oracle,d_front,1907,26,0.1971,0.8029,0.1730
0,cutin,pair,10,oracle,occ,1907,26,0.7523,0.7523,0.7666
0,cutin,pair,10,oracle,ped,1907,26,0.4954,0.5046,0.5448
0,cutin,pair,10,persist,a,1907,26,0.5426,0.5426,0.6329
0,cutin,pair,10,persist,b,1907,26,0.5476,0.5476,0.6854
0,cutin,pair,10,persist,c,1907,26,0.5432,0.5432,0.6959
0,cutin,pair,10,persist,d_front,1907,26,0.3273,0.6727,0.3136
0,cutin,pair,10,persist,occ,1907,26,0.6490,0.6490,0.6675
0,cutin,pair,10,persist,ped,1907,26,0.5299,0.5299,0.6361
0,cutin,pair,10,pred,a,1907,26,0.5554,0.5554,0.6534
