group,variant,model,n,lat@2s,lon@2s,lat@4s,lon@4s,curv_mae,curv_r,d_lat@2s,d_lat@2s_segmin,d_lat@2s_segmax,d_lon@2s,d_lon@2s_segmin,d_lon@2s_segmax,d_lat@4s,d_lat@4s_segmin,d_lat@4s_segmax
reference,native,small,4400,0.3782,1.7747,1.6964,5.0764,0.0015,0.9921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference,native,cinque,8800,0.1636,0.8573,0.714,2.554,0.0011,0.9782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reference,native,lebowski,4400,0.2128,1.0788,1.0794,3.4787,0.0015,0.9936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
single camera,wide-only,small,4400,0.4956,2.8186,1.846,6.5264,0.0023,0.9906,0.1174,0.0761,0.1804,1.044,0.513,1.4104,0.1496,-0.1544,0.4111
single camera,wide-only,cinque,8800,0.5489,2.1769,1.4542,4.9661,0.0048,0.9309,0.3853,0.0115,0.8578,1.3196,0.001,2.7185,0.7403,0.0317,1.8268
single camera,wide-only,lebowski,4400,0.6985,2.9437,2.0644,6.523,0.0043,0.9852,0.4856,0.087,0.7954,1.8649,0.8143,3.0747,0.985,0.2743,1.6461
single camera,wide-only-wfd+,small,4400,0.4196,2.6552,1.7437,6.221,0.002,0.9913,0.0414,0.0032,0.0698,0.8805,0.3955,1.1479,0.0473,-0.3288,0.284
single camera,wide-only-wfd+,cinque,8800,0.2321,2.1147,0.9195,4.8535,0.0014,0.9702,0.0685,0.0032,0.1664,1.2574,0.3147,2.4673,0.2055,-0.0314,0.564
single camera,wide-only-wfd+,lebowski,4400,0.3337,2.4619,1.4263,5.8222,0.002,0.9915,0.1208,0.0667,0.202,1.3831,0.5945,2.6388,0.3469,0.1791,0.5932
single camera,wide-only-wfd-,small,4400,0.724,3.0353,2.5261,7.0779,0.0029,0.9886,0.3458,0.1412,0.5879,1.2606,0.8286,1.7269,0.8297,0.3829,1.2277
single camera,wide-only-wfd-,cinque,8800,0.9177,2.5537,2.1724,5.8185,0.0088,0.7309,0.7541,0.0025,1.5954,1.6964,0.5051,2.9867,1.4584,-0.009,3.3185
single camera,wide-only-wfd-,lebowski,4400,1.1088,3.1695,2.8719,6.9369,0.007,0.9739,0.8959,0.1263,1.4214,2.0907,0.8372,3.9656,1.7925,0.3473,2.9129
single camera,single-pinhole60,small,4400,0.3715,1.7896,1.6791,5.1037,0.0015,0.9925,-0.0067,-0.0225,0.0087,0.0149,-0.0195,0.0307,-0.0173,-0.0521,0.036
single camera,single-pinhole60,cinque,8800,0.1625,0.8771,0.7121,2.6094,0.0011,0.9783,-0.0011,-0.0039,0.0022,0.0198,-0.2025,0.3789,-0.0019,-0.0235,0.0241
single camera,single-pinhole60,lebowski,4400,0.2124,1.082,1.0807,3.4771,0.0014,0.9937,-0.0005,-0.0032,0.0015,0.0032,-0.0199,0.0199,0.0013,-0.0186,0.0188
single camera,single-pinhole90,small,4400,0.3726,1.7762,1.7006,5.0978,0.0015,0.9925,-0.0056,-0.0237,0.0137,0.0015,-0.0283,0.0303,0.0042,-0.0256,0.0707
single camera,single-pinhole90,cinque,8800,0.1664,0.8812,0.7208,2.6069,0.0011,0.9778,0.0028,-0.003,0.008,0.0239,-0.2539,0.3381,0.0068,-0.0535,0.0468
single camera,single-pinhole90,lebowski,4400,0.2157,1.0797,1.0794,3.4459,0.0014,0.9938,0.0028,-0.0002,0.0062,0.0009,-0.04,0.0217,0.0,-0.0253,0.0224
single camera,single-pinhole120,small,4400,0.3754,1.8308,1.7427,5.1901,0.0014,0.9928,-0.0028,-0.0376,0.0463,0.0562,-0.0228,0.1681,0.0462,-0.0517,0.2086
single camera,single-pinhole120,cinque,8800,0.1708,0.8663,0.7513,2.6346,0.0011,0.9788,0.0072,-0.0139,0.0293,0.009,-0.3182,0.3202,0.0373,-0.0677,0.2237
single camera,single-pinhole120,lebowski,4400,0.2268,1.1428,1.1412,3.4891,0.0014,0.9935,0.014,-0.0119,0.0309,0.064,-0.026,0.1082,0.0618,-0.0094,0.2025
single camera,fisheye180,small,4400,0.3782,1.8344,1.7397,5.1951,0.0014,0.9926,0.0,-0.035,0.0455,0.0597,0.0136,0.1124,0.0433,-0.0389,0.2018
single camera,fisheye180,cinque,8800,0.1667,0.8292,0.738,2.5474,0.0011,0.9785,0.0031,-0.0107,0.0173,-0.0281,-0.3075,0.1881,0.024,-0.0735,0.1342
single camera,fisheye180,lebowski,4400,0.2201,1.0924,1.117,3.4412,0.0014,0.9936,0.0072,-0.0076,0.0169,0.0136,-0.0111,0.03,0.0376,-0.0161,0.0978
single camera,fisheye180-as-pinhole,small,4400,0.3794,1.8301,1.744,5.1066,0.0014,0.9926,0.0012,-0.0509,0.0331,0.0555,-0.0291,0.2105,0.0475,-0.054,0.182
single camera,fisheye180-as-pinhole,cinque,8800,0.1769,0.9332,0.7749,2.6908,0.0012,0.9777,0.0133,-0.0086,0.0593,0.0758,-0.3362,0.8145,0.0609,-0.1015,0.2797
single camera,fisheye180-as-pinhole,lebowski,4400,0.251,1.2755,1.1756,3.5879,0.0014,0.9935,0.0382,-0.0006,0.0697,0.1967,0.1094,0.2849,0.0962,-0.0391,0.2549
single camera,fisheye180-720p,small,4400,0.3756,1.8667,1.7656,5.2452,0.0014,0.9926,-0.0026,-0.0326,0.0428,0.0921,-0.1005,0.3448,0.0691,-0.0649,0.2434
