row,n,rfs_cluster,ci_lo,ci_hi,rfs_frame,ade5_rater_best,rfs_standstill,rfs_junction,d_cv,d_cv_lo,d_cv_hi,d_cls ego,d_cls ego_lo,d_cls ego_hi,d_cinque native,d_cinque native_lo,d_cinque native_hi,d_cv_standstill,d_cv_standstill_lo,d_cv_standstill_hi,d_cv_junction,d_cv_junction_lo,d_cv_junction_hi
logged future,479,8.1308,7.9237,8.3302,8.1751,2.6992,8.3268,8.2864,1.1294,0.8735,1.3896,0.8325,0.6076,1.0551,0.2335,0.0203,0.4477,0.6780,0.2713,1.0766,1.2479,0.8270,1.6654
cv,479,7.1034,6.8505,7.3538,7.0457,3.3455,7.6488,7.0384,0.0000,0.0000,0.0000,-0.2970,-0.5179,-0.0880,-0.8959,-1.1241,-0.6661,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
ours ridge ego,479,7.0593,6.8066,7.3106,7.0558,3.1571,7.0003,7.0181,0.0101,-0.2199,0.2452,-0.2869,-0.4890,-0.0927,-0.8858,-1.1072,-0.6638,-0.6484,-1.0555,-0.2499,-0.0204,-0.4060,0.3690
ours cls ego K1024,479,7.3114,7.0595,7.5628,7.3427,3.2676,7.4697,7.4109,0.2970,0.0880,0.5179,0.0000,0.0000,0.0000,-0.5990,-0.8133,-0.3831,-0.1790,-0.4069,0.0274,0.3725,0.0214,0.7341
ours cls_late qwen4b+ego,479,7.3015,7.0531,7.5501,7.2919,3.2331,7.4127,7.2987,0.2462,0.0330,0.4676,-0.0508,-0.1580,0.0507,-0.6498,-0.8567,-0.4407,-0.2360,-0.4970,0.0086,0.2603,-0.1219,0.6369
alpamayo nav (expected of 6),479,7.8569,7.6733,8.0424,7.8066,2.7471,7.5487,7.6393,0.7609,0.5460,0.9720,0.4640,0.2777,0.6487,-0.1350,-0.2858,0.0211,-0.1001,-0.3961,0.1932,0.6009,0.2314,0.9667
alpamayo no-nav (expected of 6),479,7.8793,7.6925,8.0650,7.8219,2.7418,7.5085,7.6236,0.7762,0.5615,0.9856,0.4792,0.2920,0.6644,-0.1197,-0.2702,0.0357,-0.1403,-0.4391,0.1544,0.5851,0.2157,0.9473
alpamayo nav (medoid of 6),479,8.0336,7.8145,8.2508,8.0046,2.5676,7.6414,7.8606,0.9589,0.7272,1.1859,0.6620,0.4500,0.8715,0.0630,-0.1050,0.2328,-0.0074,-0.3604,0.3456,0.8222,0.4193,1.2276
op-small native,479,7.6398,7.4157,7.8620,7.6977,2.8764,7.6645,7.5666,0.6519,0.4343,0.8787,0.3550,0.1291,0.5812,-0.2440,-0.4275,-0.0544,0.0158,-0.2955,0.3162,0.5281,0.1330,0.9205
op-cinque native,479,8.0048,7.7857,8.2171,7.9416,2.4600,7.8081,7.6892,0.8959,0.6661,1.1241,0.5990,0.3831,0.8133,0.0000,0.0000,0.0000,0.1593,-0.1971,0.5122,0.6507,0.2563,1.0459
op-lebowski native,479,7.8860,7.6588,8.1021,7.8047,2.6735,7.5901,7.4580,0.7590,0.5207,0.9958,0.4621,0.2395,0.6800,-0.1369,-0.2632,-0.0083,-0.0586,-0.4281,0.2971,0.4196,-0.0087,0.8523
op-cinque temporal + ridge_late,479,7.4489,7.2040,7.6860,7.4579,2.6282,6.9083,7.4413,0.4122,0.1640,0.6680,0.1153,-0.1088,0.3379,-0.4837,-0.6698,-0.2989,-0.7405,-1.2361,-0.2476,0.4028,-0.0354,0.8326
op-cinque temporal + cls_late,479,7.6373,7.3983,7.8662,7.6526,3.0452,7.6248,7.6196,0.6069,0.3805,0.8377,0.3099,0.1349,0.4815,-0.2890,-0.4709,-0.1062,-0.0239,-0.3820,0.3112,0.5812,0.2084,0.9599
op-lebowski temporal + ridge_late,479,7.5216,7.2832,7.7531,7.4717,2.6759,7.0137,7.3987,0.4260,0.1803,0.6723,0.1290,-0.0998,0.3538,-0.4700,-0.6586,-0.2799,-0.6350,-1.1236,-0.1760,0.3603,-0.0653,0.7759
op-lebowski temporal + cls_late,479,7.7341,7.4983,7.9674,7.7035,3.0062,7.6520,7.6478,0.6578,0.4334,0.8748,0.3608,0.1910,0.5267,-0.2382,-0.4176,-0.0528,0.0032,-0.3279,0.3252,0.6093,0.2462,0.9756
op-small native @ctx1.5,479,7.5282,7.2865,7.7656,7.6289,2.9177,7.6289,7.5382,0.5832,0.3723,0.7977,0.2863,0.0616,0.5091,-0.3127,-0.5066,-0.1217,-0.0199,-0.2856,0.2327,0.4998,0.1355,0.8667
