direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled,ADE vs log,s_ego deciles 1-9,pre_onset,655,1.8574457168579102,-0.026324989274144173,-0.07907816330824048,0.02059790073210028,0.049838032020170384
0,A ridge_late pooled,ADE vs log,all deciles (side column),pre_onset,791,2.3105077743530273,-0.023108193650841713,-0.07075113156351065,0.027660477584180134,0.049205804573845394
0,A ridge_late pooled,ADE vs log,s_ego deciles 1-9,straight_yaw,5588,1.331989049911499,-0.08848355710506439,-0.1267910644728581,-0.051463664803802316,0.037663699834527886
0,A ridge_late pooled,ADE vs log,all deciles (side column),straight_yaw,6051,1.6552839279174805,-0.10181551426649094,-0.14285116955850818,-0.06350309254606915,0.03967403850621952
0,A ridge_late pooled,ADE vs log,s_ego deciles 1-9,all,9294,1.508459210395813,-0.05725984275341034,-0.08347409877151658,-0.03496290173749597,0.024255598517010306
0,A ridge_late pooled,ADE vs log,all deciles (side column),all,10327,1.9085161685943604,-0.06916743516921997,-0.09515585278049588,-0.047272566249364226,0.023941643265565825
0,A ridge_late pooled,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,655,,0.06215856969356537,0.0036301897293710915,0.1223854921715479,0.0593776512210884
0,A ridge_late pooled,RFS,rater frames (subset),all,237,7.057624104843168,-0.06399042872654816,-0.16647771005021228,0.03751259756740935,0.10199515380881082
0,A ridge_late pooled,RFS,decile 10 only,all,39,6.291798526114361,0.05303295758967262,-0.09476164313098505,0.21261423332000084,0.15368793822549295
0,A ridge_late pooled,ADE vs rater_best,decile 10 only,all,39,5.326584815979004,-0.045418936759233475,-0.1850956577903185,0.09136494508920572,0.13823030143976212
0,e gated pooled-mlp,ADE vs log,s_ego deciles 1-9,pre_onset,655,1.996936321258545,0.11316569894552231,0.004270793484257396,0.20681414161401507,0.10127167406487883
0,e gated pooled-mlp,ADE vs log,all deciles (side column),pre_onset,791,2.4318909645080566,0.09827512502670288,-0.007100775214398487,0.19838320204704082,0.10274198863071965
0,e gated pooled-mlp,ADE vs log,s_ego deciles 1-9,straight_yaw,5588,1.4650052785873413,0.044532716274261475,-0.022438135813927968,0.10966212186537859,0.06605012883965328
