direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8720495700836182,-0.02133142203092575,-0.06135490322826138,0.018326131930732712,0.039840517579497046
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),pre_onset,752,2.3281266689300537,-0.015095296315848827,-0.05341747412722779,0.02434450598084864,0.038880990054038216
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.358440637588501,-0.07390310615301132,-0.10538024153554734,-0.04568621642890816,0.02984701255331959
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),straight_yaw,5855,1.6896251440048218,-0.08051469922065735,-0.11100908568092158,-0.050167443801067295,0.03042082093992714
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,all,9018,1.5254764556884766,-0.05047547444701195,-0.0713503434445101,-0.032963551086353564,0.01919339617907827
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),all,10021,1.9364136457443237,-0.05631065368652344,-0.077142440314404,-0.038746609223291026,0.019197915545556485
0,A ridge_late pooled (qwen4b L18),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.05257168412208557,0.005359550639513942,0.10334949333458136,0.04899497134753371
0,A ridge_late pooled (qwen4b L18),RFS,rater frames (subset),all,237,7.146564779888192,0.0012834303333893729,-0.06766334685822803,0.06992279559684013,0.06879307122753409
0,A ridge_late pooled (qwen4b L18),RFS,decile 10 only,all,39,6.303095358045343,0.013370694314756926,-0.09006408385072033,0.15713735302109108,0.1236007184359057
0,A ridge_late pooled (qwen4b L18),ADE vs rater_best,decile 10 only,all,39,5.297606468200684,-0.05037054792046547,-0.14960949478241115,0.04950229202707608,0.0995558934047436
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8985004425048828,0.0051195938140153885,-0.038530907395672664,0.04671396841236673,0.0426224379040197
0,d vjepa2 mean,ADE vs log,all deciles (side column),pre_onset,752,2.3256285190582275,-0.017593108117580414,-0.0584706093679357,0.02276542333201278,0.04061801634997424
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3647160530090332,-0.06762785464525223,-0.09873652078236334,-0.03628872007083295,0.031223900355765194
0,d vjepa2 mean,ADE vs log,all deciles (side column),straight_yaw,5855,1.6854428052902222,-0.08469709008932114,-0.11794288083143166,-0.05225697640543737,0.03284295221299714
0,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,all,9018,1.532537817955017,-0.043414156883955,-0.0658840603229077,-0.02268521771212642,0.021599421305390637
0,d vjepa2 mean,ADE vs log,all deciles (side column),all,10021,1.9263546466827393,-0.0663696900010109,-0.08840399780450311,-0.04535383871654305,0.021525079543980034
0,d vjepa2 mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.07274744659662247,0.02238354496980967,0.12489421433025144,0.051255334680220886
0,d vjepa2 mean,RFS,rater frames (subset),all,237,7.24187467874445,0.09659332918964887,-0.017535921238712147,0.213642376392197,0.11558914881545457
0,d vjepa2 mean,RFS,decile 10 only,all,39,6.5907075907667485,0.3009829270361622,0.06146178919659463,0.5750001864416123,0.25676919862250885
0,d vjepa2 mean,ADE vs rater_best,decile 10 only,all,39,5.000519752502441,-0.34745755791664124,-0.5876015190130626,-0.138837773200029,0.2243818729065168
0,d vjepa2 last_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8960223197937012,0.0026411477010697126,-0.04149021213079938,0.04514302450586123,0.04331661831833031
0,d vjepa2 last_mean,ADE vs log,all deciles (side column),pre_onset,752,2.323686122894287,-0.019535603001713753,-0.059539052441700546,0.01826600306536798,0.03890252775353426
0,d vjepa2 last_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3682531118392944,-0.06409075856208801,-0.09496697721265297,-0.034545462457151795,0.03021075737775059
0,d vjepa2 last_mean,ADE vs log,all deciles (side column),straight_yaw,5855,1.6876254081726074,-0.0825144425034523,-0.1152886900312015,-0.0517913632052918,0.03174866341295485
0,d vjepa2 last_mean,ADE vs log,s_ego deciles 1-9,all,9018,1.5341098308563232,-0.04184211790561676,-0.06443022278511734,-0.020967763046681957,0.021731229869217692
0,d vjepa2 last_mean,ADE vs log,all deciles (side column),all,10021,1.9261094331741333,-0.06661484390497208,-0.08876783691981593,-0.045607336402973354,0.02158025025842129
0,d vjepa2 last_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.06673190742731094,0.014798398578164406,0.11734501651686804,0.05127330896935182
0,d vjepa2 last_mean,RFS,rater frames (subset),all,237,7.242194142420733,0.09691279286593088,-0.016316369470732058,0.2159190211243326,0.11611769529753233
0,d vjepa2 last_mean,RFS,decile 10 only,all,39,6.561406022642865,0.27168135891227996,0.025655329754719743,0.5354136104515068,0.25487914034839354
0,d vjepa2 last_mean,ADE vs rater_best,decile 10 only,all,39,4.983279705047607,-0.36469826102256775,-0.621570186316967,-0.1453367987504372,0.23811669378326492
1,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,640,1.824041724205017,-0.03875971585512161,-0.09512824118094326,0.01630406160443632,0.05571615139268979
1,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),pre_onset,706,2.005063056945801,-0.044210683554410934,-0.09826604551354809,0.013398736463717472,0.05583239098863278
1,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,straight_yaw,5235,1.3896825313568115,-0.06590054929256439,-0.11577093566303924,-0.020663351607971264,0.047553792027533986
1,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),straight_yaw,5742,1.780548334121704,-0.07348614186048508,-0.12133401943884042,-0.03068202994924365,0.045325994744798384
1,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,all,8677,1.5356076955795288,-0.03757459670305252,-0.06823563814100578,-0.007003374128542166,0.030616132006231804
1,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),all,9642,1.9425849914550781,-0.04656857252120972,-0.0758751088494919,-0.018649016223817875,0.028613046312837016
1,A ridge_late pooled (qwen4b L18),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,640,,0.02714083343744278,-0.04504551131700625,0.09780364549842153,0.07142457840771389
1,A ridge_late pooled (qwen4b L18),RFS,rater frames (subset),all,241,7.024013539795437,-0.04011940400136816,-0.15995347202369098,0.07374276945246523,0.1168481207380781
1,A ridge_late pooled (qwen4b L18),RFS,decile 10 only,all,45,5.9455666503336415,-0.027838487639025328,-0.21675771695110777,0.13139060281240017,0.17407415988175395
1,A ridge_late pooled (qwen4b L18),ADE vs rater_best,decile 10 only,all,45,5.513753414154053,-0.09475710988044739,-0.23072683501574728,0.021689843485752695,0.12620833925074998
1,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.761392593383789,-0.10140905529260635,-0.17791832601246804,-0.014462218787201369,0.08172805361263334
1,d vjepa2 mean,ADE vs log,all deciles (side column),pre_onset,706,1.9344244003295898,-0.11484929919242859,-0.18974581123034087,-0.02721295916654918,0.08126642603189585
1,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,straight_yaw,5235,1.4222999811172485,-0.03328317776322365,-0.07474857459844861,0.006543882230061375,0.04064622841425499
1,d vjepa2 mean,ADE vs log,all deciles (side column),straight_yaw,5742,1.79569673538208,-0.05833787843585014,-0.09613268847637227,-0.020285508262423785,0.03792359010697424
1,d vjepa2 mean,ADE vs log,s_ego deciles 1-9,all,8677,1.5573137998580933,-0.01586843840777874,-0.04471905950095026,0.013021704930127593,0.028870382215538927
1,d vjepa2 mean,ADE vs log,all deciles (side column),all,9642,1.9362584352493286,-0.052895139902830124,-0.0809524831957905,-0.02439024933177351,0.028281116932008493
