direction,arm,subset,n,ade_base,ade_arm,dade,lo,hi,halfwidth,meets_threshold
0,A ridge_late pooled,all,50768,1.9034564,1.8228513,-0.08060517,-0.10484361120646532,-0.06025335896699765,0.022295126119733836,True
0,A ridge_late pooled,pre_onset,731,2.6402738,2.6185696,-0.02170438,-0.07111520995652316,0.023737206774405637,0.0474262083654644,False
0,A ridge_late pooled,straight_yaw,22453,1.8124712,1.681882,-0.130589,-0.16508926898027898,-0.09427673761515307,0.03540626568256296,True
0,A ridge_late pooled,turn_yaw,5677,2.5517523,2.5163212,-0.03543125,-0.06368417884735512,-0.008846443525186341,0.02741886766108439,False
0,b temporal s2 (4x0.2s),all,50768,1.9034564,1.820597,-0.08285963,-0.10835580232095593,-0.06193508657665938,0.023210357872148275,True
0,b temporal s2 (4x0.2s),pre_onset,731,2.6402738,2.6081913,-0.032082405,-0.08826099084467146,0.018568403323311458,0.05341469708399146,False
0,b temporal s2 (4x0.2s),straight_yaw,22453,1.8124712,1.6760807,-0.13639037,-0.1723414267085011,-0.09799513163259492,0.037173147537953095,True
0,b temporal s2 (4x0.2s),turn_yaw,5677,2.5517523,2.5102193,-0.041532826,-0.0703536399910523,-0.01331925653985688,0.02851719172559771,False
0,b temporal s3 (4x0.3s),all,50768,1.9034564,1.8209134,-0.082543045,-0.10819677680912064,-0.0620827685813179,0.02305700411390137,True
0,b temporal s3 (4x0.3s),pre_onset,731,2.6402738,2.6072202,-0.033053767,-0.09215895321747848,0.01937440888159543,0.055766681049536956,False
0,b temporal s3 (4x0.3s),straight_yaw,22453,1.8124712,1.6762516,-0.13621943,-0.17336474789149803,-0.09751638692786939,0.03792418048181432,True
0,b temporal s3 (4x0.3s),turn_yaw,5677,2.5517523,2.5062284,-0.045523748,-0.07358773248190358,-0.017652436609607032,0.027967647936148272,False
1,A ridge_late pooled,all,51255,1.8630894,1.8307458,-0.032343704,-0.054975311324989035,-0.009744220692779911,0.02261554531610456,False
1,A ridge_late pooled,pre_onset,686,2.3485115,2.2969687,-0.051542744,-0.09265259470022515,-0.0030477485990145826,0.044802423050605285,True
1,A ridge_late pooled,straight_yaw,21935,1.8557966,1.7799568,-0.075839974,-0.12185102416480291,-0.037112382609513994,0.04236932077764446,True
1,A ridge_late pooled,turn_yaw,5013,2.3824286,2.3566015,-0.025826985,-0.0548697265735234,0.005192251263694334,0.030030988918608868,False
1,b temporal s2 (4x0.2s),all,51255,1.8630894,1.8296616,-0.033427987,-0.05778116659247799,-0.009541954660256551,0.02411960596611072,False
1,b temporal s2 (4x0.2s),pre_onset,686,2.3485115,2.2808008,-0.067710474,-0.11456535002342269,-0.012014798131497108,0.05127527594596279,True
1,b temporal s2 (4x0.2s),straight_yaw,21935,1.8557966,1.7748142,-0.080982454,-0.1274803466896784,-0.03998620296925417,0.04374707186021211,True
1,b temporal s2 (4x0.2s),turn_yaw,5013,2.3824286,2.3529572,-0.029471297,-0.060261598052677647,0.0037638850774151184,0.03201274156504638,False
1,b temporal s3 (4x0.3s),all,51255,1.8630894,1.8291113,-0.033977877,-0.058074499695528,-0.010001045458497584,0.024036727118515205,False
1,b temporal s3 (4x0.3s),pre_onset,686,2.3485115,2.2799587,-0.06855269,-0.11798296988713954,-0.010324545286004377,0.05382921230056758,True
1,b temporal s3 (4x0.3s),straight_yaw,21935,1.8557966,1.7729889,-0.08280785,-0.1291395827686154,-0.041864879607020684,0.04363735158079736,True
1,b temporal s3 (4x0.3s),turn_yaw,5013,2.3824286,2.3510213,-0.031407177,-0.062326351618938694,0.0026082754619149813,0.03246731354042684,False
