direction,arm,lam,sel_ade,d,head,epochs,sel_pre_ade,params,tokens,d_side
0,ridge ego,3.162277660168379e-06,1.9832493960857391,,,,,,,
0,A ridge_late pooled,31.622776601683796,1.9318686723709106,2560.0,,,,,,
0,b temporal (subset),100.0,1.9293946325778961,10240.0,,,,,,
0,c-mlp pooled (compute-matched),,1.9235851764678955,2560.0,mlp,1.0,,1331752.0,,
0,c-attn grid,,1.8231533765792847,2560.0,attn,1.0,,666152.0,144.0,0.0
0,c-tf grid + ego token,,1.839095115661621,2560.0,tf,3.0,,2271528.0,144.0,100.0
0,d temporal + attn grid,,1.9060641527175903,2560.0,attn,3.0,,1075752.0,144.0,10240.0
1,ridge ego,1e-06,2.0030300617218018,,,,,,,
1,A ridge_late pooled,10.0,1.8995886743068695,2560.0,,,,,,
1,b temporal (subset),31.622776601683796,1.8983062505722046,10240.0,,,,,,
1,c-mlp pooled (compute-matched),,1.972231388092041,2560.0,mlp,1.0,,1331752.0,,
1,c-attn grid,,1.8864707946777344,2560.0,attn,1.0,,666152.0,144.0,0.0
1,c-tf grid + ego token,,1.8285109996795654,2560.0,tf,20.0,,2271528.0,144.0,100.0
1,d temporal + attn grid,,2.0209269523620605,2560.0,attn,5.0,,1075752.0,144.0,10240.0
