direction,arm,subset,n,ade_base,ade_arm,dade,lo,hi,halfwidth,meets_threshold
0,A ridge_late pooled,all,10327,1.9776837,1.9085162,-0.069167435,-0.09515585278049588,-0.047272566249364226,0.023941643265565825,True
0,A ridge_late pooled,pre_onset,791,2.3336158,2.3105078,-0.023108194,-0.07075113156351065,0.027660477584180134,0.049205804573845394,False
0,A ridge_late pooled,straight_yaw,6051,1.7570995,1.6552839,-0.101815514,-0.14285116955850818,-0.06350309254606915,0.03967403850621952,True
0,A ridge_late pooled,turn_yaw,2370,2.4159455,2.3900738,-0.025871739,-0.04878672749835324,-0.0007149770420223464,0.024035875228165447,False
0,e gated pooled-mlp,all,10327,1.9776837,2.0077932,0.030109653,-0.01840537761298503,0.07565184692876738,0.04702861227087621,False
0,e gated pooled-mlp,pre_onset,791,2.3336158,2.431891,0.098275125,-0.007100775214398487,0.19838320204704082,0.10274198863071965,False
0,e gated pooled-mlp,straight_yaw,6051,1.7570995,1.7527583,-0.004341167,-0.07765091128769537,0.0688398478496352,0.07324537956866528,False
0,e gated pooled-mlp,turn_yaw,2370,2.4159455,2.4506187,0.034672976,-0.012027652740728284,0.07892682861757831,0.0454772406791533,False
0,e gated attn grid,all,10327,1.9776837,1.9444383,-0.033245247,-0.06319692825353541,-0.005674978479730494,0.02876097488690246,False
0,e gated attn grid,pre_onset,791,2.3336158,2.3444934,0.010877535,-0.03968610525739962,0.06418263306991552,0.05193436916365757,False
0,e gated attn grid,straight_yaw,6051,1.7570995,1.6996257,-0.05747359,-0.10560687851263034,-0.01054193961216312,0.04753246945023361,True
0,e gated attn grid,turn_yaw,2370,2.4159455,2.4083345,-0.0076112514,-0.03375975194214125,0.0207086550632559,0.027234203502698576,False
1,A ridge_late pooled,all,9910,1.9771351,1.9336106,-0.04352441,-0.07180796669955378,-0.015212624918568564,0.028297670890492607,False
1,A ridge_late pooled,pre_onset,719,2.06012,2.0212805,-0.038839348,-0.09579300901736953,0.02058023127335605,0.05818662014536279,False
1,A ridge_late pooled,straight_yaw,5924,1.8340654,1.7646471,-0.06941843,-0.11552740010678895,-0.02781634995216588,0.04385552507731154,True
1,A ridge_late pooled,turn_yaw,2091,2.2844825,2.275432,-0.009050376,-0.041857190382949015,0.028696419980657223,0.03527680518180312,False
1,e gated pooled-mlp,all,9910,1.9771351,2.1003492,0.1232144,0.07890952662224598,0.16473159919400052,0.042911036285877266,False
1,e gated pooled-mlp,pre_onset,719,2.06012,2.0966444,0.03652409,-0.08665268453886653,0.16094317083076998,0.12379792768481826,False
1,e gated pooled-mlp,straight_yaw,5924,1.8340654,1.948163,0.11409771,0.05578779629901287,0.17426070569402366,0.059236454697505395,False
1,e gated pooled-mlp,turn_yaw,2091,2.2844825,2.389726,0.10524332,0.039409725961784436,0.17250570764675843,0.066547990842487,False
1,e gated attn grid,all,9910,1.9771351,1.9988953,0.021760345,-0.011401684621244504,0.054423771950673216,0.03291272828595886,False
1,e gated attn grid,pre_onset,719,2.06012,2.0334086,-0.026711497,-0.10876388658814082,0.05941944266000626,0.08409166462407354,False
1,e gated attn grid,straight_yaw,5924,1.8340654,1.8358746,0.0018091395,-0.04532783317067449,0.04754574056976752,0.04643678687022101,False
1,e gated attn grid,turn_yaw,2091,2.2844825,2.3204634,0.035980575,-0.01830797074682519,0.09315430689236436,0.055731138819594774,False
