arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
ridge ego,0,1.9927243,10021,2.343222,752,1.7701397,5855,2.4370255,2315,7.145281349554802,237,7.111902475240223,6.826581107969512,7.448367899878639,0.25316455696202533
A ridge_late pooled (qwen4b L18),0,1.9364136,10021,2.3281267,752,1.6896251,5855,2.4120545,2315,7.146564779888192,237,7.070401165487041,6.838348337489453,7.434200813537066,0.270042194092827
a qwen32b L32_mean,0,1.9264458,10021,2.353399,752,1.6690685,5855,2.4147198,2315,7.088177917200478,237,7.011032784008277,6.786351139578237,7.37018653171197,0.270042194092827
a qwen32b L32_last,0,1.9358184,10021,2.3153245,752,1.6809733,5855,2.4380462,2315,7.1262094903203055,237,7.069502809669283,6.8064197859131195,7.40524787446435,0.2489451476793249
a qwen32b L50_mean,0,1.9204885,10021,2.332351,752,1.6610613,5855,2.415409,2315,7.105338266446048,237,7.041948594852147,6.792458104525478,7.396863026188984,0.2616033755274262
a qwen32b L50_last,0,1.956495,10021,2.3227038,752,1.7163812,5855,2.4290059,2315,7.144517585404051,237,7.095068027872517,6.829598788944673,7.436462003265775,0.2616033755274262
d vjepa2 mean,0,1.9263546,10021,2.3256285,752,1.6854428,5855,2.4003222,2315,7.24187467874445,237,7.185078523462977,6.9313042914067715,7.533174181539718,0.23628691983122363
d vjepa2 last_mean,0,1.9261094,10021,2.3236861,752,1.6876254,5855,2.3946059,2315,7.242194142420733,237,7.199157833532364,6.929659546820033,7.530932225844996,0.2320675105485232
ridge ego,1,1.9891535,9642,2.0492735,706,1.8540347,5742,2.2858224,2041,7.064132943796804,241,7.087001185486033,6.760577157170188,7.370255490899817,0.25311203319502074
A ridge_late pooled (qwen4b L18),1,1.942585,9642,2.005063,706,1.7805483,5742,2.275152,2041,7.024013539795437,241,7.0300096113788815,6.729284301961904,7.341090476811633,0.2697095435684647
a qwen32b L32_mean,1,1.9540366,9642,2.0176156,706,1.7932868,5742,2.2782006,2041,6.975373875879995,241,7.009442916263744,6.694913018560531,7.265424121251279,0.27800829875518673
a qwen32b L32_last,1,1.9635496,9642,2.0195467,706,1.8191515,5742,2.2776518,2041,7.003301737222408,241,7.0141231539631645,6.713047985110683,7.302779625529555,0.27800829875518673
a qwen32b L50_mean,1,1.9449533,9642,2.0164602,706,1.7758,5742,2.286074,2041,7.005752056625462,241,7.03182729813863,6.71275763841919,7.3186052470675405,0.2697095435684647
a qwen32b L50_last,1,1.9600879,9642,2.023765,706,1.8014377,5742,2.2910156,2041,6.913521018760122,241,6.934846167937889,6.62055120194229,7.218747363393546,0.2821576763485477
d vjepa2 mean,1,1.9362584,9642,1.9344244,706,1.7956967,5742,2.245685,2041,6.991980047374899,241,6.9277629598068655,6.709645897896666,7.288050748112112,0.25311203319502074
d vjepa2 last_mean,1,1.9355086,9642,1.9367319,706,1.7921994,5742,2.2444265,2041,7.003860648675681,241,6.928718125634871,6.717466219895723,7.3025144902969314,0.24896265560165975
