direction,arm,n_hi,n_lo,dade_pre_onset,dade_straight,did,did_lo,did_hi,halfwidth
0,A ridge_late pooled (qwen4b L18),752,5855,-0.015095296,-0.0805147,0.06541940569877625,0.021792053627305467,0.11552410509880702,0.04686602573575078
0,a qwen32b L32_mean,752,5855,0.010177152,-0.1010713,0.1112484484910965,0.05584715514905754,0.17687817344174153,0.060515509146341996
0,a qwen32b L32_last,752,5855,-0.027897287,-0.08916643,0.06126914545893669,0.0014974615423963352,0.12351029793572979,0.061006418196666724
0,a qwen32b L50_mean,752,5855,-0.01087073,-0.10907862,0.09820789098739624,0.04424376964836144,0.15577662493468566,0.055766427643162114
0,a qwen32b L50_last,752,5855,-0.020517847,-0.053758692,0.033240847289562225,-0.004805404499362988,0.06599161546567066,0.035398509982516826
0,d vjepa2 mean,752,5855,-0.017593108,-0.08469709,0.06710398197174072,0.014722723919581597,0.11799126063704546,0.05163426835873193
0,d vjepa2 last_mean,752,5855,-0.019535603,-0.08251444,0.0629788413643837,0.01162824947543593,0.11317549028971602,0.05077362040714004
0,d2 qwenvid L18_mean,752,5855,-0.044052016,-0.08122709,0.037175070494413376,-0.010368390893036957,0.08730497942699593,0.04883668516001644
0,d2 qwenvid L18_last,752,5855,-0.05356258,-0.04412199,-0.0094405896961689,-0.05737398316177462,0.03539262515048476,0.04638330415612969
1,A ridge_late pooled (qwen4b L18),706,5742,-0.044210684,-0.07348614,0.029275458306074142,-0.03915883159017072,0.09721870829421517,0.06818876994219294
1,a qwen32b L32_mean,706,5742,-0.031657867,-0.060747832,0.02908996492624283,-0.04778918509057115,0.10800487386591695,0.07789702947824405
1,a qwen32b L32_last,706,5742,-0.029726766,-0.03488309,0.005156323313713074,-0.04731296581434357,0.05959975505447048,0.053456360434407026
1,a qwen32b L50_mean,706,5742,-0.032813575,-0.078234605,0.04542103037238121,-0.03374132880244687,0.12873853231159965,0.08123993055702326
1,a qwen32b L50_last,706,5742,-0.025508378,-0.05259693,0.027088552713394165,-0.04490309694693558,0.09698872015168163,0.0709459085493086
1,d vjepa2 mean,706,5742,-0.1148493,-0.05833788,-0.056511420756578445,-0.14214682992719235,0.035259522040655626,0.08870317598392399
1,d vjepa2 last_mean,706,5742,-0.112541676,-0.061835278,-0.050706397742033005,-0.13979508322428152,0.043318245898399964,0.09155666456134075
1,d2 qwenvid L18_mean,706,5742,-0.08804868,-0.06308033,-0.024968348443508148,-0.10599631379057851,0.0490966921123513,0.07754650295146491
1,d2 qwenvid L18_last,706,5742,-0.05203474,-0.030228639,-0.021806100383400917,-0.0580891452189359,0.012895091282151923,0.03549211825054391
