arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
ridge ego,0,2.0493472,8796,2.31218,655,1.8349271,5069,2.5076392,2064,7.160658672469073,237,7.139700439491657,6.846961322778049,7.468750141554978,0.2616033755274262
A ridge_late pooled (qwen4b L18),0,1.9690131,8796,2.2974176,655,1.7157502,5069,2.4719658,2064,7.118448574875085,237,7.072811844601679,6.805531941937236,7.415412085517778,0.270042194092827
"d vjepa2 (front, 4 frames)",0,1.9729502,8796,2.271264,655,1.7397499,5069,2.462675,2064,7.237998441323064,237,7.196552480784547,6.925246760408961,7.5248591178414665,0.2320675105485232
d5 late fusion vjepa2 + qwen,0,1.9626927,8796,2.2724233,655,1.7249339,5069,2.453498,2064,7.1640059563066645,237,7.138867307283658,6.841869049820231,7.456178203180834,0.2616033755274262
d1 vjepa2 3 cameras,0,1.9559468,8796,2.2560663,655,1.7189183,5069,2.4427826,2064,7.206481182544223,237,7.1751122151464894,6.898534064178902,7.483203481334594,0.24472573839662448
d2 vjepa2 clip 8,0,1.9752488,8796,2.2700138,655,1.7404186,5069,2.4696681,2064,7.253452104357966,237,7.256999620947942,6.9439719859949935,7.539194667140344,0.22784810126582278
d3 vjepa2 clip 16,0,1.9803755,8796,2.2882235,655,1.74415,5069,2.4668434,2064,7.225974465064625,237,7.24386659104074,6.909879575004689,7.517250082956087,0.21940928270042195
d4 vjepa2 ViT-g,0,1.9698123,8796,2.24686,655,1.7366033,5069,2.4530303,2064,7.24081425964432,237,7.265149411897683,6.940709245195688,7.525713705013139,0.22784810126582278
ridge ego,1,2.036939,8523,2.0705588,584,1.9257301,5021,2.2913477,1855,7.047236943994282,241,7.059203126801836,6.746109707128768,7.352058093549626,0.2572614107883817
A ridge_late pooled (qwen4b L18),1,1.9903563,8523,2.0469077,584,1.8465027,5021,2.279526,1855,7.020175456865317,241,7.03516355319376,6.734974236805412,7.325148673581337,0.27385892116182575
"d vjepa2 (front, 4 frames)",1,1.9805723,8523,1.9490825,584,1.8596935,5021,2.2490213,1855,7.004160136848412,241,6.945799694130377,6.730190818947483,7.304308303351914,0.24066390041493776
d5 late fusion vjepa2 + qwen,1,1.9657185,8523,1.9539795,584,1.8378669,5021,2.2521563,1855,7.010000473213481,241,6.991850262527042,6.7342373351197855,7.317621481577302,0.26141078838174275
d1 vjepa2 3 cameras,1,1.9800395,8523,1.9671332,584,1.8486929,5021,2.2565722,1855,6.951480987049727,241,6.935387152811657,6.671594892250973,7.252639615911248,0.2572614107883817
d2 vjepa2 clip 8,1,1.9837425,8523,1.9787892,584,1.8573458,5021,2.2617424,1855,7.011879571161287,241,6.935848879058822,6.737412963543749,7.308995514011145,0.24481327800829875
d3 vjepa2 clip 16,1,1.9757409,8523,2.0047076,584,1.8404646,5021,2.2626112,1855,6.994619079080246,241,6.913185108309838,6.713975886889374,7.299399357728146,0.24481327800829875
d4 vjepa2 ViT-g,1,1.97093,8523,1.9401423,584,1.8504418,5021,2.2404838,1855,6.95528025277809,241,6.929448737364227,6.6793049331497745,7.257880822838244,0.26556016597510373
