direction,arm,subset,n,ade_base,ade_arm,dade,lo,hi,halfwidth,meets_threshold
0,A ridge_late pooled (qwen4b L18),all,103468,1.923281,1.8558348,-0.06744641,-0.08546046019521988,-0.04992281189489231,0.017768824150163787,True
0,A ridge_late pooled (qwen4b L18),pre_onset,1458,2.3815677,2.3664985,-0.015069244,-0.06422760903210287,0.032636133735261266,0.04843187138368207,False
0,A ridge_late pooled (qwen4b L18),straight_yaw,45121,1.7972558,1.6712469,-0.12600864,-0.15600937484570926,-0.09645328424162405,0.029778045302042602,True
0,A ridge_late pooled (qwen4b L18),turn_yaw,10816,2.6899042,2.6201518,-0.069752574,-0.09684908728540452,-0.04204237098914319,0.027403358148130667,True
0,d vjepa2 (train fit),all,103468,1.923281,1.8451,-0.078181215,-0.10389614931491445,-0.0513171517860703,0.026289498764422076,True
0,d vjepa2 (train fit),pre_onset,1458,2.3815677,2.3039582,-0.07760932,-0.14466981866800316,-0.010199274211961162,0.067235272228021,True
0,d vjepa2 (train fit),straight_yaw,45121,1.7972558,1.6592337,-0.13802202,-0.16903656829581315,-0.10608634813627933,0.03147511007976691,True
0,d vjepa2 (train fit),turn_yaw,10816,2.6899042,2.4939923,-0.19591175,-0.25285978605818926,-0.1350765670309971,0.05889160951359608,True
0,d4 vjepa2 vitg (train fit),all,103468,1.923281,1.8141176,-0.10916356,-0.13549395235272074,-0.08186445307940565,0.026814749636657545,True
0,d4 vjepa2 vitg (train fit),pre_onset,1458,2.3815677,2.2914057,-0.090161964,-0.15721579210267028,-0.0220641823192224,0.06757580489172393,True
0,d4 vjepa2 vitg (train fit),straight_yaw,45121,1.7972558,1.635187,-0.16206847,-0.19640708523377357,-0.13009833534569973,0.03315437494403692,True
0,d4 vjepa2 vitg (train fit),turn_yaw,10816,2.6899042,2.4822724,-0.20763169,-0.2621370152212964,-0.14733688134938322,0.05740006693595659,True
0,d5 late fusion vjepa2 + qwen,all,103468,1.923281,1.8252496,-0.0980315,-0.12390017412490804,-0.0724969846750323,0.025701594724937875,True
0,d5 late fusion vjepa2 + qwen,pre_onset,1458,2.3815677,2.2986522,-0.08291554,-0.14486174918624856,-0.016256432780879036,0.06430265820268476,True
0,d5 late fusion vjepa2 + qwen,straight_yaw,45121,1.7972558,1.635714,-0.16154154,-0.1947187860349783,-0.13020214168888497,0.032258322173046666,True
0,d5 late fusion vjepa2 + qwen,turn_yaw,10816,2.6899042,2.497069,-0.19283526,-0.24845316338953558,-0.13966300110511642,0.054395081142209575,True
