direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,555,1.8542119264602661,-0.01574495993554592,-0.06731964425166986,0.037261058734188515,0.05229035149292919
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),pre_onset,655,2.297417640686035,-0.014762328006327152,-0.06381324649039281,0.036798054470635506,0.050305650480514164
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,straight_yaw,4683,1.3807957172393799,-0.10652266442775726,-0.15092887106835048,-0.06305613285180149,0.043936369108274496
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),straight_yaw,5069,1.7157502174377441,-0.1191769614815712,-0.16356921532709096,-0.07355914995902291,0.045005032684034024
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,all,7916,1.5523544549942017,-0.06892108917236328,-0.09930696681112056,-0.04353828798409451,0.027884339413513023
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),all,8796,1.9690130949020386,-0.08033415675163269,-0.10959221036890947,-0.055777741810554476,0.026907234279177496
0,A ridge_late pooled (qwen4b L18),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,555,,0.09077770262956619,0.023459074702947426,0.16303144742969075,0.06978618636337167
0,A ridge_late pooled (qwen4b L18),RFS,rater frames (subset),all,237,7.118448574875085,-0.04221009759398739,-0.14930955489378486,0.06687355178145336,0.1080915533376191
0,A ridge_late pooled (qwen4b L18),RFS,decile 10 only,all,38,6.415582404246966,0.01181265552620558,-0.24195112189412887,0.2354513402989109,0.2387012310965199
0,A ridge_late pooled (qwen4b L18),ADE vs rater_best,decile 10 only,all,38,5.232736587524414,-0.0502464585006237,-0.21019177334873299,0.10498226386936087,0.15758701860904692
0,"d vjepa2 (front, 4 frames)",ADE vs log,s_ego deciles 1-9,pre_onset,555,1.8529571294784546,-0.01699979417026043,-0.06212537757021177,0.02710523461418296,0.04461530609219737
0,"d vjepa2 (front, 4 frames)",ADE vs log,all deciles (side column),pre_onset,655,2.27126407623291,-0.040915850549936295,-0.08400811534643507,0.003988568243705001,0.043998341795070034
0,"d vjepa2 (front, 4 frames)",ADE vs log,s_ego deciles 1-9,straight_yaw,4683,1.4094936847686768,-0.07782480120658875,-0.11507499483113047,-0.045811612279929366,0.03463169127560055
0,"d vjepa2 (front, 4 frames)",ADE vs log,all deciles (side column),straight_yaw,5069,1.7397499084472656,-0.09517712891101837,-0.13243657341286885,-0.061537395111941944,0.03544958915046345
0,"d vjepa2 (front, 4 frames)",ADE vs log,s_ego deciles 1-9,all,7916,1.5688507556915283,-0.05242467299103737,-0.07779117681176394,-0.029724916984730235,0.024033129913516853
