direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,1249,1.9742282629013062,-0.00037913478445261717,-0.05092747085953286,0.05731072496360943,0.05411909791157114
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),pre_onset,1458,2.3664984703063965,-0.015069244429469109,-0.06422760903210287,0.032636133735261266,0.04843187138368207
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,straight_yaw,41150,1.3126544952392578,-0.10044153779745102,-0.12972747721133904,-0.07103931326451575,0.029344081973411644
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),straight_yaw,45121,1.671246886253357,-0.12600864470005035,-0.15600937484570926,-0.09645328424162405,0.029778045302042602
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,all,93121,1.4601863622665405,-0.04008854925632477,-0.05771727048659389,-0.022427972129962385,0.017644649178315753
0,A ridge_late pooled (qwen4b L18),ADE vs log,all deciles (side column),all,103468,1.8558348417282104,-0.06744641065597534,-0.08546046019521988,-0.04992281189489231,0.017768824150163787
0,A ridge_late pooled (qwen4b L18),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1249,,0.10006240010261536,0.040989332682886986,0.15688013331274148,0.057945400314927245
0,A ridge_late pooled (qwen4b L18),RFS,rater frames (subset),all,478,6.894573735479717,-0.08996574536899224,-0.18705765585541087,0.002153231293682797,0.09460544357454684
0,A ridge_late pooled (qwen4b L18),RFS,decile 10 only,all,89,5.860656835666034,-0.052503607772267334,-0.17197876108083854,0.050246593690700114,0.11111267738576933
0,A ridge_late pooled (qwen4b L18),ADE vs rater_best,decile 10 only,all,89,5.468776226043701,-0.13461264967918396,-0.23689175417249123,-0.013811434872364735,0.11154015965006324
0,d vjepa2 (train fit),ADE vs log,s_ego deciles 1-9,pre_onset,1249,1.9447389841079712,-0.02986825443804264,-0.10365347630431834,0.04099667650924209,0.07232507640678021
0,d vjepa2 (train fit),ADE vs log,all deciles (side column),pre_onset,1458,2.3039581775665283,-0.07760932296514511,-0.14466981866800316,-0.010199274211961162,0.067235272228021
0,d vjepa2 (train fit),ADE vs log,s_ego deciles 1-9,straight_yaw,41150,1.3125336170196533,-0.10056257247924805,-0.13429617233266933,-0.06790404781958499,0.03319606225654217
0,d vjepa2 (train fit),ADE vs log,all deciles (side column),straight_yaw,45121,1.6592336893081665,-0.1380220204591751,-0.16903656829581315,-0.10608634813627933,0.03147511007976691
0,d vjepa2 (train fit),ADE vs log,s_ego deciles 1-9,all,93121,1.491612195968628,-0.00866264570504427,-0.03363806523916916,0.018557279898088266,0.026097672568628712
