direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.841613531112671,-0.0124247120693326,-0.06417523691861089,0.04379509411657998,0.05398516551759544
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,all deciles (side column),pre_onset,1458,2.1549901962280273,-0.025349728763103485,-0.07244897434062925,0.027045566359148406,0.04974727034988882
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.3233366012573242,-0.09260541945695877,-0.12739615247675024,-0.06173558568406524,0.0328302833963425
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,all deciles (side column),straight_yaw,11597,1.688259243965149,-0.11317352950572968,-0.1488268115152659,-0.08163463668528756,0.033596087414989165
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,s_ego deciles 1-9,all,17696,1.4931379556655884,-0.058481164276599884,-0.08217138892592458,-0.03432580779078907,0.023922790567567756
0,A ridge_late pooled (qwen4b L18 image),ADE vs log,all deciles (side column),all,19663,1.905957579612732,-0.08148620277643204,-0.10377408405256659,-0.058878167349689155,0.02244795835143872
0,A ridge_late pooled (qwen4b L18 image),DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.08018070459365845,0.0189683123331874,0.138116228137482,0.059573957902147305
0,A ridge_late pooled (qwen4b L18 image),RFS,rater frames (subset),all,478,6.843183786946535,-0.21125356159888808,-0.33720206126688007,-0.09026197972413713,0.12347004077137147
0,A ridge_late pooled (qwen4b L18 image),RFS,decile 10 only,all,86,5.993188647533646,-0.12374153942647358,-0.2944500225924788,0.028354795659226648,0.16140240912585274
0,A ridge_late pooled (qwen4b L18 image),ADE vs rater_best,decile 10 only,all,86,5.430692672729492,-0.11288640648126602,-0.21525256871137508,-0.006533107542714443,0.10435973058433032
0,d'' ridge_late L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.8208884000778198,-0.03314962610602379,-0.07859310501693689,0.015707566319997326,0.04715033566846711
0,d'' ridge_late L18_last,ADE vs log,all deciles (side column),pre_onset,1458,2.1161842346191406,-0.06415586918592453,-0.11622775422128424,-0.011183617402613186,0.05252206840933553
0,d'' ridge_late L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.3764638900756836,-0.03947809711098671,-0.07074677987425246,-0.011728166409404555,0.02950930673242395
0,d'' ridge_late L18_last,ADE vs log,all deciles (side column),straight_yaw,11597,1.7353531122207642,-0.0660795122385025,-0.09545157094981263,-0.036233650304782525,0.029608960322515053
0,d'' ridge_late L18_last,ADE vs log,s_ego deciles 1-9,all,17696,1.5252947807312012,-0.026324303820729256,-0.04676273506419313,-0.004525450318992123,0.021118642372600503
0,d'' ridge_late L18_last,ADE vs log,all deciles (side column),all,19663,1.9261553287506104,-0.06128837913274765,-0.08140256928598004,-0.03999887740090582,0.02070184594253711
0,d'' ridge_late L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.006328471004962921,-0.057199576000567645,0.061333254480540424,0.05926641524055404
0,d'' ridge_late L18_last,RFS,rater frames (subset),all,478,6.6665272235822615,-0.3879101249631622,-0.5180168433284417,-0.2560903939616239,0.13096322468340887
0,d'' ridge_late L18_last,RFS,decile 10 only,all,86,5.574875189531752,-0.5420549974283674,-0.8306945105840349,-0.3079862134044955,0.2613541485897697
0,d'' ridge_late L18_last,ADE vs rater_best,decile 10 only,all,86,5.354852199554443,-0.18872761726379395,-0.3475940051466919,-0.02012917960799022,0.16373241276935085
0,d'' ridge_late L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,1281,1.8034616708755493,-0.05057648941874504,-0.09880247708178214,-0.0028053290767868096,0.047998574002497664
0,d'' ridge_late L18_mean,ADE vs log,all deciles (side column),pre_onset,1458,2.1003453731536865,-0.0799943134188652,-0.13119747395909612,-0.027648552777321957,0.051774460590887084
0,d'' ridge_late L18_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,10658,1.3285247087478638,-0.08741747587919235,-0.11896868079892703,-0.05580320398031019,0.03158273840930842
0,d'' ridge_late L18_mean,ADE vs log,all deciles (side column),straight_yaw,11597,1.6805087327957153,-0.1209239512681961,-0.15345910599822585,-0.08837636076738341,0.03254137261542122
0,d'' ridge_late L18_mean,ADE vs log,s_ego deciles 1-9,all,17696,1.4963048696517944,-0.0553143285214901,-0.07826560569035437,-0.03189979444062099,0.02318290562486669
0,d'' ridge_late L18_mean,ADE vs log,all deciles (side column),all,19663,1.8924870491027832,-0.09495679289102554,-0.11870294028124923,-0.07223424183977693,0.023234349220736146
0,d'' ridge_late L18_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1281,,0.03684098646044731,-0.022291920656828317,0.094744911425034,0.05851841604093116
0,d'' ridge_late L18_mean,RFS,rater frames (subset),all,478,6.637759535445447,-0.4166778130999774,-0.5589383178405958,-0.28247719562304335,0.1382305611087762
0,d'' ridge_late L18_mean,RFS,decile 10 only,all,86,5.626566413884359,-0.49036377307576,-0.763230201031774,-0.2556487316094213,0.2537907347111763
0,d'' ridge_late L18_mean,ADE vs rater_best,decile 10 only,all,86,5.33594274520874,-0.20763641595840454,-0.376780629937732,-0.051140806425449485,0.16281991175614124
