direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth,meets_threshold
0,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8720495700836182,-0.0213314201682806,-0.06135490119353551,0.018326132965036324,0.03984051707928592,False
0,d2 qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.852325439453125,-0.04105566442012787,-0.083384269663635,-0.00024280362667027016,0.04157073301848237,False
0,d2 qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8402647972106934,-0.05311604589223862,-0.09168429328061557,-0.017987174056394824,0.03684855961211037,True
0,d2b qwenvid2b L14_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8597277402877808,-0.03365325182676315,-0.08448646736056044,0.011642969867303255,0.04806471861393185,False
0,d2b qwenvid2b L14_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8694709539413452,-0.023910019546747208,-0.04235869878743557,-0.006147103304786587,0.01810579774132449,False
0,d2b qwenvid2b L21_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8631211519241333,-0.03025972843170166,-0.07278891235519512,0.013395550683498736,0.04309223151934693,False
0,d2b qwenvid2b L21_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.86234712600708,-0.031033815816044807,-0.06796419016778332,0.0029529183967043687,0.03545855428224384,False
1,A ridge_late pooled (qwen4b L18),ADE vs log,s_ego deciles 1-9,pre_onset,640,1.824041724205017,-0.038759708404541016,-0.09512823630804754,0.016304069052447256,0.0557161526802474,False
1,d2 qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.7806510925292969,-0.08215044438838959,-0.14384966228839724,-0.016329522583833127,0.06376006985228205,True
1,d2 qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.8173872232437134,-0.045414380729198456,-0.07536700450711585,-0.01598718191700486,0.029689911295055493,False
1,d2b qwenvid2b L14_mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.7798973321914673,-0.08290430158376694,-0.1427938411081269,-0.014955729665896143,0.06391905572111538,True
1,d2b qwenvid2b L14_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.8270572423934937,-0.03574439138174057,-0.06381305067868519,-0.006213659255010808,0.02879969571183719,False
1,d2b qwenvid2b L21_mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.8000084161758423,-0.06279309093952179,-0.12354249609731531,-0.0026547245438357293,0.06044388577673979,True
1,d2b qwenvid2b L21_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.7922251224517822,-0.0705764889717102,-0.11323817373232642,-0.02891363373926279,0.04216226999653182,True
