direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8402652740478516,-0.05311718210577965,-0.09168538302724176,-0.017988025035901686,0.036848678995670035
0,A ridge_late qwenvid L18_last,ADE vs log,all deciles (side column),pre_onset,752,2.289658784866333,-0.05356350168585777,-0.09628916967724686,-0.012978415438594109,0.041655377119326376
0,A ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3991575241088867,-0.03318558633327484,-0.05620930040846823,-0.010775436484293195,0.022716931962087517
0,A ridge_late qwenvid L18_last,ADE vs log,all deciles (side column),straight_yaw,5855,1.7260171175003052,-0.04412192478775978,-0.06582440249894365,-0.021693453730654667,0.022065474384144496
0,A ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,all,9018,1.550731897354126,-0.025219934061169624,-0.041959719236815005,-0.009149838218528017,0.016404940509143495
0,A ridge_late qwenvid L18_last,ADE vs log,all deciles (side column),all,10021,1.9561632871627808,-0.036560628563165665,-0.052817971165111194,-0.021082456355060376,0.01586775740502541
0,A ridge_late qwenvid L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,-0.019931595772504807,-0.062218174239994574,0.023811383462240474,0.04301477885111753
0,A ridge_late qwenvid L18_last,RFS,rater frames (subset),all,237,7.160847039391182,0.015542007072133986,-0.08897871554210013,0.12558585962347288,0.1072822875827865
0,A ridge_late qwenvid L18_last,RFS,decile 10 only,all,39,6.289596997395534,-0.00012107106206125324,-0.14375730391309563,0.15923346007458047,0.15149538199383805
0,A ridge_late qwenvid L18_last,ADE vs rater_best,decile 10 only,all,39,5.162190914154053,-0.1857972890138626,-0.32973688237178017,-0.047965506215890304,0.14088568807794494
0,A ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,625,1.8523257970809937,-0.041056569665670395,-0.08338401387512634,-0.00024404531346794257,0.0415699842808292
0,A ridge_late qwenvid L18_mean,ADE vs log,all deciles (side column),pre_onset,752,2.2991693019866943,-0.04405278339982033,-0.08334867793434737,-0.003324124485246899,0.04001227672455024
0,A ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.3641345500946045,-0.06820857524871826,-0.09825023924418784,-0.03742029234796264,0.0304149734481126
0,A ridge_late qwenvid L18_mean,ADE vs log,all deciles (side column),straight_yaw,5855,1.6889123916625977,-0.08122650533914566,-0.1122853597548577,-0.049825165076155746,0.03123009733935098
0,A ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,all,9018,1.5307693481445312,-0.04518229886889458,-0.06622106492567437,-0.026784887186210582,0.019718088869731892
0,A ridge_late qwenvid L18_mean,ADE vs log,all deciles (side column),all,10021,1.9339402914047241,-0.05878353863954544,-0.08017980350089343,-0.04051027792329693,0.01983476278879825
0,A ridge_late qwenvid L18_mean,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.027152005583047867,-0.020455938707409124,0.0762783921287547,0.04836716541808191
0,A ridge_late qwenvid L18_mean,RFS,rater frames (subset),all,237,7.130599581507862,-0.014705450811186557,-0.12572777519149964,0.09729417324698741,0.11151097421924352
0,A ridge_late qwenvid L18_mean,RFS,decile 10 only,all,39,6.330694828193805,0.04097675973621026,-0.12364835542821966,0.21359506873658587,0.16862171208240276
0,A ridge_late qwenvid L18_mean,ADE vs rater_best,decile 10 only,all,39,5.167026042938232,-0.1809624880552292,-0.33030152360980325,-0.038899757445622726,0.14570088308209025
0,diff ego M20,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.4916183948516846,0.5982358455657959,0.40387727224290365,0.8127982751453657,0.20446050145123104
0,diff ego M20,ADE vs log,all deciles (side column),pre_onset,752,2.7461225986480713,0.4029005467891693,0.1974564910046698,0.6071335197061419,0.20483851435073608
0,diff ego M20,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,1.634988784790039,0.20264571905136108,0.13851997183511036,0.2659352624617004,0.06370764531329502
0,diff ego M20,ADE vs log,all deciles (side column),straight_yaw,5855,1.8706575632095337,0.10051850229501724,0.02024907099792793,0.18208250934135248,0.08091671917171228
0,diff ego M20,ADE vs log,s_ego deciles 1-9,all,9018,1.9004863500595093,0.3245345950126648,0.24860605601219415,0.4067200262934973,0.07905698514065157
0,diff ego M20,ADE vs log,all deciles (side column),all,10021,2.199496269226074,0.20677217841148376,0.12455851757619336,0.28875347163167847,0.08209747702774256
0,diff ego M20,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.3955901265144348,0.18496729969940928,0.5923801589600489,0.20370642963031982
0,diff ego M20,RFS,rater frames (subset),all,237,7.442124754912053,0.29681972259300365,0.052983548527260976,0.5369022280536163,0.24195933976317768
0,diff ego M20,RFS,decile 10 only,all,39,6.942109768424623,0.652391699967027,-0.08281741160375035,1.4148781145492966,0.7488477630765235
0,diff ego M20,ADE vs rater_best,decile 10 only,all,39,5.292534351348877,-0.055453862994909286,-1.113258672792178,1.0421566413763241,1.0777076570842512
0,diff qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.8421003818511963,0.9487177729606628,0.6787382807340415,1.2225000651422735,0.271880892204116
0,diff qwenvid L18_last,ADE vs log,all deciles (side column),pre_onset,752,3.1266350746154785,0.7834126353263855,0.5034111010618111,1.0667881528896117,0.2816885259139003
0,diff qwenvid L18_last,ADE vs log,s_ego deciles 1-9,straight_yaw,5410,2.323530912399292,0.8911880850791931,0.6550506547179876,1.1825419622877653,0.26374565378488884
0,diff qwenvid L18_last,ADE vs log,all deciles (side column),straight_yaw,5855,2.546236276626587,0.7760971784591675,0.5210266411119595,1.093408108656478,0.28619073377225923
0,diff qwenvid L18_last,ADE vs log,s_ego deciles 1-9,all,9018,2.493119478225708,0.9171679615974426,0.7486763163445412,1.1192435007380628,0.18528359219676077
0,diff qwenvid L18_last,ADE vs log,all deciles (side column),all,10021,2.77323317527771,0.7805091142654419,0.5960961358392597,0.9975973938353471,0.2007506289980437
0,diff qwenvid L18_last,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,625,,0.05752968788146973,-0.3159835355541467,0.4305143604653542,0.37324894800975045
0,diff qwenvid L18_last,RFS,rater frames (subset),all,237,7.278806530379983,0.13350149806093417,-0.14536807462133244,0.4343000810136411,0.28983407781748677
0,diff qwenvid L18_last,RFS,decile 10 only,all,39,7.0647167117410685,0.7749986432834737,0.14919757892561109,1.546563793720296,0.6986831073973425
0,diff qwenvid L18_last,ADE vs rater_best,decile 10 only,all,39,4.755126476287842,-0.5928614735603333,-1.841733397467014,0.7931348196589026,1.3174341085629584
