direction,arm,n_modes,pool,n_rater,minade1 [all],minade6 [all],minade20 [all],oracle_pool [all],minade1 [pre_onset dec1-9],minade6 [pre_onset dec1-9],minade20 [pre_onset dec1-9],oracle_pool [pre_onset dec1-9],minade1 [straight dec1-9],minade6 [straight dec1-9],minade20 [straight dec1-9],oracle_pool [straight dec1-9],rfs_top1,rfs_oracle_modes,uncovered_modes,uncovered_pool,oracle_modes - oracle_pool [all]
0,cls ego K1024,20,vocab K1024,237,3.2364707,1.3458424,0.8934876,0.5548657,2.9501483,1.6074784,1.2398756,0.75868654,2.74483,0.97988915,0.62309974,0.4002533,6.85824796955256,9.09871396757021,0.06751054852320675,0.004219409282700422,0.33862185
0,cls_late qwenvid L18_last,20,vocab K1024,237,3.4025269,1.3609844,0.89335424,0.5548657,2.949123,1.5575808,1.2223,0.75868654,2.9904838,1.0069398,0.6269859,0.4002533,6.764246138963855,9.090393178190547,0.06751054852320675,0.004219409282700422,0.33848852
0,cls_late qwenvid L18_mean,20,vocab K1024,237,3.3640044,1.3578258,0.8941582,0.5548657,2.9131153,1.5661305,1.2213948,0.75868654,2.953832,1.0040498,0.6277184,0.4002533,6.840946300566517,9.099877032251593,0.06751054852320675,0.004219409282700422,0.33929247
0,diff ego M20,20,anchors M20,237,2.1871421,1.201075,1.1756192,1.8459655,2.4176314,1.6257361,1.624936,2.5797129,1.6725626,0.8927399,0.891822,1.3457944,7.446833574888208,8.63254110222673,0.13924050632911392,0.16033755274261605,-0.67034626
0,diff qwenvid L18_last,20,anchors M20,237,2.7725277,1.4018042,1.3661959,1.8459655,2.9373298,1.762083,1.7463615,2.5797129,2.3094413,1.0725672,1.06162,1.3457944,7.212580960575539,8.689280881227807,0.1518987341772152,0.16033755274261605,-0.4797696
0,diff qwenvid L18_mean,20,anchors M20,237,2.8496814,1.3990026,1.3599763,1.8459655,2.830209,1.7266524,1.6876312,2.5797129,2.411588,1.0559881,1.0477403,1.3457944,7.262538407998469,8.75603756059412,0.13924050632911392,0.16033755274261605,-0.4859892
1,cls ego K1024,20,vocab K1024,241,3.1665943,1.3201095,0.8606689,0.5433205,3.2022965,1.6218414,1.2311409,0.82439214,2.6973186,0.9606008,0.59812814,0.39749292,6.681843116693564,9.084236419719776,0.06639004149377593,0.0,0.31734842
1,cls_late qwenvid L18_last,20,vocab K1024,241,3.2096605,1.3391699,0.86170065,0.5433205,2.9858582,1.5936518,1.212574,0.82439214,2.7409353,0.9998709,0.60249263,0.39749292,6.648173074264207,9.087603828302163,0.06639004149377593,0.0,0.31838018
1,cls_late qwenvid L18_mean,20,vocab K1024,241,3.2020712,1.3397003,0.86278486,0.5433205,2.9929397,1.5893676,1.2101715,0.82439214,2.729871,1.0026143,0.60367626,0.39749292,6.685567027256391,9.081332751051058,0.07053941908713693,0.0,0.3194644
1,diff ego M20,20,anchors M20,241,2.1064363,1.1298892,1.1134232,1.8130487,2.433618,1.505867,1.4976604,2.7051964,1.5970567,0.86436695,0.86066395,1.3367548,7.183041830667118,8.830314450639063,0.12033195020746888,0.1991701244813278,-0.6996255
1,diff qwenvid L18_last,20,anchors M20,241,2.6472006,1.3746014,1.3305832,1.8130487,2.8520973,1.8354928,1.8038658,2.7051964,2.2810814,1.0697844,1.0487818,1.3367548,7.150792956985716,8.7320191315778,0.17842323651452283,0.1991701244813278,-0.4824655
1,diff qwenvid L18_mean,20,anchors M20,241,2.7640486,1.3773838,1.3332331,1.8130487,3.063521,1.81672,1.7414653,2.7051964,2.4383147,1.0582862,1.0373181,1.3367548,6.911927438382591,8.623349549912836,0.17427385892116182,0.1991701244813278,-0.4798156
