,Waymo val (all),Waymo P3 subset,CARLA
frames,106360.0,19663.0,3000.0
sequences / routes,479.0,479.0,150.0
v0 p10 (m/s),0.003543312777765097,1.557017970085144,0.0
v0 p50 (m/s),4.694169521331787,5.736422061920166,6.3310019969940186
v0 p90 (m/s),11.175125980377203,11.774004364013669,7.497662734985352
|yaw rate| p50 (deg/s),0.6314120086646422,0.4393965333701721,0.24026948245416202
|yaw rate| p90 (deg/s),22.936768914436488,16.157839912871047,25.1900439246894
|heading change at 5 s| p50 (deg),1.8599042892456055,2.261014223098755,7.714377164840698
|heading change at 5 s| p90 (deg),56.309932708740234,69.35932312011718,86.42978973388672
layer pre_onset_lateral,0.014197066566378338,0.07414941768804353,0.2
layer pre_onset_start,0.029691613388491914,0.009917103188730103,0.075
layer pre_onset_brake,0.03563369687852576,0.040888979301225654,0.075
layer in_turn,0.10110943963896202,0.2155317093017342,0.25
layer stop_queue,0.12513162843174125,0.031124446930783707,0.1
layer straight,0.41349191425347875,0.5557646340843208,0.25
layer other,0.28074464084242196,0.07262370950516198,0.05
lateral pre-onset: junction_turn,0.6649006622516557,0.6625514403292181,0.6683333333333333
lateral pre-onset: lane_change,0.1947019867549669,0.19478737997256515,0.2733333333333333
lateral pre-onset: other_lateral,0.1403973509933775,0.14266117969821673,0.058333333333333334
intent GO_STRAIGHT,0.8525855584806318,0.8091847632609469,0.621
intent GO_LEFT,0.07491538172245205,0.07882825611554696,0.226
intent GO_RIGHT,0.07249905979691613,0.11198698062350608,0.153
s_ego decile 1,,0.10008981139606826,0.04533333333333334
s_ego decile 2,,0.09999002095599241,0.015
s_ego decile 3,,0.09999002095599241,0.004333333333333333
s_ego decile 4,,0.09999002095599241,0.006
s_ego decile 5,,0.09999002095599241,0.006666666666666667
s_ego decile 6,,0.09999002095599241,0.008
s_ego decile 7,,0.09999002095599241,0.025333333333333333
s_ego decile 8,,0.09999002095599241,0.022333333333333334
s_ego decile 9,,0.09999002095599241,0.043
s_ego decile 10,,0.09999002095599241,0.824
night (sun altitude < 0),,,0.22533333333333333
rain (precipitation > 0),,,0.4156666666666667
Large Map,,,0.716
towns,,,12.0
