route_id,town,scenario,length_m,sun_altitude,precipitation,fog
27494,Town04,BlockedIntersection,81.89552282314854,45.0,60.0,50.0
3090,Town12,CrossingBicycleFlow,78.97506843867362,45.0,100.0,7.0
2201,Town12,EnterActorFlow,78.5235884130037,45.0,60.0,50.0
2286,Town12,HighwayCutIn,106.06438119278289,15.0,0.0,2.0
23918,Town13,InterurbanActorFlow,133.89326628927634,0.0,100.0,7.0
23771,Town12,MergerIntoSlowTrafficV2,145.86039747603098,90.0,0.0,2.0
2084,Town12,NonSignalizedJunctionLeftTurn,73.8235444565422,-90.0,60.0,60.0
28219,Town12,NonSignalizedJunctionLeftTurnEnterFlow,76.69527836777758,15.0,0.0,2.0
2903,Town12,NonSignalizedJunctionRightTurn,78.09983135788501,45.0,60.0,50.0
26950,Town03,OppositeVehicleRunningRedLight,73.0094322725864,-90.0,0.0,2.0
2913,Town12,OppositeVehicleTakingPriority,74.71478169302124,-90.0,100.0,3.0
17563,Town12,SequentialLaneChange,117.17471318716534,45.0,0.0,50.0
3936,Town12,SignalizedJunctionLeftTurn,77.80118850412619,15.0,0.0,50.0
28198,Town15,SignalizedJunctionLeftTurnEnterFlow,77.91606184456732,45.0,60.0,3.0
27018,Town15,SignalizedJunctionRightTurn,74.37148373119065,15.0,0.0,2.0
28154,Town10HD,T_Junction,154.88544576069722,15.0,0.0,10.0
2403,Town12,VanillaNonSignalizedTurn,62.1956716301834,45.0,0.0,3.0
3184,Town12,VanillaNonSignalizedTurnEncounterStopsign,58.16832999989221,15.0,0.0,10.0
14862,Town12,VanillaSignalizedTurnEncounterGreenLight,57.231228847530495,-90.0,0.0,2.0
2373,Town12,VanillaSignalizedTurnEncounterRedLight,60.83743351108451,15.0,0.0,2.0
2144,Town12,VehicleTurningRoute,71.21367483487944,15.0,0.0,10.0
10857,Town12,VehicleTurningRoutePedestrian,72.5541847910512,15.0,0.0,2.0
