examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
TFv6 target speed,pooled,7.852740158204674,490,25,75,0.02040816326530612,0.0,0.06537022703818364,0.02040816326530612,0.0,1806,0.012181616832779624,0.05038992201559688,0.08408493643310781,1667.0,0.013550135501355013
TFv6 target speed,DynamicObjectCrossing,7.852740158204674,45,3,9,0.0,0.0,0.0,0.0,0.0,134,0.05223880597014925,,,,
TFv6 target speed,HighwayCutIn,7.852740158204674,102,4,12,0.0,0.0,0.0,0.0,0.0,588,0.01020408163265306,,,,
TFv6 target speed,Light,7.852740158204674,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
TFv6 target speed,OppositeVehicleRunningRedLight,7.852740158204674,0,0,0,,,,,,31,0.0967741935483871,,,,
TFv6 target speed,ParkingCrossingPedestrian,7.852740158204674,76,5,15,0.0,0.0,0.0,0.0,0.0,123,0.07317073170731707,,,,
TFv6 target speed,ParkingCutIn,7.852740158204674,135,5,15,0.0,0.0,0.0,0.0,0.0,411,0.0,,,,
TFv6 target speed,PedestrianCrossing,7.852740158204674,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.002770083102493075,,,,
TFv6 target speed,StaticCutIn,7.852740158204674,123,5,15,0.08130081300813008,0.0,0.24,0.08130081300813008,0.0,355,0.0,,,,
TFv6 target speed,VehicleTurningRoutePedestrian,7.852740158204674,10,1,3,0.0,0.0,0.0,0.0,0.0,886,0.0,,,,
TFv6 waypoint speed 2 s,pooled,2.2217471650678857,490,25,75,0.39387755102040817,0.28512147163332935,0.5009495092778605,0.39387755102040817,0.0,1806,0.1212624584717608,0.05038992201559688,0.07123108265424913,1667.0,0.38301182642029374
TFv6 waypoint speed 2 s,DynamicObjectCrossing,2.2217471650678857,45,3,9,0.37777777777777777,0.3333333333333333,0.4444444444444444,0.37777777777777777,0.0,134,0.2462686567164179,,,,
TFv6 waypoint speed 2 s,HighwayCutIn,2.2217471650678857,102,4,12,0.46078431372549017,0.08333333333333333,0.7962962962962963,0.46078431372549017,0.0,588,0.08163265306122448,,,,
TFv6 waypoint speed 2 s,Light,2.2217471650678857,9,3,9,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,195,0.020512820512820513,,,,
TFv6 waypoint speed 2 s,OppositeVehicleRunningRedLight,2.2217471650678857,0,0,0,,,,,,31,0.0,,,,
TFv6 waypoint speed 2 s,ParkingCrossingPedestrian,2.2217471650678857,76,5,15,0.35526315789473684,0.09523809523809523,0.4639175257731959,0.35526315789473684,0.0,123,0.07317073170731707,,,,
TFv6 waypoint speed 2 s,ParkingCutIn,2.2217471650678857,135,5,15,0.34814814814814815,0.23703703703703705,0.5111111111111111,0.34814814814814815,0.0,411,0.12408759124087591,,,,
TFv6 waypoint speed 2 s,PedestrianCrossing,2.2217471650678857,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.3684210526315789,,,,
TFv6 waypoint speed 2 s,StaticCutIn,2.2217471650678857,123,5,15,0.42276422764227645,0.18181818181818182,0.656,0.42276422764227645,0.0,355,0.2084507042253521,,,,
TFv6 waypoint speed 2 s,VehicleTurningRoutePedestrian,2.2217471650678857,10,1,3,1.0,1.0,1.0,1.0,0.0,886,0.05417607223476298,,,,
TFv6 target speed (decoded scalar),pooled,7.843800067901611,490,25,75,0.04081632653061224,0.0,0.1221755869729866,0.04897959183673469,0.00816326530612245,1806,0.016611295681063124,0.05458908218356329,0.0834661245519197,1667.0,0.026979825353809096
TFv6 target speed (decoded scalar),DynamicObjectCrossing,7.843800067901611,45,3,9,0.0,0.0,0.0,0.0,0.0,134,0.05970149253731343,,,,
TFv6 target speed (decoded scalar),HighwayCutIn,7.843800067901611,102,4,12,0.0,0.0,0.0,0.0392156862745098,0.0392156862745098,588,0.022108843537414966,,,,
TFv6 target speed (decoded scalar),Light,7.843800067901611,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
TFv6 target speed (decoded scalar),OppositeVehicleRunningRedLight,7.843800067901611,0,0,0,,,,,,31,0.0967741935483871,,,,
TFv6 target speed (decoded scalar),ParkingCrossingPedestrian,7.843800067901611,76,5,15,0.0,0.0,0.0,0.0,0.0,123,0.07317073170731707,,,,
TFv6 target speed (decoded scalar),ParkingCutIn,7.843800067901611,135,5,15,0.007407407407407408,0.0,0.022222222222222223,0.007407407407407408,0.0,411,0.0,,,,
TFv6 target speed (decoded scalar),PedestrianCrossing,7.843800067901611,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.002770083102493075,,,,
TFv6 target speed (decoded scalar),StaticCutIn,7.843800067901611,123,5,15,0.15447154471544716,0.0,0.432,0.15447154471544716,0.0,355,0.0,,,,
TFv6 target speed (decoded scalar),VehicleTurningRoutePedestrian,7.843800067901611,10,1,3,0.0,0.0,0.0,0.0,0.0,886,0.0,,,,
ridge ego,pooled,0.0,490,25,75,0.0653061224489796,0.036883657389757275,0.10387582569259582,0.0653061224489796,0.0,1806,0.0022148394241417496,0.0065986802639472104,0.006439533650687537,1667.0,0.21493157810835073
ridge ego,DynamicObjectCrossing,0.0,45,3,9,0.06666666666666667,0.0,0.16666666666666666,0.06666666666666667,0.0,134,0.029850746268656716,,,,
ridge ego,HighwayCutIn,0.0,102,4,12,0.058823529411764705,0.0,0.11764705882352941,0.058823529411764705,0.0,588,0.0,,,,
ridge ego,Light,0.0,9,3,9,1.0,1.0,1.0,1.0,0.0,195,0.0,,,,
ridge ego,OppositeVehicleRunningRedLight,0.0,0,0,0,,,,,,31,0.5161290322580645,,,,
ridge ego,ParkingCrossingPedestrian,0.0,76,5,15,0.13157894736842105,0.08064516129032258,0.19642857142857142,0.13157894736842105,0.0,123,0.0,,,,
ridge ego,ParkingCutIn,0.0,135,5,15,0.0,0.0,0.0,0.0,0.0,411,0.0,,,,
ridge ego,PedestrianCrossing,0.0,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.0,,,,
ridge ego,StaticCutIn,0.0,123,5,15,0.032520325203252036,0.0,0.064,0.032520325203252036,0.0,355,0.0,,,,
ridge ego,VehicleTurningRoutePedestrian,0.0,10,1,3,0.0,0.0,0.0,0.1,0.1,886,0.013544018058690745,,,,
ridge_late L18_last,pooled,0.5082299828529349,490,25,75,0.0,0.0,0.0,0.0,0.0,1806,0.0,0.05038992201559688,0.052850424739796446,1667.0,0.0
ridge_late L18_last,DynamicObjectCrossing,0.5082299828529349,45,3,9,0.0,0.0,0.0,0.0,0.0,134,0.0,,,,
ridge_late L18_last,HighwayCutIn,0.5082299828529349,102,4,12,0.0,0.0,0.0,0.0,0.0,588,0.0,,,,
ridge_late L18_last,Light,0.5082299828529349,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late L18_last,OppositeVehicleRunningRedLight,0.5082299828529349,0,0,0,,,,,,31,0.0,,,,
ridge_late L18_last,ParkingCrossingPedestrian,0.5082299828529349,76,5,15,0.0,0.0,0.0,0.0,0.0,123,0.0,,,,
ridge_late L18_last,ParkingCutIn,0.5082299828529349,135,5,15,0.0,0.0,0.0,0.0,0.0,411,0.0,,,,
ridge_late L18_last,PedestrianCrossing,0.5082299828529349,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.0,,,,
ridge_late L18_last,StaticCutIn,0.5082299828529349,123,5,15,0.0,0.0,0.0,0.0,0.0,355,0.0,,,,
ridge_late L18_last,VehicleTurningRoutePedestrian,0.5082299828529349,10,1,3,0.0,0.0,0.0,0.0,0.0,886,0.0,,,,
ridge_late L18_mean,pooled,0.3407775998115539,490,25,75,0.0,0.0,0.0,0.0,0.0,1806,0.0,0.05038992201559688,0.055577087103355266,1667.0,0.0
ridge_late L18_mean,DynamicObjectCrossing,0.3407775998115539,45,3,9,0.0,0.0,0.0,0.0,0.0,134,0.0,,,,
ridge_late L18_mean,HighwayCutIn,0.3407775998115539,102,4,12,0.0,0.0,0.0,0.0,0.0,588,0.0,,,,
ridge_late L18_mean,Light,0.3407775998115539,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
ridge_late L18_mean,OppositeVehicleRunningRedLight,0.3407775998115539,0,0,0,,,,,,31,0.0,,,,
ridge_late L18_mean,ParkingCrossingPedestrian,0.3407775998115539,76,5,15,0.0,0.0,0.0,0.0,0.0,123,0.0,,,,
ridge_late L18_mean,ParkingCutIn,0.3407775998115539,135,5,15,0.0,0.0,0.0,0.0,0.0,411,0.0,,,,
ridge_late L18_mean,PedestrianCrossing,0.3407775998115539,3,1,3,0.0,0.0,0.0,0.0,0.0,722,0.0,,,,
ridge_late L18_mean,StaticCutIn,0.3407775998115539,123,5,15,0.0,0.0,0.0,0.0,0.0,355,0.0,,,,
ridge_late L18_mean,VehicleTurningRoutePedestrian,0.3407775998115539,10,1,3,0.0,0.0,0.0,0.0,0.0,886,0.0,,,,
