probe,tap,scope,n_frames,routes,auc_plus_vs_minus,lo,hi,mean_score_plus,mean_score_minus
hazard,L18_last,pooled,3744,37,0.635188095825115,0.5814909224590384,0.6899660347334506,0.12396132522543749,0.0500020068394167
hazard,L18_last,DynamicObjectCrossing,179,5,0.6240129833650635,0.5971516588442122,0.7267249527410207,0.18378258551773435,0.019513669908768627
hazard,L18_last,HighwayCutIn,690,5,0.8368536021844151,0.8106055981197156,0.907159322989953,0.16489150325876942,0.013409665711161865
hazard,L18_last,OppositeVehicleRunningRedLight,31,2,0.5036420395421436,0.4864,0.8333333333333333,0.05650426093287082,0.007648064231459777
hazard,L18_last,ParkingCrossingPedestrian,199,5,0.536072321406025,0.5141155635090501,0.6278698979591837,0.14571966808152545,0.08292864176501236
hazard,L18_last,ParkingCutIn,546,5,0.5626031477679829,0.5101325878525115,0.6032136826782482,0.10085390095028433,0.03974492662434516
hazard,L18_last,PedestrianCrossing,725,5,0.7741184304399525,0.7173126203044367,0.9304180839002267,0.1194432477760855,0.01146364082711451
hazard,L18_last,StaticCutIn,478,5,0.5278225171127956,0.5161758405771064,0.5433223509405888,0.2509697467618657,0.2390075808860533
hazard,L18_last,VehicleTurningRoutePedestrian,896,5,0.5008544921875,0.47655497491729903,0.5671221214530462,0.027972111653996632,0.015027359877129649
hazard,L18_mean,pooled,3744,37,0.6354062868110344,0.5735604103007444,0.7011784206194721,0.18610675285434103,0.0688604698655222
hazard,L18_mean,DynamicObjectCrossing,179,5,0.6706407415498892,0.6147197350033642,0.7513922922699933,0.18503441826693467,0.03472442292761685
hazard,L18_mean,HighwayCutIn,690,5,0.7980802352446965,0.709726443768997,0.9181776599737286,0.45983874154413384,0.12084395027439551
hazard,L18_mean,OppositeVehicleRunningRedLight,31,2,0.6951092611862644,0.6951092611862644,1.0,0.03526755034744706,0.0006853688059157819
hazard,L18_mean,ParkingCrossingPedestrian,199,5,0.5502133784500391,0.5173178793438629,0.701530612244898,0.28229792397434184,0.19213217661081902
hazard,L18_mean,ParkingCutIn,546,5,0.5673160783050893,0.5476565822934949,0.603308779132955,0.11340366561015243,0.07752854531111888
hazard,L18_mean,PedestrianCrossing,725,5,0.878525564803805,0.8015783983192973,0.9541541583667666,0.15235643591755432,0.00500512843787227
hazard,L18_mean,StaticCutIn,478,5,0.5026829012097127,0.48445618764613463,0.5271750605945713,0.1718613756109403,0.1521988800747776
hazard,L18_mean,VehicleTurningRoutePedestrian,896,5,0.5348896882971939,0.49183856838293755,0.6157698354069038,0.038590015864235126,0.012555450526261629
light,L18_last,pooled,204,4,0.5001682045367166,0.1388888888888889,0.5009494018695915,0.8504912907572397,0.8454648556626304
light,L18_last,Light,204,4,0.5001682045367166,0.1388888888888889,0.5009494018695915,0.8504912907572397,0.8454648556626304
light,L18_mean,pooled,204,4,0.5031237985390234,0.22222222222222224,0.503820645905421,0.7229326214720084,0.7212455739624121
light,L18_mean,Light,204,4,0.5031237985390234,0.22222222222222224,0.503820645905421,0.7229326214720084,0.7212455739624121
