base_id,town,family,orig_type,seed,plus,minus,null,source
1711,Town12,ParkingCutIn,ParkingCutIn,0,171110,171120,171130,bench2drive220
1711,Town12,ParkingCutIn,ParkingCutIn,1,171111,171121,,bench2drive220
1711,Town12,ParkingCutIn,ParkingCutIn,2,171112,171122,,bench2drive220
2082,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,0,208210,208220,208230,bench2drive220
2082,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,1,208211,208221,,bench2drive220
2082,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,2,208212,208222,,bench2drive220
2164,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,0,216410,216420,216430,bench2drive220
2164,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,1,216411,216421,,bench2drive220
2164,Town12,VehicleTurningRoutePedestrian,VehicleTurningRoutePedestrian,2,216412,216422,,bench2drive220
2286,Town12,HighwayCutIn,HighwayCutIn,0,228610,228620,228630,bench2drive220
2286,Town12,HighwayCutIn,HighwayCutIn,1,228611,228621,,bench2drive220
2286,Town12,HighwayCutIn,HighwayCutIn,2,228612,228622,,bench2drive220
2373,Town12,Light,VanillaSignalizedTurnEncounterRedLight,0,237310,237320,237330,bench2drive220
2373,Town12,Light,VanillaSignalizedTurnEncounterRedLight,1,237311,237321,,bench2drive220
2373,Town12,Light,VanillaSignalizedTurnEncounterRedLight,2,237312,237322,,bench2drive220
2709,Town12,StaticCutIn,StaticCutIn,0,270910,270920,270930,bench2drive220
2709,Town12,StaticCutIn,StaticCutIn,1,270911,270921,,bench2drive220
2709,Town12,StaticCutIn,StaticCutIn,2,270912,270922,,bench2drive220
2715,Town12,StaticCutIn,StaticCutIn,0,271510,271520,271530,bench2drive220
2715,Town12,StaticCutIn,StaticCutIn,1,271511,271521,,bench2drive220
2715,Town12,StaticCutIn,StaticCutIn,2,271512,271522,,bench2drive220
2844,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,0,284410,284420,284430,bench2drive220
2844,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,1,284411,284421,,bench2drive220
2844,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,2,284412,284422,,bench2drive220
2847,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,0,284710,284720,284730,bench2drive220
2847,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,1,284711,284721,,bench2drive220
2847,Town12,OppositeVehicleRunningRedLight,OppositeVehicleRunningRedLight,2,284712,284722,,bench2drive220
3072,Town12,HighwayCutIn,HighwayCutIn,0,307210,307220,307230,bench2drive220
3072,Town12,HighwayCutIn,HighwayCutIn,1,307211,307221,,bench2drive220
3072,Town12,HighwayCutIn,HighwayCutIn,2,307212,307222,,bench2drive220
3074,Town12,HighwayCutIn,HighwayCutIn,0,307410,307420,307430,bench2drive220
