family,pairs,ok_ba,ok_pdm,ok_both,reactive_ba,reactive_pdm,reactive_both,reactive_only_ba,reactive_only_pdm,frames_reactive_ba,frames_reactive_pdm,lead_s_ba,lead_s_pdm,d_reactive_ba,d_reactive_pdm,d_min_ba,d_min_pdm
all,303,246,211,205,126,140,121,5,19,1003,783,5.6000000000000005,0.7000000000000001,-6.885862857103348,-4.858973026275635,-3.034423351287842,-5.351903915405273
DynamicObjectCrossing,45,45,30,30,27,30,27,0,3,227,142,1.8,0.0,-6.49846875667572,-5.0957478284835815,-7.410143527202308,-6.222014427185059
HardBreakRoute,24,3,2,2,0,0,0,0,0,0,0,,,,,,0.0
HighwayCutIn,27,27,27,27,24,23,23,1,0,207,111,8.100000000000001,1.8,-7.2019967418164015,-2.073343276977539,-7.478519437368959,-2.1589279174804688
Light,51,24,17,11,3,0,0,3,0,3,0,0.0,,-6.930810451507568,,-6.930810451507568,0.3439950942993164
OppositeVehicleRunningRedLight,18,12,9,9,0,0,0,0,0,0,0,,,,,0.0,-0.0003371238708496094
ParkingCrossingPedestrian,21,18,9,9,9,9,9,0,0,60,62,3.0,0.6000000000000001,-2.376532793045044,-5.554355621337891,-4.712275505065918,-6.846673488616943
ParkingCutIn,24,24,24,24,24,24,24,0,0,217,186,6.2,3.0,-1.487839698791504,-5.196295261383057,-2.402592658996582,-9.177272334694862
PedestrianCrossing,21,21,21,21,6,11,5,1,6,27,38,1.5,0.0,-3.916136860032566,-1.6120787127874792,0.0,-0.4921882152557373
StaticCutIn,30,30,30,30,30,30,30,0,0,252,177,5.6000000000000005,0.0,-7.186176517512649,-6.697260856628418,-7.45399284362793,-8.771853387355804
VehicleTurningRoutePedestrian,42,42,42,42,3,13,3,0,10,10,67,8.4,14.600000000000001,-0.8959791660308838,-2.567976951599121,0.0,0.0
