group,axis,vlm,best_baseline,baseline_acc,vlm_acc,delta,d_lo,d_hi
pre_onset,long,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.6584362139917695,0.5192043895747599,-0.1392318244170096,-0.22308493453923206,-0.052326913407515926
pre_onset,long,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.6584362139917695,0.5534979423868313,-0.10493827160493827,-0.1831915476904878,-0.02948071907600599
pre_onset,long,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.6584362139917695,0.6179698216735254,-0.04046639231824417,-0.07568386372002506,-0.003367409610464457
pre_onset,long,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",0.6584362139917695,0.5288065843621399,-0.12962962962962962,-0.20088150640256472,-0.06515616603753559
pre_onset,lat3,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.6117969821673526,0.5919067215363512,-0.019890260631001373,-0.04747044374750333,-0.0006968156845273407
pre_onset,lat3,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.6117969821673526,0.6111111111111112,-0.0006858710562414266,-0.0021261893632100364,0.0
pre_onset,lat3,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.6117969821673526,0.6117969821673526,0.0,0.0,0.0
pre_onset,lat3,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.6117969821673526,0.588477366255144,-0.023319615912208505,-0.04291415694818232,-0.0067329473120450985
pre_onset,lat,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.607681755829904,0.5877914951989026,-0.019890260631001373,-0.04747044374750333,-0.0006968156845273407
pre_onset,lat,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.607681755829904,0.6069958847736625,-0.0006858710562414266,-0.0021261893632100364,0.0
pre_onset,lat,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.607681755829904,0.607681755829904,0.0,0.0,0.0
pre_onset,lat,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.607681755829904,0.5809327846364883,-0.026748971193415638,-0.046272839714398155,-0.010505546604721992
pre_onset,joint,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.3936899862825789,0.30315500685871055,-0.09053497942386832,-0.16006425251367912,-0.022888930290640305
pre_onset,joint,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.3936899862825789,0.3299039780521262,-0.06378600823045268,-0.12635311945594324,-0.005695101337400434
pre_onset,joint,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.3936899862825789,0.3683127572016461,-0.025377229080932786,-0.056645955622163936,0.008529498665650016
pre_onset,joint,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.3936899862825789,0.29492455418381347,-0.09876543209876543,-0.1616017592525002,-0.042887612284802784
straight_yaw,long,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.6248285322359396,0.5459533607681756,-0.07887517146776406,-0.12277055613912231,-0.03663659769427811
straight_yaw,long,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.6248285322359396,0.551440329218107,-0.07338820301783265,-0.11885314224422015,-0.03252222256620816
straight_yaw,long,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.6248285322359396,0.5377229080932785,-0.08710562414266118,-0.10865210739500646,-0.0667091781120558
straight_yaw,long,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",,,,,
straight_yaw,lat3,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.821673525377229,0.8196159122085048,-0.00205761316872428,-0.005705449661698682,0.001348451434214727
straight_yaw,lat3,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.821673525377229,0.821673525377229,0.0,0.0,0.0
