arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],134,0.0,0.0,0.0,0.05109268202722484,0.6361111111111111,0.0,0.0,0.0,False,True,True,False
M-C pair [cinque],134,0.0,0.0,0.0,0.04967135974365772,0.7694444444444445,0.13333333333333333,0.06556332141364418,0.2075485490455699,False,True,True,False
M-C pair (mu=0) [cinque],134,0.0,0.0,0.0,0.05429696054587997,0.675,0.03888888888888889,-0.08650129061645916,0.1479476926609015,False,True,True,False
M-C pair qwen [cinque],134,0.0,0.0,0.0,0.05287563826231284,0.6472222222222223,0.011111111111111112,-0.04843843843843843,0.08078356706973447,False,True,True,False
M-C pair op [cinque],134,0.0,0.0,0.0,0.05552305812653442,0.7888888888888889,0.1527777777777778,0.08171977108680638,0.2276903168441024,False,True,True,False
M-C hard [cinque],134,0.0,0.0,0.0,0.05494674904044537,0.6194444444444445,-0.016666666666666666,-0.041439333649622746,0.0057306590257879654,False,True,True,False
M-C uniform [cinque],134,0.0,0.0,0.0,0.051674754204174785,0.6361111111111111,0.0,0.0,0.0,False,True,True,False
prior [lebowski],134,0.0,0.0,0.0,0.054952512131306266,0.5666666666666667,0.0,0.0,0.0,False,True,True,False
M-C pair [lebowski],134,0.014925373134328358,0.0,0.04762617621899055,0.0599087702716721,0.6305555555555555,0.06388888888888888,-0.01994876721101505,0.14731458691311006,False,True,True,False
M-C pair (mu=0) [lebowski],134,0.007462686567164179,0.0,0.023813088109495274,0.05514197374335804,0.6027777777777777,0.03611111111111111,-0.09115300016293158,0.16945361635220121,False,True,True,False
M-C pair qwen [lebowski],134,0.0,0.0,0.0,0.053867610276743624,0.5527777777777778,-0.013888888888888888,-0.10423679819966632,0.05995371580008207,False,True,True,False
M-C pair op [lebowski],134,0.0,0.0,0.0,0.05539338858216439,0.7222222222222222,0.15555555555555556,0.06996738439988925,0.2594594594594595,False,True,True,False
M-C hard [lebowski],134,0.0,0.0,0.0,0.06054703258451573,0.5777777777777777,0.011111111111111112,-0.019886363636363636,0.05449963520495524,False,True,True,False
M-C uniform [lebowski],134,0.0,0.0,0.0,0.05437043995435632,0.5555555555555556,-0.011111111111111112,-0.0335195530726257,0.0,False,True,True,False
