arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi,a_ped,b_cutin,c_null,pass
prior [cinque],134,0.0,0.0,0.0,0.05109268202722484,0.6361111111111111,0.0,0.0,0.0,False,True,True,False
M-C pair [cinque],134,0.0,0.0,0.0,0.04967135974365772,0.7694444444444445,0.13333333333333333,0.06556332141364418,0.2075485490455699,False,True,True,False
M-C pair (mu=0) [cinque],134,0.0,0.0,0.0,0.05429696054587997,0.675,0.03888888888888889,-0.08650129061645916,0.1479476926609015,False,True,True,False
M-C pair qwen [cinque],134,0.0,0.0,0.0,0.05287563826231284,0.6472222222222223,0.011111111111111112,-0.04843843843843843,0.08078356706973447,False,True,True,False
M-C pair op [cinque],134,0.0,0.0,0.0,0.05494098594958448,0.7972222222222223,0.16111111111111112,0.09339383294301327,0.23465737631346806,False,True,True,False
M-C hard [cinque],134,0.0,0.0,0.0,0.05494674904044537,0.6194444444444445,-0.016666666666666666,-0.041439333649622746,0.0057306590257879654,False,True,True,False
M-C uniform [cinque],134,0.0,0.0,0.0,0.05047387014603672,0.6388888888888888,0.002777777777777778,0.0,0.008475176453641904,False,True,True,False
prior [lebowski],134,0.0,0.0,0.0,0.054952512131306266,0.5666666666666667,0.0,0.0,0.0,False,True,True,False
M-C pair [lebowski],134,0.014925373134328358,0.0,0.04762617621899055,0.0599087702716721,0.6305555555555555,0.06388888888888888,-0.01994876721101505,0.14731458691311006,False,True,True,False
M-C pair (mu=0) [lebowski],134,0.007462686567164179,0.0,0.023813088109495274,0.05514197374335804,0.6027777777777777,0.03611111111111111,-0.09115300016293158,0.16945361635220121,False,True,True,False
M-C pair qwen [lebowski],134,0.0,0.0,0.0,0.053867610276743624,0.5527777777777778,-0.013888888888888888,-0.10423679819966632,0.05995371580008207,False,True,True,False
M-C pair op [lebowski],134,0.0,0.0,0.0,0.05597546075911433,0.7277777777777777,0.16111111111111112,0.07797294290077274,0.2648828096389071,False,True,True,False
M-C hard [lebowski],134,0.0,0.0,0.0,0.06054703258451573,0.5777777777777777,0.011111111111111112,-0.019886363636363636,0.05449963520495524,False,True,True,False
M-C uniform [lebowski],134,0.0,0.0,0.0,0.05437043995435632,0.5583333333333333,-0.008333333333333333,-0.025139664804469275,0.0,False,True,True,False
