scope,tap,vs,n_frames,routes,auc,auc_lo,auc_hi,auc_vs,delta,lo,hi
pedestrian,op-cinque vision,op-cinque temporal,4414,42,0.5086995870740398,0.498773765889244,0.519856477903753,0.5081025915605267,0.00059699551351311,-0.006531945999656679,0.006578965730271153
pedestrian,op-cinque vision,L18_last,4414,42,0.5086995870740398,0.498773765889244,0.519856477903753,0.5775065342818059,-0.06880694720776603,-0.11594536301549231,-0.02974007245077385
pedestrian,op-cinque hidden,op-cinque temporal,4414,42,0.5109296654443609,0.5043804208956613,0.5196174137199493,0.5081025915605267,0.002827073883834186,-0.006959666194256494,0.011262446963741093
pedestrian,op-cinque hidden,L18_last,4414,42,0.5109296654443609,0.5043804208956613,0.5196174137199493,0.5775065342818059,-0.06657686883744496,-0.11837187895386352,-0.024600620685259027
pedestrian,op-lebowski vision,op-lebowski temporal,4414,42,0.5138226415969782,0.5013597649192004,0.5285924186915466,0.5129590601145714,0.0008635814824068389,-0.00944098425661034,0.01040875406896526
pedestrian,op-lebowski vision,L18_last,4414,42,0.5138226415969782,0.5013597649192004,0.5285924186915466,0.5775065342818059,-0.06368389268482766,-0.1060922762811008,-0.027152072875363188
pedestrian,op-lebowski hidden,op-lebowski temporal,4414,42,0.5158131056823975,0.5061113257211922,0.5287785880516167,0.5129590601145714,0.002854045567826091,-0.003995387090424948,0.009466968494054711
pedestrian,op-lebowski hidden,L18_last,4414,42,0.5158131056823975,0.5061113257211922,0.5287785880516167,0.5775065342818059,-0.061693428599408406,-0.1059927165088674,-0.025645217157922985
pedestrian,op-cinque temporal,L18_last,4414,42,0.5081025915605267,0.500954996678714,0.5186595701031367,0.5775065342818059,-0.06940394272127914,-0.11993682769843263,-0.02768781888025662
pedestrian,op-lebowski temporal,L18_last,4414,42,0.5129590601145714,0.5069437971764962,0.5227902915605778,0.5775065342818059,-0.0645474741672345,-0.1107708116042222,-0.02596160722824995
hazard pooled,op-cinque vision,op-cinque temporal,7639,72,0.5326616172948015,0.5206437480940227,0.5513991140618081,0.5544768912656871,-0.021815273970885563,-0.04741516453671962,-0.004008333538723817
hazard pooled,op-cinque vision,L18_last,7639,72,0.5326616172948015,0.5206437480940227,0.5513991140618081,0.5900043888780747,-0.05734277158327317,-0.08834959275539879,-0.02633402910708094
hazard pooled,op-cinque hidden,op-cinque temporal,7639,72,0.5426244356437632,0.5286688021242886,0.5646708763954937,0.5544768912656871,-0.01185245562192394,-0.03622360510177945,0.009333517633795158
hazard pooled,op-cinque hidden,L18_last,7639,72,0.5426244356437632,0.5286688021242886,0.5646708763954937,0.5900043888780747,-0.047379953234311545,-0.08064351397386252,-0.01759256021545528
