model,arm,seed,metric,group,n,prior_score,plus_student,delta,lo,hi
cinque,A,0,PDMS,all,12146,73.52350931819456,72.22840868975203,-1.2951006284425202,-1.5509442741514774,-1.044723450270321
cinque,A,0,PDMS,ped_cyc_corridor,897,74.24033637843782,72.94314099715939,-1.2971953812784254,-2.173115252115031,-0.486624344445977
cinque,A,0,PDMS,no ped_cyc,11249,73.46634922636076,72.17141563439206,-1.2949335919687175,-1.5662100548560556,-1.0332320781477662
cinque,A,0,PDMS,straight,4365,77.24221729361146,74.99936259019996,-2.242854703411513,-2.6904170917624017,-1.7912770571657628
cinque,A,0,EPDMS,all,12146,73.851093705465,72.5151561695162,-1.335937535948792,-1.6129270161757452,-1.0632035026528717
cinque,A,0,EPDMS,ped_cyc_corridor,897,74.9299642748395,73.34097181875927,-1.5889924560802182,-2.5285003334572274,-0.7054477893128882
cinque,A,0,EPDMS,no ped_cyc,11249,73.76506411165853,72.44930528167096,-1.3157588299875604,-1.5997528177978966,-1.030076681508328
cinque,A,0,EPDMS,straight,4365,80.64803982191032,78.54041220980203,-2.107627612108304,-2.5977940599493388,-1.6284142106513004
cinque,A,1,PDMS,all,12146,73.52350931819456,72.35446639794438,-1.1690429202501798,-1.4191302633736258,-0.9230437955851998
cinque,A,1,PDMS,ped_cyc_corridor,897,74.24033637843783,72.73100497174147,-1.5093314066963543,-2.402383979351387,-0.6489474324443186
cinque,A,1,PDMS,no ped_cyc,11249,73.46634922636076,72.32444105340744,-1.141908172953334,-1.4052993554436652,-0.8898726924924738
cinque,A,1,PDMS,straight,4365,77.24221729361146,74.80007918498508,-2.442138108626379,-2.9098190584096497,-1.9760253079851533
cinque,A,1,EPDMS,all,12146,73.851093705465,72.60538592906396,-1.2457077764010456,-1.5205267390386479,-0.9755185615419752
cinque,A,1,EPDMS,ped_cyc_corridor,897,74.9299642748395,73.3920463520954,-1.5379179227440787,-2.5486409094160947,-0.5987870983369294
cinque,A,1,EPDMS,no ped_cyc,11249,73.76506411165853,72.5426572954557,-1.2224068162028323,-1.5066331351579374,-0.9455886944731764
cinque,A,1,EPDMS,straight,4365,80.64803982191032,78.40561936468232,-2.2424204572279955,-2.763679259504377,-1.7419779032468057
cinque,A,2,PDMS,all,12146,73.52350931819456,72.42651819845813,-1.0969911197364346,-1.3433211105162859,-0.8636829197697115
cinque,A,2,PDMS,ped_cyc_corridor,897,74.24033637843782,72.88376188380205,-1.3565744946357716,-2.2267028037972794,-0.518056131833792
cinque,A,2,PDMS,no ped_cyc,11249,73.46634922636076,72.39005739431967,-1.0762918320411101,-1.3241590383158555,-0.8250547123219966
cinque,A,2,PDMS,straight,4365,77.24221729361146,75.4526616466898,-1.7895556469216571,-2.199226702939161,-1.384228202296753
cinque,A,2,EPDMS,all,12146,73.851093705465,72.70511810134505,-1.1459756041199527,-1.4025573807696015,-0.8939271271790333
cinque,A,2,EPDMS,ped_cyc_corridor,897,74.92996427483949,73.66517231700614,-1.264791957833355,-2.2330517733562334,-0.32681321816503317
cinque,A,2,EPDMS,no ped_cyc,11249,73.76506411165853,72.62856297364941,-1.1365011380091055,-1.404848373974742,-0.8721581138594163
cinque,A,2,EPDMS,straight,4365,80.64803982191032,79.04672864714641,-1.6013111747639266,-2.0466679827326932,-1.1633996350171982
cinque,B,0,PDMS,all,12146,73.52350931819456,71.5959462819181,-1.9275630362764542,-2.2342825743975157,-1.62555459634022
cinque,B,0,PDMS,ped_cyc_corridor,897,74.24033637843782,71.9274658619573,-2.312870516480528,-3.2636913760021575,-1.4061410384843172
cinque,B,0,PDMS,no ped_cyc,11249,73.46634922636076,71.5695107709131,-1.8968384554476643,-2.212417142344973,-1.569645639223451
cinque,B,0,PDMS,straight,4365,77.24221729361146,73.56563662517169,-3.6765806684397746,-4.239307379591138,-3.1200971036028995
cinque,B,0,EPDMS,all,12146,73.851093705465,72.10070016106143,-1.7503935444035772,-2.084436913467322,-1.4259908601180635
cinque,B,0,EPDMS,ped_cyc_corridor,897,74.92996427483949,72.96776424588613,-1.9622000289533548,-3.031043261935437,-0.9411965931262103
cinque,B,0,EPDMS,no ped_cyc,11249,73.76506411165853,72.03156010558202,-1.7335040060765128,-2.0886003289159016,-1.3973144953641696
cinque,B,0,EPDMS,straight,4365,80.64803982191033,77.41278716925102,-3.235252652659313,-3.858256839259535,-2.6310423809717984
cinque,B,1,PDMS,all,12146,73.52350931819456,71.75474753318396,-1.7687617850105974,-2.070821021701967,-1.4693284088928982
cinque,B,1,PDMS,ped_cyc_corridor,897,74.24033637843782,71.95424544978951,-2.286090928648313,-3.301015881488002,-1.3239468023821068
cinque,B,1,PDMS,no ped_cyc,11249,73.46634922636078,71.73883948525123,-1.7275097411095368,-2.0408241217667253,-1.4097848981409569
cinque,B,1,PDMS,straight,4365,77.24221729361147,74.11939047865401,-3.122826814957445,-3.6846183295511716,-2.5864215361196248
cinque,B,1,EPDMS,all,12146,73.851093705465,72.32982767349749,-1.5212660319675007,-1.8511473704964962,-1.1912933308358296
cinque,B,1,EPDMS,ped_cyc_corridor,897,74.92996427483949,73.08542018503134,-1.844544089808165,-2.9869412091958396,-0.7795521047635758
cinque,B,1,EPDMS,no ped_cyc,11249,73.76506411165853,72.26957640824317,-1.495487703415356,-1.8436787445606937,-1.1494672787843723
cinque,B,1,EPDMS,straight,4365,80.64803982191032,78.00210242396881,-2.6459373979415055,-3.250833752448365,-2.0578033139026264
cinque,B,2,PDMS,all,12146,73.52350931819456,71.73535521804074,-1.7881541001538044,-2.087083054396218,-1.500440612667827
cinque,B,2,PDMS,ped_cyc_corridor,897,74.24033637843782,72.37486832982523,-1.8654680486125859,-2.808483430868397,-0.97383594368951
cinque,B,2,PDMS,no ped_cyc,11249,73.46634922636076,71.68436017303492,-1.781989053325862,-2.0860273347391542,-1.473448284038395
cinque,B,2,PDMS,straight,4365,77.24221729361146,73.43498827887626,-3.8072290147351944,-4.3717328858454705,-3.274594143507771
cinque,B,2,EPDMS,all,12146,73.851093705465,72.28958877655313,-1.56150492891188,-1.881568230649315,-1.2415549748078059
