scope,judge,n,delta,lo,hi,model,arm,seed,stats
all,RFS (rater),478,-0.11130521001970621,-0.19726557386811694,-0.031544121784093514,cinque,A,0,carla
all,ADE dec1-9,17389,0.30273211002349854,0.2693908949562852,0.3369157590788875,cinque,A,0,carla
all,ADE pre_onset dec1-9,1245,0.2569836974143982,0.15128924038658456,0.38305877417164835,cinque,A,0,carla
Pedestrians,RFS (rater),52,-0.16671187655043607,-0.5072758172501769,0.12356161914322226,cinque,A,0,carla
Pedestrians,ADE dec1-9,1637,0.26041069626808167,0.16364777194343047,0.3738789873653208,cinque,A,0,carla
Pedestrians,ADE pre_onset dec1-9,83,0.2941478192806244,0.016325787203020067,0.8002638284845289,cinque,A,0,carla
Cyclists,RFS (rater),71,-0.0709931589964672,-0.2264131851471892,0.046032109547879625,cinque,A,0,carla
Cyclists,ADE dec1-9,2326,0.21150082349777222,0.15170868351106243,0.278481503171968,cinque,A,0,carla
Cyclists,ADE pre_onset dec1-9,206,0.1327866017818451,-0.06646238503482714,0.44420301105011395,cinque,A,0,carla
Cut_ins,RFS (rater),20,-0.24757145045911497,-0.9317855327665433,0.3064201342106721,cinque,A,0,carla
Cut_ins,ADE dec1-9,724,0.19396255910396576,0.10579627352397693,0.3149701905794293,cinque,A,0,carla
Cut_ins,ADE pre_onset dec1-9,16,0.25413820147514343,-0.08555682216371809,0.6193442484911751,cinque,A,0,carla
FOD,RFS (rater),78,-0.16677299047584887,-0.39106391742590557,-0.002023397791708338,cinque,A,0,carla
FOD,ADE dec1-9,3175,0.3491327464580536,0.27939790361890277,0.42649700282932496,cinque,A,0,carla
FOD,ADE pre_onset dec1-9,252,0.4990593194961548,0.18049307387121472,0.9176231681579624,cinque,A,0,carla
Intersections,RFS (rater),116,-0.11435616155845386,-0.3164299121012862,0.06350309595001478,cinque,A,0,carla
Intersections,ADE dec1-9,4299,0.4056320786476135,0.32603371085692473,0.49337453449965235,cinque,A,0,carla
Intersections,ADE pre_onset dec1-9,301,0.05284640192985535,-0.031118252018840425,0.16879019434607065,cinque,A,0,carla
all,RFS (rater),478,-0.04343672615767739,-0.09696062150384602,0.007825951842839737,cinque,A,0,wod-train
all,ADE dec1-9,17389,0.21040616929531097,0.1867005065776477,0.23490629369425012,cinque,A,0,wod-train
all,ADE pre_onset dec1-9,1245,0.2067091315984726,0.1256693987560657,0.299047997965247,cinque,A,0,wod-train
Pedestrians,RFS (rater),52,-0.11247024211592484,-0.3237072574727757,0.07177241436041107,cinque,A,0,wod-train
Pedestrians,ADE dec1-9,1637,0.1618456244468689,0.09190751447477678,0.24570254288207824,cinque,A,0,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.33523693680763245,0.001417902367211668,1.0055400307263644,cinque,A,0,wod-train
Cyclists,RFS (rater),71,-0.005198860300000701,-0.11088656328901213,0.09892844350567614,cinque,A,0,wod-train
Cyclists,ADE dec1-9,2326,0.1882597655057907,0.1277698658442591,0.25668264821520914,cinque,A,0,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.09201077371835709,-0.03893141402135547,0.2809027499277452,cinque,A,0,wod-train
Cut_ins,RFS (rater),20,-0.177206054532529,-0.6293425563328092,0.2672818571240212,cinque,A,0,wod-train
Cut_ins,ADE dec1-9,724,0.13965941965579987,0.07283524438764594,0.224507213978461,cinque,A,0,wod-train
Cut_ins,ADE pre_onset dec1-9,16,0.19408926367759705,-0.11754318646022252,0.47414015321170583,cinque,A,0,wod-train
FOD,RFS (rater),78,-0.024094339441344603,-0.09638566211996925,0.03668776339462339,cinque,A,0,wod-train
FOD,ADE dec1-9,3175,0.23069386184215546,0.18336596653593623,0.28345447642572547,cinque,A,0,wod-train
FOD,ADE pre_onset dec1-9,252,0.3344041705131531,0.12818033501685547,0.5899536396497504,cinque,A,0,wod-train
Intersections,RFS (rater),116,-0.02243768747700261,-0.12926224753824825,0.07449334157466525,cinque,A,0,wod-train
