examinee,vs,scope,n,delta,lo,hi
M-C pair [cinque],ridge_late op-cinque temporal,pooled,1832,-0.1124454148471615,-0.1363636363636363,-0.0892355027917324
M-C pair [cinque],ridge_late op-cinque temporal,cutin,216,-0.2037037037037037,-0.2906148867313916,-0.1244239631336405
M-C pair [cinque],ridge_late op-cinque temporal,oncoming,657,-0.1019786910197869,-0.1357513786764705,-0.0688549002347417
M-C pair [cinque],ridge_late op-cinque temporal,static,959,-0.0990615224191866,-0.1269548363049694,-0.0724767375926585
student A s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.1020742358078602,-0.1489409521023436,-0.0616130832807208
student A s0 [cinque],ridge_late op-cinque temporal,cutin,216,-0.0185185185185185,-0.0648223514211886,0.0271555197421434
student A s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0730593607305936,-0.1118089017630838,-0.035765790918866
student A s0 [cinque],ridge_late op-cinque temporal,static,959,-0.140771637122002,-0.2091399648780071,-0.0813825239398085
student A s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.0786026200873362,-0.1192613059807547,-0.0441495015761808
student A s1 [cinque],ridge_late op-cinque temporal,cutin,216,-0.0092592592592592,-0.0487864658058345,0.0315350984468631
student A s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0578386605783866,-0.0952417582417582,-0.0236551948563302
student A s1 [cinque],ridge_late op-cinque temporal,static,959,-0.1084462982273201,-0.1626449103703031,-0.0583318158168574
student A s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.0709606986899563,-0.111047236575512,-0.0367567311050487
student A s2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0428622693096377,0.0350021929824561
student A s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.045662100456621,-0.0836007846288374,-0.0118168389955686
student A s2 [cinque],ridge_late op-cinque temporal,static,959,-0.1032325338894682,-0.1597073954983922,-0.053014553014553
student B s0 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.0922489082969432,-0.1361570772974678,-0.0523457876890975
student B s0 [cinque],ridge_late op-cinque temporal,cutin,216,-0.0092592592592592,-0.0486752644075113,0.0331793048973143
student B s0 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.045662100456621,-0.0823109957298136,-0.0119363418547908
student B s0 [cinque],ridge_late op-cinque temporal,static,959,-0.1428571428571428,-0.2070352387133349,-0.0846386995548653
student B s1 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.0671397379912663,-0.1053097920522262,-0.0325649449939239
student B s1 [cinque],ridge_late op-cinque temporal,cutin,216,-0.0092592592592592,-0.0452318410232983,0.0255401687454144
student B s1 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0258751902587519,-0.0593625964298072,0.0045530470641383
student B s1 [cinque],ridge_late op-cinque temporal,static,959,-0.1084462982273201,-0.1640977679870869,-0.0575895321412441
student B s2 [cinque],ridge_late op-cinque temporal,pooled,1832,-0.0736899563318777,-0.1114857937073886,-0.0401045811789971
student B s2 [cinque],ridge_late op-cinque temporal,cutin,216,-0.0231481481481481,-0.0654205607476635,0.0184374665094844
student B s2 [cinque],ridge_late op-cinque temporal,oncoming,657,-0.0243531202435312,-0.0583599243096037,0.0063065432358508
student B s2 [cinque],ridge_late op-cinque temporal,static,959,-0.1188738269030239,-0.17599329335656,-0.0682706969610373
M-C pair [cinque] x g1,ridge_late op-cinque temporal,pooled,1832,-0.1086244541484716,-0.1338940682424303,-0.0847261434217956
M-C pair [cinque] x g1,ridge_late op-cinque temporal,cutin,216,-0.2175925925925926,-0.3102156432748538,-0.1285622710622711
M-C pair [cinque] x g1,ridge_late op-cinque temporal,oncoming,657,-0.1004566210045662,-0.134710356336743,-0.0660355654589651
M-C pair [cinque] x g1,ridge_late op-cinque temporal,static,959,-0.0896767466110531,-0.1151471471932487,-0.0661730022197558
M-C pair [cinque] x g3,ridge_late op-cinque temporal,pooled,1832,-0.0158296943231441,-0.0284828882038411,-0.0057769361492628
M-C pair [cinque] x g3,ridge_late op-cinque temporal,cutin,216,-0.0231481481481481,-0.045662100456621,0.0
M-C pair [cinque] x g3,ridge_late op-cinque temporal,oncoming,657,-0.0015220700152207,-0.0090232368250944,0.0046296296296296
M-C pair [cinque] x g3,ridge_late op-cinque temporal,static,959,-0.0239833159541188,-0.0447916666666666,-0.0082815734989648
M-C pair [cinque] x g2,ridge_late op-cinque temporal,pooled,1832,-0.0442139737991266,-0.0597361670537735,-0.0291470222372381
