model,source,gate,scope,n,tau,activation
cinque,mc,none,all,12146,1.6276710629463196,0.1797299522476535
cinque,mc,none,straight,4365,1.6276710629463196,0.1411225658648339
cinque,mc,none,ped_cyc_corridor,897,1.6276710629463196,0.1839464882943143
cinque,mc,none,no ped_cyc,11249,1.6276710629463196,0.1793937238865676
cinque,mc,g1,all,12146,1.6276710629463196,0.0010703112135682
cinque,mc,g1,straight,4365,1.6276710629463196,0.0009163802978235
cinque,mc,g1,ped_cyc_corridor,897,1.6276710629463196,0.0
cinque,mc,g1,no ped_cyc,11249,1.6276710629463196,0.001155658280736
cinque,mc,g3,all,12146,1.6276710629463196,0.0
cinque,mc,g3,straight,4365,1.6276710629463196,0.0
cinque,mc,g3,ped_cyc_corridor,897,1.6276710629463196,0.0
cinque,mc,g3,no ped_cyc,11249,1.6276710629463196,0.0
cinque,mc,g2,all,12146,1.6276710629463196,0.0104561172402437
cinque,mc,g2,straight,4365,1.6276710629463196,0.0082474226804123
cinque,mc,g2,ped_cyc_corridor,897,1.6276710629463196,0.020066889632107
cinque,mc,g2,no ped_cyc,11249,1.6276710629463196,0.0096897502000177
lebowski,mc,none,all,12146,1.6549868881702423,0.6051374938251276
lebowski,mc,none,straight,4365,1.6549868881702423,0.643298969072165
lebowski,mc,none,ped_cyc_corridor,897,1.6549868881702423,0.5484949832775919
lebowski,mc,none,no ped_cyc,11249,1.6549868881702423,0.6096541914836875
lebowski,mc,g1,all,12146,1.6549868881702423,0.2066523958504857
lebowski,mc,g1,straight,4365,1.6549868881702423,0.1516609392898052
lebowski,mc,g1,ped_cyc_corridor,897,1.6549868881702423,0.1806020066889632
lebowski,mc,g1,no ped_cyc,11249,1.6549868881702423,0.2087296648590985
lebowski,mc,g3,all,12146,1.6549868881702423,0.0002469948954388
lebowski,mc,g3,straight,4365,1.6549868881702423,0.0004581901489117
lebowski,mc,g3,ped_cyc_corridor,897,1.6549868881702423,0.0
lebowski,mc,g3,no ped_cyc,11249,1.6549868881702423,0.0002666903724775
lebowski,mc,g2,all,12146,1.6549868881702423,0.1544541412810802
lebowski,mc,g2,straight,4365,1.6549868881702423,0.2435280641466208
lebowski,mc,g2,ped_cyc_corridor,897,1.6549868881702423,0.1538461538461538
lebowski,mc,g2,no ped_cyc,11249,1.6549868881702423,0.1545026224553293
cinque,stAs0,none,all,12146,1.5485117435455322,0.0162193314671496
cinque,stAs0,none,straight,4365,1.5485117435455322,0.0142038946162657
cinque,stAs0,none,ped_cyc_corridor,897,1.5485117435455322,0.0122630992196209
cinque,stAs0,none,no ped_cyc,11249,1.5485117435455322,0.0165348030936083
cinque,stAs0,g1,all,12146,1.5485117435455322,0.0044459081178988
cinque,stAs0,g1,straight,4365,1.5485117435455322,0.0022909507445589
cinque,stAs0,g1,ped_cyc_corridor,897,1.5485117435455322,0.0011148272017837
cinque,stAs0,g1,no ped_cyc,11249,1.5485117435455322,0.0047115299137701
cinque,stAs0,g3,all,12146,1.5485117435455322,0.0
cinque,stAs0,g3,straight,4365,1.5485117435455322,0.0
