dataset,model,gate,n,positive,auc,main
WOD,cinque,g1,13531,0.1669499667430345,0.538379876912192,g2
WOD,cinque,g2,13531,0.1669499667430345,0.7411317391109014,g2
WOD,cinque,g3,13531,0.1669499667430345,0.5436861103806523,g2
WOD,lebowski,g1,13531,0.1669499667430345,0.5769280931631883,g2
WOD,lebowski,g2,13531,0.1669499667430345,0.7411317391109014,g2
WOD,lebowski,g3,13531,0.1669499667430345,0.5480097392937515,g2
NAVSIM,cinque,g1,12690,0.4235618597320725,0.2565145209747413,g2
NAVSIM,cinque,g2,12690,0.4235618597320725,0.7315374906611136,g2
NAVSIM,cinque,g3,12690,0.4235618597320725,0.5428689694638287,g2
NAVSIM,lebowski,g1,12690,0.4235618597320725,0.2988410815622566,g2
NAVSIM,lebowski,g2,12690,0.4235618597320725,0.7315374906611136,g2
NAVSIM,lebowski,g3,12690,0.4235618597320725,0.5802866744027086,g2
