scope,n,activation,lo,hi,delta_mag_median_m,model,gate,source,tau
straight_yaw,11597,0.1665948090023281,0.1475335471496,0.1856373847485564,2.040355920791626,cinque,none,mc,1.6276710629463196
pre_onset,1458,0.1282578875171467,0.095074596036895,0.1643280569895738,1.7935984134674072,cinque,none,mc,1.6276710629463196
all,19663,0.155825662411636,0.1410562509322808,0.170999384115878,2.0874950885772705,cinque,none,mc,1.6276710629463196
Pedestrians,1831,0.1441835062807209,0.1080137995983301,0.1817730512867987,2.312626361846924,cinque,none,mc,1.6276710629463196
Cyclists,2830,0.1431095406360424,0.1066652821045344,0.1838487121398553,1.9702656269073489,cinque,none,mc,1.6276710629463196
Cut_ins,885,0.1344632768361582,0.0747328278322926,0.2115647385015349,1.938463807106018,cinque,none,mc,1.6276710629463196
FOD,3561,0.1738275765234484,0.138700925633041,0.2124194728729424,2.2171223163604736,cinque,none,mc,1.6276710629463196
Intersections,4772,0.1380972338642078,0.1150716469827718,0.1622670553765949,1.991828680038452,cinque,none,mc,1.6276710629463196
straight_yaw,11597,0.065447960679486,0.0544811643091188,0.076955599285781,1.2971599102020264,cinque,g1,mc,1.6276710629463196
pre_onset,1458,0.1015089163237311,0.0710337686186492,0.1346038018690396,1.5898027420043943,cinque,g1,mc,1.6276710629463196
all,19663,0.0754716981132075,0.0657671305258478,0.085513171726053,1.4832618236541748,cinque,g1,mc,1.6276710629463196
Pedestrians,1831,0.0677225559803386,0.0464601127522021,0.0912411207886189,1.6570097208023071,cinque,g1,mc,1.6276710629463196
Cyclists,2830,0.0731448763250883,0.049354655069434,0.1001292956722214,1.4372198581695557,cinque,g1,mc,1.6276710629463196
Cut_ins,885,0.0621468926553672,0.0377137789040228,0.0885781507713204,1.379552125930786,cinque,g1,mc,1.6276710629463196
FOD,3561,0.0769446784611064,0.0572988326921777,0.0976760617667847,1.5039756298065186,cinque,g1,mc,1.6276710629463196
Intersections,4772,0.0632858340318524,0.0487389454904923,0.0789581401140063,1.3962209224700928,cinque,g1,mc,1.6276710629463196
straight_yaw,11597,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
pre_onset,1458,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
all,19663,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
Pedestrians,1831,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
Cyclists,2830,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
Cut_ins,885,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
FOD,3561,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
Intersections,4772,0.0,0.0,0.0,0.0,cinque,g3,mc,1.6276710629463196
straight_yaw,11597,0.0,0.0,0.0,0.276193231344223,cinque,g2,mc,1.6276710629463196
pre_onset,1458,0.0,0.0,0.0,0.1730456352233886,cinque,g2,mc,1.6276710629463196
all,19663,0.0002034277577175,4.983045189951574e-05,0.000414916776798,0.2650469541549682,cinque,g2,mc,1.6276710629463196
Pedestrians,1831,0.0010922992900054,0.0,0.0029019573940868,0.3797455430030823,cinque,g2,mc,1.6276710629463196
Cyclists,2830,0.0,0.0,0.0,0.3274884819984436,cinque,g2,mc,1.6276710629463196
Cut_ins,885,0.0,0.0,0.0,0.3746912181377411,cinque,g2,mc,1.6276710629463196
FOD,3561,0.0002808199943836,0.0,0.0008643042350907,0.2228279560804367,cinque,g2,mc,1.6276710629463196
Intersections,4772,0.0002095557418273,0.0,0.0006574621959237,0.1818310767412185,cinque,g2,mc,1.6276710629463196
straight_yaw,11597,0.0,0.0,0.0,0.3272554278373718,cinque,c2,mc,1.6276710629463196
pre_onset,1458,0.0,0.0,0.0,0.2876776456832886,cinque,c2,mc,1.6276710629463196
all,19663,0.0,0.0,0.0,0.3348161876201629,cinque,c2,mc,1.6276710629463196
Pedestrians,1831,0.0,0.0,0.0,0.3709252774715423,cinque,c2,mc,1.6276710629463196
Cyclists,2830,0.0,0.0,0.0,0.3160135746002197,cinque,c2,mc,1.6276710629463196
Cut_ins,885,0.0,0.0,0.0,0.3109128475189209,cinque,c2,mc,1.6276710629463196
FOD,3561,0.0,0.0,0.0,0.3556073009967804,cinque,c2,mc,1.6276710629463196
Intersections,4772,0.0,0.0,0.0,0.3194721341133117,cinque,c2,mc,1.6276710629463196
straight_yaw,11597,0.4065706648271104,0.377413203139664,0.435028332812324,3.1119415760040283,lebowski,none,mc,1.6549868881702423
pre_onset,1458,0.2503429355281207,0.1995939768742649,0.3017598650046685,2.468456268310547,lebowski,none,mc,1.6549868881702423
all,19663,0.3312821034430148,0.3083968798653389,0.353497583348165,2.9832444190979004,lebowski,none,mc,1.6549868881702423
Pedestrians,1831,0.298197706171491,0.2345967370938139,0.3652511146533601,3.1491470336914062,lebowski,none,mc,1.6549868881702423
Cyclists,2830,0.3088339222614841,0.256857461609135,0.3600409583705814,2.940186023712158,lebowski,none,mc,1.6549868881702423
Cut_ins,885,0.2858757062146893,0.1774711811060519,0.4111393785711121,2.6077065467834477,lebowski,none,mc,1.6549868881702423
FOD,3561,0.3712440325751193,0.3131970601090335,0.4306525454583512,3.073896884918213,lebowski,none,mc,1.6549868881702423
Intersections,4772,0.3346605196982397,0.2896673003364564,0.38079779298025,2.9463415145874023,lebowski,none,mc,1.6549868881702423
straight_yaw,11597,0.100629473139605,0.0872541686774346,0.1144327956760811,1.6285603046417236,lebowski,g1,mc,1.6549868881702423
pre_onset,1458,0.1694101508916323,0.1255140598987951,0.2156878966013936,1.94600522518158,lebowski,g1,mc,1.6549868881702423
all,19663,0.1077149977114377,0.0964383898827711,0.1194289275058521,1.780327558517456,lebowski,g1,mc,1.6549868881702423
Pedestrians,1831,0.1037684325505188,0.0689455302828043,0.1433984238941135,2.0130348205566406,lebowski,g1,mc,1.6549868881702423
Cyclists,2830,0.1257950530035335,0.0965659593129177,0.1576482755575919,1.8538994789123533,lebowski,g1,mc,1.6549868881702423
Cut_ins,885,0.0903954802259887,0.0467279572183831,0.1383355107055196,1.5968178510665894,lebowski,g1,mc,1.6549868881702423
FOD,3561,0.099691098006178,0.0762630209644401,0.1248952337872639,1.7193540334701538,lebowski,g1,mc,1.6549868881702423
Intersections,4772,0.1106454316848281,0.0909086298161161,0.1312347879894206,1.7239775657653809,lebowski,g1,mc,1.6549868881702423
straight_yaw,11597,0.000517375183237,0.0,0.0013877264770128,0.0,lebowski,g3,mc,1.6549868881702423
pre_onset,1458,0.0,0.0,0.0,0.0,lebowski,g3,mc,1.6549868881702423
all,19663,0.0003051416365763,0.0,0.0008133149977301,0.0,lebowski,g3,mc,1.6549868881702423
Pedestrians,1831,0.0,0.0,0.0,0.0,lebowski,g3,mc,1.6549868881702423
Cyclists,2830,0.0,0.0,0.0,0.0,lebowski,g3,mc,1.6549868881702423
Cut_ins,885,0.0,0.0,0.0,0.0,lebowski,g3,mc,1.6549868881702423
FOD,3561,0.0,0.0,0.0,0.0,lebowski,g3,mc,1.6549868881702423
Intersections,4772,0.0012573344509639,0.0,0.0033168700818101,0.0,lebowski,g3,mc,1.6549868881702423
straight_yaw,11597,0.0003449167888246,0.0,0.0008139750529881,0.4363473057746887,lebowski,g2,mc,1.6549868881702423
pre_onset,1458,0.0,0.0,0.0,0.2574440240859985,lebowski,g2,mc,1.6549868881702423
all,19663,0.0002034277577175,0.0,0.0004682652730493,0.4014903903007507,lebowski,g2,mc,1.6549868881702423
Pedestrians,1831,0.0005461496450027,0.0,0.0017442114128008,0.5379458665847778,lebowski,g2,mc,1.6549868881702423
Cyclists,2830,0.0003533568904593,0.0,0.0011029411764705,0.5003393888473511,lebowski,g2,mc,1.6549868881702423
Cut_ins,885,0.0,0.0,0.0,0.4759856164455414,lebowski,g2,mc,1.6549868881702423
FOD,3561,0.0,0.0,0.0,0.3271984159946441,lebowski,g2,mc,1.6549868881702423
Intersections,4772,0.0004191114836546,0.0,0.0013149243918474,0.2872700691223144,lebowski,g2,mc,1.6549868881702423
straight_yaw,11597,0.0,0.0,0.0,0.499128520488739,lebowski,c2,mc,1.6549868881702423
pre_onset,1458,0.0,0.0,0.0,0.3959190845489502,lebowski,c2,mc,1.6549868881702423
all,19663,0.0,0.0,0.0,0.4784865975379944,lebowski,c2,mc,1.6549868881702423
