scope,judge,n,delta,lo,hi,model,gate,source
all,RFS (rater),478,-1.0154282799805536,-1.210635599072632,-0.8236232907272377,cinque,none,mc
all,ADE dec1-9,17389,1.388085961341858,1.3153913828131094,1.4622423209826745,cinque,none,mc
all,ADE pre_onset dec1-9,1245,0.9483892321586608,0.7525757507230878,1.141081340370387,cinque,none,mc
Pedestrians,RFS (rater),52,-1.1894453908060878,-1.857291216905956,-0.5231502069380662,cinque,none,mc
Pedestrians,ADE dec1-9,1637,1.4454079866409302,1.217808700187003,1.6732335992398626,cinque,none,mc
Pedestrians,ADE pre_onset dec1-9,83,0.6566995978355408,-0.0070077538261153,1.389707652221571,cinque,none,mc
Cyclists,RFS (rater),71,-1.1208408237092875,-1.653704068616652,-0.6022769441078974,cinque,none,mc
Cyclists,ADE dec1-9,2326,1.2079793214797974,1.0246074842653272,1.3984243722594203,cinque,none,mc
Cyclists,ADE pre_onset dec1-9,206,0.9562123417854308,0.5008715407876172,1.5628457355355263,cinque,none,mc
Cut_ins,RFS (rater),20,-1.2344774480037368,-2.3259605966575365,-0.1880777238906816,cinque,none,mc
Cut_ins,ADE dec1-9,724,1.251146674156189,0.9683905797174251,1.5805841139685288,cinque,none,mc
Cut_ins,ADE pre_onset dec1-9,16,0.4727445244789123,-0.0743452707926432,0.9495745301246644,cinque,none,mc
FOD,RFS (rater),78,-1.0888377371502658,-1.540798927377825,-0.6340498853533159,cinque,none,mc
FOD,ADE dec1-9,3175,1.5753792524337769,1.4150859667421796,1.7394686142774056,cinque,none,mc
FOD,ADE pre_onset dec1-9,252,1.2700681686401367,0.9113318692077672,1.6101536138197263,cinque,none,mc
Intersections,RFS (rater),116,-0.824834134357714,-1.2236269788054372,-0.4330115403715285,cinque,none,mc
Intersections,ADE dec1-9,4299,1.3091726303100586,1.1643359804240778,1.459634304656985,cinque,none,mc
Intersections,ADE pre_onset dec1-9,301,0.8946249485015869,0.4953382431615224,1.2918354517977826,cinque,none,mc
all,RFS (rater),478,-0.5578588078406616,-0.7265016401453299,-0.3879158652924014,cinque,g1,mc
all,ADE dec1-9,17389,0.8850589990615845,0.8286172412594687,0.9427756534633404,cinque,g1,mc
all,ADE pre_onset dec1-9,1245,0.7867398262023926,0.6104390751566763,0.9646799255216172,cinque,g1,mc
Pedestrians,RFS (rater),52,-0.6060402246813676,-1.1803960500504165,-0.0363802351578519,cinque,g1,mc
