model,gate,label,n,positive,auc
cinque,g1,SAM any,19663,0.2691857803997355,0.4949264144119128
cinque,g1,SAM ped_cyc,19663,0.0145959416162335,0.4956943213631145
cinque,g3,SAM any,19663,0.2691857803997355,0.5274640775667656
cinque,g3,SAM ped_cyc,19663,0.0145959416162335,0.502238841398677
cinque,g2,SAM any,19663,0.2691857803997355,0.7711187922862893
cinque,g2,SAM ped_cyc,19663,0.0145959416162335,0.7569250331600286
cinque,c2,SAM any,19663,0.2691857803997355,0.5
cinque,c2,SAM ped_cyc,19663,0.0145959416162335,0.5
lebowski,g1,SAM any,19663,0.2691857803997355,0.5213588054547695
lebowski,g1,SAM ped_cyc,19663,0.0145959416162335,0.5093067468069985
lebowski,g3,SAM any,19663,0.2691857803997355,0.5310418389803577
lebowski,g3,SAM ped_cyc,19663,0.0145959416162335,0.4997538173594547
lebowski,g2,SAM any,19663,0.2691857803997355,0.7711187922862893
lebowski,g2,SAM ped_cyc,19663,0.0145959416162335,0.7569250331600286
lebowski,c2,SAM any,19663,0.2691857803997355,0.5
lebowski,c2,SAM ped_cyc,19663,0.0145959416162335,0.5
