examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
ridge_late op-cinque temporal,pooled,0.5268521547317493,1832,65,65,0.6997816593886463,0.6549730191491145,0.7446108974456036,0.7920305676855895,0.09224890829694324,1727,0.1800810654313839,0.050505050505050504,0.04419191919191919,792.0,0.6815223239580804
ridge_late op-cinque temporal,cutin,0.5268521547317493,216,27,27,0.6666666666666666,0.5774611587048062,0.75438995215311,0.8101851851851852,0.14351851851851852,398,0.13316582914572864,,,,
ridge_late op-cinque temporal,oncoming,0.5268521547317493,657,60,60,0.6073059360730594,0.54802879172851,0.6627132082924734,0.6864535768645358,0.0791476407914764,558,0.07347670250896057,,,,
ridge_late op-cinque temporal,static,0.5268521547317493,959,65,65,0.7705943691345151,0.7207428706814852,0.8184699958551277,0.8602711157455682,0.08967674661105318,771,0.2814526588845655,,,,
CARLA M-C pair [cinque],pooled,1.5183750152587887,1832,65,65,0.5873362445414847,0.5418437947543095,0.6312857001365395,0.6370087336244541,0.04967248908296943,1727,0.045744064852345105,0.050505050505050504,0.05808080808080808,792.0,0.5466076849105214
CARLA M-C pair [cinque],cutin,1.5183750152587887,216,27,27,0.46296296296296297,0.35896017699115046,0.5610859728506787,0.5370370370370371,0.07407407407407407,398,0.07537688442211055,,,,
CARLA M-C pair [cinque],oncoming,1.5183750152587887,657,60,60,0.5053272450532724,0.4492930675310845,0.5628857047767113,0.54337899543379,0.0380517503805175,558,0.008960573476702509,,,,
CARLA M-C pair [cinque],static,1.5183750152587887,959,65,65,0.6715328467153284,0.6218205245016246,0.718567332815865,0.7236704900938478,0.05213764337851929,771,0.057068741893644616,,,,
CARLA M-C hard [cinque],pooled,0.625957906246185,1832,65,65,0.6457423580786026,0.5933754722651209,0.6969915009028478,0.7778384279475983,0.13209606986899564,1727,0.18239722061378114,0.050505050505050504,0.045454545454545456,792.0,0.6384225554516859
CARLA M-C hard [cinque],cutin,0.625957906246185,216,27,27,0.6342592592592593,0.527611487388634,0.7307735426008968,0.8055555555555556,0.1712962962962963,398,0.1507537688442211,,,,
CARLA M-C hard [cinque],oncoming,0.625957906246185,657,60,60,0.604261796042618,0.5450213105482163,0.659263003283221,0.6879756468797564,0.0837138508371385,558,0.07168458781362007,,,,
CARLA M-C hard [cinque],static,0.625957906246185,959,65,65,0.6767466110531803,0.6165883963074281,0.7352660008307624,0.8331595411887383,0.15641293013555788,771,0.2788586251621271,,,,
CARLA M-C uniform [cinque],pooled,0.5546183943748473,1832,65,65,0.6975982532751092,0.6534370364118415,0.74156519825635,0.7953056768558951,0.09770742358078603,1727,0.18181818181818182,0.050505050505050504,0.04797979797979798,792.0,0.6807710763315202
CARLA M-C uniform [cinque],cutin,0.5546183943748473,216,27,27,0.6666666666666666,0.5761662452591656,0.7513224771773993,0.8194444444444444,0.1527777777777778,398,0.135678391959799,,,,
CARLA M-C uniform [cinque],oncoming,0.5546183943748473,657,60,60,0.6133942161339422,0.55571461415867,0.6691287820678591,0.6910197869101978,0.0776255707762557,558,0.07168458781362007,,,,
CARLA M-C uniform [cinque],static,0.5546183943748473,959,65,65,0.762252346193952,0.7118817836710688,0.809079391346985,0.8613138686131386,0.09906152241918666,771,0.2853437094682231,,,,
CARLA student A s0 [cinque],pooled,0.6996728181838987,1832,65,65,0.597707423580786,0.5307560501493536,0.6584573402716454,0.7680131004366813,0.1703056768558952,1727,0.1569195136074117,0.050505050505050504,0.04924242424242424,792.0,0.6040724851677091
CARLA student A s0 [cinque],cutin,0.6996728181838987,216,27,27,0.6481481481481481,0.5408998771498771,0.7487690678470288,0.7824074074074074,0.13425925925925927,398,0.1457286432160804,,,,
CARLA student A s0 [cinque],oncoming,0.6996728181838987,657,60,60,0.5342465753424658,0.4660399391929243,0.6027007361852303,0.6575342465753424,0.1232876712328767,558,0.04838709677419355,,,,
CARLA student A s0 [cinque],static,0.6996728181838987,959,65,65,0.629822732012513,0.551254587077303,0.702817510691995,0.8404588112617309,0.21063607924921793,771,0.24124513618677043,,,,
CARLA student A s1 [cinque],pooled,0.6749594569206235,1832,65,65,0.62117903930131,0.5587215551593959,0.6785584590165169,0.7805676855895196,0.15938864628820962,1727,0.1667631731325999,0.050505050505050504,0.05176767676767677,792.0,0.6230075846030917
