model,head,seed,scope,n,tau,activation,delta_mag_median_m
cinque,M-C pair,0,all,12146,1.558912944793701,0.8044623744442615,16.376447677612305
cinque,M-C pair,0,vehicle_approach,4726,1.558912944793701,0.7879813796022006,15.844253540039062
cinque,M-C pair,0,ped_cyc_corridor,897,1.558912944793701,0.8127090301003345,15.988555908203125
cinque,M-C pair,0,straight,4365,1.558912944793701,0.804581901489118,16.972827911376953
cinque,M-C hard,0,all,12146,2.09327903985977,0.9692079697019594,19.977983474731445
cinque,M-C hard,0,vehicle_approach,4726,2.09327903985977,0.9815911976301311,17.34522247314453
cinque,M-C hard,0,ped_cyc_corridor,897,2.09327903985977,0.9632107023411371,18.372257232666016
cinque,M-C hard,0,straight,4365,2.09327903985977,0.9945017182130584,17.94379997253418
cinque,M-C uniform,0,all,12146,1.5291729211807246,0.9701136176519018,15.433197021484375
cinque,M-C uniform,0,vehicle_approach,4726,1.5291729211807246,0.9860347016504444,14.315131187438965
cinque,M-C uniform,0,ped_cyc_corridor,897,1.5291729211807246,0.9665551839464883,14.54613971710205
cinque,M-C uniform,0,straight,4365,1.5291729211807246,0.9970217640320733,14.544408798217773
cinque,student A,0,all,12146,1.43935517668724,0.28132718590482464,1.363303780555725
cinque,student A,0,vehicle_approach,4726,1.43935517668724,0.15933135844265764,1.126883864402771
cinque,student A,0,ped_cyc_corridor,897,1.43935517668724,0.1806020066889632,1.1657541990280151
cinque,student A,0,straight,4365,1.43935517668724,0.3138602520045819,1.5691133737564087
cinque,student B,0,all,12146,1.302914285659789,0.33805368022394205,1.6144589185714722
cinque,student B,0,vehicle_approach,4726,1.302914285659789,0.3032162505289886,1.5733821392059326
cinque,student B,0,ped_cyc_corridor,897,1.302914285659789,0.2954292084726867,1.5356252193450928
cinque,student B,0,straight,4365,1.302914285659789,0.3970217640320733,1.820175290107727
cinque,M-C pair,1,all,12146,1.5500187873840328,0.8076733080849663,17.326934814453125
cinque,M-C pair,1,vehicle_approach,4726,1.5500187873840328,0.7996191282268303,16.854442596435547
cinque,M-C pair,1,ped_cyc_corridor,897,1.5500187873840328,0.830546265328874,16.77138900756836
cinque,M-C pair,1,straight,4365,1.5500187873840328,0.8082474226804124,18.06326675415039
cinque,M-C hard,1,all,12146,2.533728551864623,0.969948954388276,20.686710357666016
cinque,M-C hard,1,vehicle_approach,4726,2.533728551864623,0.9818027930596699,18.080848693847656
cinque,M-C hard,1,ped_cyc_corridor,897,2.533728551864623,0.9632107023411371,19.156877517700195
cinque,M-C hard,1,straight,4365,2.533728551864623,0.9949599083619702,18.651567459106445
cinque,M-C uniform,1,all,12146,1.804687213897704,0.9674790054338877,15.659963607788086
cinque,M-C uniform,1,vehicle_approach,4726,1.804687213897704,0.9841303427845959,14.541740417480469
cinque,M-C uniform,1,ped_cyc_corridor,897,1.804687213897704,0.9654403567447045,14.79863452911377
cinque,M-C uniform,1,straight,4365,1.804687213897704,0.9958762886597938,14.75794792175293
cinque,student A,1,all,12146,1.0257590532302852,0.36192985344969536,1.2876447439193726
cinque,student A,1,vehicle_approach,4726,1.0257590532302852,0.3324164198053322,1.3014657497406006
cinque,student A,1,ped_cyc_corridor,897,1.0257590532302852,0.3010033444816054,1.2507368326187134
cinque,student A,1,straight,4365,1.0257590532302852,0.4625429553264605,1.6187572479248047
cinque,student B,1,all,12146,1.1683087050914762,0.3708216696854932,1.5804940462112427
cinque,student B,1,vehicle_approach,4726,1.1683087050914762,0.37346593313584425,1.617423415184021
cinque,student B,1,ped_cyc_corridor,897,1.1683087050914762,0.3411371237458194,1.5539904832839966
cinque,student B,1,straight,4365,1.1683087050914762,0.43963344788087055,1.7892913818359375
cinque,M-C pair,2,all,12146,1.665218305587768,0.7918656347768813,16.88446044921875
cinque,M-C pair,2,vehicle_approach,4726,1.665218305587768,0.779305966991113,16.172636032104492
cinque,M-C pair,2,ped_cyc_corridor,897,1.665218305587768,0.810479375696767,16.291738510131836
cinque,M-C pair,2,straight,4365,1.665218305587768,0.7903780068728522,17.317811965942383
cinque,M-C hard,2,all,12146,2.297808670997618,0.9719249135517866,20.71453285217285
cinque,M-C hard,2,vehicle_approach,4726,2.297808670997618,0.9845535336436733,18.133207321166992
cinque,M-C hard,2,ped_cyc_corridor,897,2.297808670997618,0.9643255295429208,19.22808074951172
cinque,M-C hard,2,straight,4365,2.297808670997618,0.9958762886597938,18.722064971923828
cinque,M-C uniform,2,all,12146,1.5075907707214349,0.9725012349744772,15.612258911132812
cinque,M-C uniform,2,vehicle_approach,4726,1.5075907707214349,0.9864578925095218,14.48660945892334
cinque,M-C uniform,2,ped_cyc_corridor,897,1.5075907707214349,0.967670011148272,14.743858337402344
cinque,M-C uniform,2,straight,4365,1.5075907707214349,0.997709049255441,14.73794937133789
cinque,student A,2,all,12146,1.2393683612346642,0.30462703770788735,1.4280059337615967
cinque,student A,2,vehicle_approach,4726,1.2393683612346642,0.2659754549301735,1.4739826917648315
cinque,student A,2,ped_cyc_corridor,897,1.2393683612346642,0.2508361204013378,1.4413807392120361
cinque,student A,2,straight,4365,1.2393683612346642,0.38510882016036657,1.682952880859375
cinque,student B,2,all,12146,0.9977754622697828,0.3746089247488885,1.4534841775894165
cinque,student B,2,vehicle_approach,4726,0.9977754622697828,0.4098603470165044,1.5633682012557983
