arm,metric,group,n,ref_score,arm_score,delta,lo,hi
G1c g3 x M-C cinque,PDMS,all,12146,73.52350931819456,73.98511865715895,0.46160933896439316,0.3442341566172545,0.5876192594172922
G1c g3 x M-C cinque,PDMS,vehicle_approach,4726,76.81892848163272,77.97697687093799,1.158048389305255,0.8626826418587976,1.4712057088542094
G1c g3 x M-C cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,75.76736099978632,1.5270246213484933,0.811828131201826,2.3159519045676085
G1c g3 x M-C cinque,PDMS,straight,4365,77.24221729361146,77.91935584144693,0.6771385478354675,0.43948303184546,0.9235670745351023
G1c g3 x M-C cinque,PDMS,g3_open,608,76.52661591918826,85.75029682235268,9.223680903164425,6.9684275145304255,11.611438836540309
G1c g3 x M-C cinque,EPDMS,all,12146,73.851093705465,74.1281511534228,0.27705744795781073,0.15904399405121022,0.40443646954057877
G1c g3 x M-C cinque,EPDMS,vehicle_approach,4726,79.52779013423601,80.2226615316819,0.6948713974458992,0.393084251032864,1.0019716725142354
G1c g3 x M-C cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,76.2226662201551,1.2927019453156108,0.5790513616807413,2.1050072813785734
G1c g3 x M-C cinque,EPDMS,straight,4365,80.64803982191032,80.96730938703644,0.31926956512611254,0.08182551570877764,0.5699185061012902
G1c g3 x M-C cinque,EPDMS,g3_open,608,80.76811119065678,86.51009989606176,5.741988705404961,3.350277519254356,8.215782159214417
G1c g3 x const cinque,PDMS,all,12146,73.52350931819456,74.05382719384829,0.5303178756537325,0.40281003924052816,0.6665548255535225
G1c g3 x const cinque,PDMS,vehicle_approach,4726,76.81892848163272,78.15584996786758,1.3369214862348606,1.015150640780328,1.6739671801991578
G1c g3 x const cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,75.8839019072266,1.6435655287887763,0.8883637052014972,2.4802905003993927
G1c g3 x const cinque,PDMS,straight,4365,77.24221729361147,78.11470749944989,0.8724902058384375,0.6020073366549292,1.1637460390874017
G1c g3 x const cinque,PDMS,g3_open,608,76.52661591918826,87.12293407100682,10.59631815181857,8.141728115342795,13.094708486451756
G1c g3 x const2d cinque,PDMS,all,12146,73.52350931819456,74.05367733393453,0.530168015739987,0.40393960547275354,0.6652083684474339
G1c g3 x const2d cinque,PDMS,vehicle_approach,4726,76.81892848163272,78.15541634061489,1.3364878589821567,1.0140696922930728,1.6783677033162903
G1c g3 x const2d cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,75.88420432199433,1.6438679435565036,0.8814869888687347,2.480195807727852
G1c g3 x const2d cinque,PDMS,straight,4365,77.24221729361147,78.11461427818848,0.8723969845770153,0.604878981337304,1.1628783957766247
G1c g3 x const2d cinque,PDMS,g3_open,608,76.52661591918826,87.1199248779133,10.593308958725045,8.127402664482815,13.148713116162309
G1c M-C - const cinque,PDMS,all,12146,74.05382719384829,73.98511865715895,-0.06870853668933934,-0.12200882878149165,-0.020831716406691774
G1c M-C - const cinque,PDMS,vehicle_approach,4726,78.15584996786758,77.976976870938,-0.17887309692960568,-0.31361076256052417,-0.05462045756393969
G1c M-C - const cinque,PDMS,ped_cyc_corridor,897,75.8839019072266,75.7673609997863,-0.11654090744028286,-0.31244084154365526,0.0820841675141352
G1c M-C - const cinque,PDMS,straight,4365,78.11470749944989,77.91935584144693,-0.1953516580029702,-0.33549074598760936,-0.07364218290092388
G1c M-C - const cinque,PDMS,g3_open,608,87.12293407100682,85.75029682235268,-1.3726372486541456,-2.423470014065695,-0.40905273743986303
G1c M-C - const2d cinque,PDMS,all,12146,74.05367733393453,73.98511865715895,-0.06855867677559375,-0.12135738592849708,-0.019637535948454098
G1c M-C - const2d cinque,PDMS,vehicle_approach,4726,78.15541634061489,77.976976870938,-0.1784394696769016,-0.3187373488952129,-0.05245146355817399
G1c M-C - const2d cinque,PDMS,ped_cyc_corridor,897,75.88420432199433,75.7673609997863,-0.1168433222080105,-0.3105947365955523,0.09035196013736548
G1c M-C - const2d cinque,PDMS,straight,4365,78.11461427818848,77.91935584144693,-0.19525843674154778,-0.33280622005894256,-0.07027184410673029
G1c M-C - const2d cinque,PDMS,g3_open,608,87.1199248779133,85.75029682235268,-1.3696280555606197,-2.4257359249278165,-0.40876296855124583
G2 M-C pair s0 cinque,PDMS,vehicle_approach,4726,76.81892848163272,44.55437760279205,-32.26455087884069,-33.47093166496429,-31.064268053613038
G2 M-C pair s1 cinque,PDMS,vehicle_approach,4726,76.81892848163272,43.1721306209514,-33.64679786068134,-34.879167598219205,-32.41020594489669
G2 M-C pair s2 cinque,PDMS,vehicle_approach,4726,76.81892848163272,43.92090925072404,-32.89801923090869,-34.150073618591904,-31.656831110813016
G2 student A s0 cinque,PDMS,vehicle_approach,4726,76.81892848163272,77.26512455218892,0.44619607055618427,-0.3775361233668838,1.258615140856501
G2 student A s1 cinque,PDMS,vehicle_approach,4726,76.81892848163272,77.4276345546427,0.6087060730099705,-0.21657126925529852,1.4190445883191534
G2 student A s2 cinque,PDMS,vehicle_approach,4726,76.81892848163272,76.74876551362007,-0.0701629680126686,-0.9305186462468725,0.782910011622938
G2 M-C hard s0 cinque,PDMS,vehicle_approach,4726,76.81892848163272,3.6235798725331767,-73.19534860909955,-74.24587790839423,-72.13300675731591
G2 M-C uniform s0 cinque,PDMS,vehicle_approach,4726,76.81892848163272,5.631340341539375,-71.18758814009337,-72.29680844663274,-70.07017439188054
G1c g3 x M-C lebowski,PDMS,all,12146,72.4149628176169,72.77643110735804,0.361468289741139,0.22048827421685813,0.5106734440410811
G1c g3 x M-C lebowski,PDMS,vehicle_approach,4726,76.16800522598663,77.02025441385886,0.8522491878722416,0.48635454745209444,1.2300056265423336
G1c g3 x M-C lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,75.98083364080654,1.5455034237789596,0.7691852121982595,2.416929463519673
G1c g3 x M-C lebowski,PDMS,straight,4365,76.44028268882495,77.12943655958819,0.6891538707632382,0.33439222100413674,1.0555057426202428
G1c g3 x M-C lebowski,PDMS,g3_open,943,78.2809601707013,82.93905345839609,4.658093287694779,2.7754721775522317,6.516826092410979
G1c g3 x M-C lebowski,EPDMS,all,12146,72.87266915773264,72.78393467251986,-0.08873448521278177,-0.22737896400184607,0.05577844956051046
G1c g3 x M-C lebowski,EPDMS,vehicle_approach,4726,79.36375892446382,79.05994793861205,-0.3038109858517745,-0.6576352399235426,0.06611993738094198
G1c g3 x M-C lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,76.6851925611857,0.5064555340330592,-0.26528896693766785,1.334594152467801
G1c g3 x M-C lebowski,EPDMS,straight,4365,79.86521422847083,79.54304360614256,-0.3221706223282741,-0.6804147614840679,0.04025977661946134
G1c g3 x M-C lebowski,EPDMS,g3_open,943,84.40301244417915,83.52697520152822,-0.8760372426509365,-2.6908874413088424,0.9721243875405503
G1c g3 x const lebowski,PDMS,all,12146,72.4149628176169,72.83602084269974,0.4210580250828491,0.276985792830617,0.5707042270507663
G1c g3 x const lebowski,PDMS,vehicle_approach,4726,76.16800522598663,77.17667768081353,1.0086724548268997,0.6394125719032412,1.3965669486058891
G1c g3 x const lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,76.15185371503699,1.7165234980094206,0.9205544310361836,2.5984545408337487
G1c g3 x const lebowski,PDMS,straight,4365,76.44028268882495,77.27846417048092,0.8381814816559554,0.48131524129839465,1.2206875226042022
G1c g3 x const lebowski,PDMS,g3_open,943,78.28096017070129,83.70688895859956,5.425928787898262,3.6140173994072127,7.377853836700591
G1c g3 x const2d lebowski,PDMS,all,12146,72.4149628176169,72.83605841707542,0.4210955994585294,0.27291734431722053,0.5726190624506523
G1c g3 x const2d lebowski,PDMS,vehicle_approach,4726,76.16800522598663,77.17677694188949,1.00877171590286,0.6377777319353447,1.386581258110302
G1c g3 x const2d lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,76.15190839777034,1.7165781807427682,0.8999314979611339,2.6284162529742976
G1c g3 x const2d lebowski,PDMS,straight,4365,76.44028268882495,77.27867810423855,0.8383954154135975,0.48011258350767655,1.2098122742564519
G1c g3 x const2d lebowski,PDMS,g3_open,943,78.28096017070129,83.7073734332335,5.426413262532195,3.5616228976396704,7.322547035782874
