scope,n,activation,lo,hi,delta_mag_median_m,model,head,seed,stats,gate,tau
straight_yaw,11597,0.8716909545572131,0.8555158881355981,0.8862804372367369,11.314591407775879,cinque,M-C pair,0,i3,none,1.558912944793701
pre_onset,1458,0.7030178326474623,0.6464901517489045,0.7586647537084669,10.26286506652832,cinque,M-C pair,0,i3,none,1.558912944793701
all,19663,0.797436810252759,0.7810266578596389,0.8132504226463223,11.236679077148438,cinque,M-C pair,0,i3,none,1.558912944793701
Pedestrians,1831,0.8001092299290006,0.7457998135114469,0.850992347174144,11.369396209716797,cinque,M-C pair,0,i3,none,1.558912944793701
Cyclists,2830,0.8102473498233216,0.7722067790451488,0.8451320232849837,12.08531665802002,cinque,M-C pair,0,i3,none,1.558912944793701
Cut_ins,885,0.9073446327683616,0.8720167009213157,0.9373673036093418,12.678107261657715,cinque,M-C pair,0,i3,none,1.558912944793701
FOD,3561,0.8073574838528503,0.7667753580479755,0.8454625097038693,10.468672752380371,cinque,M-C pair,0,i3,none,1.558912944793701
Intersections,4772,0.8051131601005868,0.7758182845431838,0.8338658830948623,11.21298599243164,cinque,M-C pair,0,i3,none,1.558912944793701
straight_yaw,11597,0.11563335345347935,0.09813567042514754,0.13424746372451316,1.8088958263397217,cinque,M-C pair,0,i3,g2,1.558912944793701
pre_onset,1458,0.06721536351165981,0.03829752124148585,0.10122078986231665,1.1907236576080322,cinque,M-C pair,0,i3,g2,1.558912944793701
all,19663,0.10451101052738646,0.09091331241433803,0.11849599701051285,1.704986572265625,cinque,M-C pair,0,i3,g2,1.558912944793701
Pedestrians,1831,0.11632987438558165,0.08066294190591126,0.15677596441210714,2.015310049057007,cinque,M-C pair,0,i3,g2,1.558912944793701
Cyclists,2830,0.19081272084805653,0.14715675845743567,0.2386860545628235,2.2373695373535156,cinque,M-C pair,0,i3,g2,1.558912944793701
Cut_ins,885,0.17175141242937852,0.10229585784778895,0.24793599019121512,2.5801944732666016,cinque,M-C pair,0,i3,g2,1.558912944793701
FOD,3561,0.08396517832069643,0.05380494938883154,0.11775749798116439,1.2235867977142334,cinque,M-C pair,0,i3,g2,1.558912944793701
Intersections,4772,0.06202849958088852,0.04448292693044627,0.08164584942062976,1.3209950923919678,cinque,M-C pair,0,i3,g2,1.558912944793701
straight_yaw,11597,0.8624644304561524,0.8496892606132558,0.8746474405268228,11.382647514343262,cinque,M-C hard,0,i3,none,2.09327903985977
pre_onset,1458,0.8641975308641975,0.8210299737271078,0.9019334147402698,12.255298614501953,cinque,M-C hard,0,i3,none,2.09327903985977
all,19663,0.8585159945074505,0.8478210802166642,0.8686392561396575,11.695535659790039,cinque,M-C hard,0,i3,none,2.09327903985977
Pedestrians,1831,0.8252321135991262,0.7923314295726603,0.8549129804982125,11.117429733276367,cinque,M-C hard,0,i3,none,2.09327903985977
Cyclists,2830,0.7975265017667844,0.7685979971387696,0.8257365712876923,10.401403427124023,cinque,M-C hard,0,i3,none,2.09327903985977
Cut_ins,885,0.8610169491525423,0.8265895953757225,0.8944381384790011,11.597993850708008,cinque,M-C hard,0,i3,none,2.09327903985977
FOD,3561,0.8820556023588879,0.8527078554915768,0.9074641456280171,12.583988189697266,cinque,M-C hard,0,i3,none,2.09327903985977
Intersections,4772,0.8784576697401508,0.861528179821526,0.8950680130594757,11.787590026855469,cinque,M-C hard,0,i3,none,2.09327903985977
straight_yaw,11597,0.9540398378891093,0.946791205846678,0.9608099880315469,10.308114051818848,cinque,M-C uniform,0,i3,none,1.5291729211807246
pre_onset,1458,0.9554183813443072,0.9311705351447745,0.9752261050112613,11.032325744628906,cinque,M-C uniform,0,i3,none,1.5291729211807246
all,19663,0.9512281950872197,0.9457224812497228,0.9565616900936126,10.568821907043457,cinque,M-C uniform,0,i3,none,1.5291729211807246
Pedestrians,1831,0.9442927362097214,0.9269005430480828,0.9600865247652806,10.015649795532227,cinque,M-C uniform,0,i3,none,1.5291729211807246
Cyclists,2830,0.9194346289752651,0.9011445420842515,0.935579057096948,9.522768020629883,cinque,M-C uniform,0,i3,none,1.5291729211807246
Cut_ins,885,0.9231638418079096,0.8990823027310075,0.9458857170345156,10.057992935180664,cinque,M-C uniform,0,i3,none,1.5291729211807246
FOD,3561,0.9581578208368435,0.9458212495786134,0.9694896880103293,11.24464225769043,cinque,M-C uniform,0,i3,none,1.5291729211807246
Intersections,4772,0.9618608549874267,0.9513067421784904,0.9714566758281499,10.760960578918457,cinque,M-C uniform,0,i3,none,1.5291729211807246
straight_yaw,11597,0.0670000862291972,0.054363237193169135,0.08104371241888893,0.42303237318992615,cinque,student A,0,i3,none,1.43935517668724
pre_onset,1458,0.029492455418381344,0.013067275500446195,0.04944289693593315,0.35071587562561035,cinque,student A,0,i3,none,1.43935517668724
all,19663,0.06402888674159589,0.05479725129658345,0.07374479141234395,0.44540315866470337,cinque,student A,0,i3,none,1.43935517668724
Pedestrians,1831,0.07209175314036045,0.04862590212990671,0.0980754623584334,0.4692934453487396,cinque,student A,0,i3,none,1.43935517668724
Cyclists,2830,0.07173144876325088,0.05130890052356021,0.0955801019695261,0.4975385069847107,cinque,student A,0,i3,none,1.43935517668724
Cut_ins,885,0.12542372881355932,0.05693853239468174,0.22149122807017543,0.5085434913635254,cinque,student A,0,i3,none,1.43935517668724
FOD,3561,0.05307497893850042,0.034240276278976196,0.07430637664622901,0.44078850746154785,cinque,student A,0,i3,none,1.43935517668724
Intersections,4772,0.054484492875104776,0.040723472862247784,0.06953381109496175,0.4105188846588135,cinque,student A,0,i3,none,1.43935517668724
straight_yaw,11597,0.000603604380443218,8.857199965511025e-05,0.0013207742381078553,0.06182776018977165,cinque,student A,0,i3,g2,1.43935517668724
pre_onset,1458,0.0006858710562414266,0.0,0.002188183807439825,0.04217418655753136,cinque,student A,0,i3,g2,1.43935517668724
all,19663,0.0006102832731526217,0.00020456041916338733,0.0011013941265469265,0.06443483382463455,cinque,student A,0,i3,g2,1.43935517668724
Pedestrians,1831,0.0010922992900054614,0.0,0.003575685339690107,0.08134174346923828,cinque,student A,0,i3,g2,1.43935517668724
Cyclists,2830,0.0014134275618374558,0.0,0.003957012768163844,0.09156761318445206,cinque,student A,0,i3,g2,1.43935517668724
Cut_ins,885,0.0,0.0,0.0,0.1021277904510498,cinque,student A,0,i3,g2,1.43935517668724
FOD,3561,0.0005616399887672002,0.0,0.0014265335235378032,0.05190078169107437,cinque,student A,0,i3,g2,1.43935517668724
Intersections,4772,0.00020955574182732607,0.0,0.0006603602272836314,0.04941539466381073,cinque,student A,0,i3,g2,1.43935517668724
straight_yaw,11597,0.08114167457100975,0.0672815343340993,0.09604588972342583,0.36652106046676636,cinque,student B,0,i3,none,1.302914285659789
pre_onset,1458,0.0438957475994513,0.020539020963537203,0.07308634055591927,0.28403693437576294,cinque,student B,0,i3,none,1.302914285659789
all,19663,0.07582769668921324,0.06567289722399652,0.08617380067646493,0.39314064383506775,cinque,student B,0,i3,none,1.302914285659789
Pedestrians,1831,0.07919169852539595,0.054956882715229444,0.1057204872683642,0.4062564969062805,cinque,student B,0,i3,none,1.302914285659789
Cyclists,2830,0.08692579505300353,0.06396197573541833,0.11257444174444503,0.49515417218208313,cinque,student B,0,i3,none,1.302914285659789
Cut_ins,885,0.14915254237288136,0.08588922394371079,0.23945506316474366,0.4825790524482727,cinque,student B,0,i3,none,1.302914285659789
FOD,3561,0.06711597865768043,0.0456314206125465,0.09059741031609611,0.34996330738067627,cinque,student B,0,i3,none,1.302914285659789
Intersections,4772,0.06768650461022632,0.05114064143595712,0.08583917186389409,0.35595959424972534,cinque,student B,0,i3,none,1.302914285659789
straight_yaw,11597,0.8744502888678106,0.8588064902803275,0.8886356445257872,11.660369873046875,cinque,M-C pair,1,i3,none,1.5500187873840328
pre_onset,1458,0.7112482853223594,0.6545079022988506,0.766540126923129,10.517365455627441,cinque,M-C pair,1,i3,none,1.5500187873840328
all,19663,0.80231907643798,0.7860239099605758,0.8180588918308966,11.531667709350586,cinque,M-C pair,1,i3,none,1.5500187873840328
Pedestrians,1831,0.8088476242490442,0.7552333805774708,0.8578770863085503,11.767443656921387,cinque,M-C pair,1,i3,none,1.5500187873840328
Cyclists,2830,0.8162544169611308,0.7771524420175034,0.8520287475070835,12.40738296508789,cinque,M-C pair,1,i3,none,1.5500187873840328
Cut_ins,885,0.9129943502824859,0.8780206787189451,0.9428259128763613,13.23161792755127,cinque,M-C pair,1,i3,none,1.5500187873840328
FOD,3561,0.8115697837686043,0.7716707213596463,0.8489702226702965,10.764856338500977,cinque,M-C pair,1,i3,none,1.5500187873840328
Intersections,4772,0.8093042749371333,0.7801812285022255,0.8378885187516412,11.499776840209961,cinque,M-C pair,1,i3,none,1.5500187873840328
straight_yaw,11597,0.1204621884970251,0.10276921422811576,0.1391947954581335,1.876164436340332,cinque,M-C pair,1,i3,g2,1.5500187873840328
pre_onset,1458,0.06995884773662552,0.04093999530035602,0.10351882158543518,1.2457555532455444,cinque,M-C pair,1,i3,g2,1.5500187873840328
all,19663,0.10873213650002543,0.09504623142344959,0.12279146992381204,1.763207197189331,cinque,M-C pair,1,i3,g2,1.5500187873840328
Pedestrians,1831,0.1294374658656472,0.09316014672116174,0.1696810044165586,2.093878984451294,cinque,M-C pair,1,i3,g2,1.5500187873840328
Cyclists,2830,0.19540636042402826,0.1516065211184569,0.24317371008546593,2.2988147735595703,cinque,M-C pair,1,i3,g2,1.5500187873840328
