head,pairs,n_edit,n_placebo,median_edit_m,median_placebo_m,ratio,lo,hi,pass_2x
E1 M-C pair [cinque],all,911,175,0.3936000168323517,0.27449941635131836,1.4338828325271606,1.260282689332962,1.5650512516498563,False
E1 M-C pair [cinque],1-3 actors,766,175,0.38090699911117554,0.27449941635131836,1.38764226436615,1.2162021279335022,1.5148034274578095,False
E1 M-C pair [cinque],>=4 actors,145,175,0.4483797550201416,0.27449941635131836,1.6334452629089355,1.369704443216324,1.929678943753242,False
E2 pair (a) [cinque],all,911,175,0.5472253624200081,0.38077528526520327,1.4371346660245432,1.2888949969550352,1.6994390180531904,False
E2 pair (a) [cinque],1-3 actors,766,175,0.5445411194991958,0.38077528526520327,1.4300852512524087,1.2697469543730389,1.6912489247894815,False
E2 pair (a) [cinque],>=4 actors,145,175,0.5610744184042803,0.38077528526520327,1.473505345845915,1.2739087770198487,1.8373910171074523,False
E2 pair (b) [cinque],all,911,175,0.5521971598720856,0.38284693843573303,1.442344457887785,1.292202177319829,1.9652959273410588,False
E2 pair (b) [cinque],1-3 actors,766,175,0.5538722673248293,0.38284693843573303,1.4467198551668856,1.2964279786972395,1.9954536262853593,False
E2 pair (b) [cinque],>=4 actors,145,175,0.5421311499357268,0.38284693843573303,1.41605194010643,1.175265225697869,2.0721247404440875,False
E2 pair (c) [cinque],all,911,175,2.2112477552850907,1.2665087256460414,1.7459396137655043,1.4420450776413365,2.130356165443321,False
E2 pair (c) [cinque],1-3 actors,766,175,2.0233445969160044,1.2665087256460414,1.5975765156169008,1.3253446636637058,1.9432538475883814,False
E2 pair (c) [cinque],>=4 actors,145,175,3.8996096849131163,1.2665087256460414,3.079023149188285,2.2622333208100276,4.337131616810639,True
E2 hard (a) [cinque],all,911,175,0.07028303678172035,0.05139825460702583,1.3674206900425192,1.1896885722929804,1.5171879581707814,False
E2 hard (a) [cinque],1-3 actors,766,175,0.06699882665089676,0.05139825460702583,1.3035233815456921,1.1307533719961913,1.4399103260487869,False
E2 hard (a) [cinque],>=4 actors,145,175,0.09629362458153042,0.05139825460702583,1.8734804385432897,1.536883493009223,2.2034281541657768,False
E2 uniform (a) [cinque],all,911,175,0.13300229048499806,0.09779805367317684,1.3599686853632826,1.2207236898271419,1.5415688235878797,False
E2 uniform (a) [cinque],1-3 actors,766,175,0.12443125882093793,0.09779805367317684,1.272328580656261,1.134002955191502,1.4507832898522006,False
E2 uniform (a) [cinque],>=4 actors,145,175,0.17682106405836934,0.09779805367317684,1.8080223216841604,1.5059831998047633,2.2302273633899024,False
E2 pair qwen (a) [cinque],all,911,175,0.539282462996375,0.3970396273355753,1.3582585360946275,1.2040266653445029,1.6365113256001,False
E2 pair qwen (a) [cinque],1-3 actors,766,175,0.5281119825868867,0.3970396273355753,1.3301241141366726,1.1943872136883977,1.6302588060018661,False
E2 pair qwen (a) [cinque],>=4 actors,145,175,0.5606312926304904,0.3970396273355753,1.4120285584407133,1.1979354484966986,1.802175077232774,False
E2 pair op (a) [cinque],all,911,175,0.1424453315494946,0.06241906318491795,2.2820805741268004,1.7574579186774646,2.6302466162064024,True
E2 pair op (a) [cinque],1-3 actors,766,175,0.12003957735095465,0.06241906318491795,1.9231236616822422,1.4646963099749037,2.2603802243356585,False
E2 pair op (a) [cinque],>=4 actors,145,175,0.32518087051979006,0.06241906318491795,5.209640355486176,3.6949816677192007,7.110191662409888,True
E1 M-C pair [lebowski],all,911,175,0.40501222014427185,0.2731946110725403,1.4825043678283691,1.272451463341713,1.6375604301691054,False
E1 M-C pair [lebowski],1-3 actors,766,175,0.37916189432144165,0.2731946110725403,1.3878819942474365,1.1870401173830032,1.5396044939756393,False
E1 M-C pair [lebowski],>=4 actors,145,175,0.49933475255966187,0.2731946110725403,1.8277621269226074,1.540918704867363,2.2178406894207,False
E2 pair (a) [lebowski],all,911,175,0.5325602728142823,0.34869637218717237,1.5272893992955452,1.3062993493546728,1.7426807985512591,False
E2 pair (a) [lebowski],1-3 actors,766,175,0.5242721725077882,0.34869637218717237,1.503520582159572,1.2902187462769208,1.7226567060203801,False
E2 pair (a) [lebowski],>=4 actors,145,175,0.6240975936633574,0.34869637218717237,1.789802370895777,1.3286195045415041,2.068609829819764,False
E2 pair (b) [lebowski],all,911,175,0.5530749261838421,0.34126498661269283,1.6206612101449946,1.3535111185675845,1.9262927154209046,False
E2 pair (b) [lebowski],1-3 actors,766,175,0.5685928926562218,0.34126498661269283,1.6661331075886994,1.3830706853227233,1.9924871955732208,False
