scope,judge,n,delta,lo,hi,model,arm
all,RFS (rater),478,-0.018234654244160535,-0.04919847558745716,0.009069714086558734,cinque,G3 student A (c) s0
all,ADE dec1-9,17389,0.01600497070193978,0.010269105805024804,0.022306568024004932,cinque,G3 student A (c) s0
all,ADE pre_onset dec1-9,1245,-0.000350979869454536,-0.029713385491587092,0.02650586619644388,cinque,G3 student A (c) s0
Pedestrians,RFS (rater),52,-0.02681657576789977,-0.09474518753228735,0.03101913545679468,cinque,G3 student A (c) s0
Pedestrians,ADE dec1-9,1637,0.018090822241571436,0.004301982754056455,0.033466449362920855,cinque,G3 student A (c) s0
Pedestrians,ADE pre_onset dec1-9,83,-0.006103056052271696,-0.05533042764278613,0.04622807052791279,cinque,G3 student A (c) s0
Cyclists,RFS (rater),71,-0.10983441273817435,-0.28688803038263455,0.027130990078019848,cinque,G3 student A (c) s0
Cyclists,ADE dec1-9,2326,0.044063989063431536,0.012470050012094596,0.08064601091775343,cinque,G3 student A (c) s0
Cyclists,ADE pre_onset dec1-9,206,0.02618416113344042,-0.11576147037662839,0.14984406851923715,cinque,G3 student A (c) s0
Cut_ins,RFS (rater),20,-0.03492221957322346,-0.15370678936252113,0.06335041267488102,cinque,G3 student A (c) s0
Cut_ins,ADE dec1-9,724,0.020812126598445897,0.00726421077434244,0.03560124323617398,cinque,G3 student A (c) s0
Cut_ins,ADE pre_onset dec1-9,16,-0.011926221485561848,-0.05308247677507002,0.012767531688143052,cinque,G3 student A (c) s0
FOD,RFS (rater),78,-0.0010967469567515372,-0.042125554703810936,0.037443046500265836,cinque,G3 student A (c) s0
FOD,ADE dec1-9,3175,0.003723021417788865,-0.0051150780284027995,0.012627500302603933,cinque,G3 student A (c) s0
FOD,ADE pre_onset dec1-9,252,-0.03484227254828523,-0.07526194931420076,0.00419975085094529,cinque,G3 student A (c) s0
Intersections,RFS (rater),116,0.012005410208789823,-0.01670991297958204,0.04580312597337893,cinque,G3 student A (c) s0
Intersections,ADE dec1-9,4299,0.014355305331161333,0.005835980330487473,0.023911409351802804,cinque,G3 student A (c) s0
Intersections,ADE pre_onset dec1-9,301,0.020026690761047614,-0.01234747210995403,0.05704706560859431,cinque,G3 student A (c) s0
all,RFS (rater),478,-0.0013911269246852371,-0.039530772456798834,0.034419121097611596,cinque,G3 student A (c) s1
all,ADE dec1-9,17389,0.028401851220801855,0.021400141713457634,0.03583344861350139,cinque,G3 student A (c) s1
all,ADE pre_onset dec1-9,1245,0.003309558842241319,-0.029840375604337315,0.03424491483956494,cinque,G3 student A (c) s1
Pedestrians,RFS (rater),52,-0.09383865834406593,-0.19762538723958026,0.006140687386432644,cinque,G3 student A (c) s1
Pedestrians,ADE dec1-9,1637,0.03312386160668011,0.014280766173113305,0.053134704069765275,cinque,G3 student A (c) s1
Pedestrians,ADE pre_onset dec1-9,83,0.026168106152436633,-0.058809389609139014,0.09803297575316768,cinque,G3 student A (c) s1
Cyclists,RFS (rater),71,-0.05783763932458153,-0.21952020081248097,0.07100878134544111,cinque,G3 student A (c) s1
Cyclists,ADE dec1-9,2326,0.054320819233614315,0.02044700247394686,0.09270503556297321,cinque,G3 student A (c) s1
Cyclists,ADE pre_onset dec1-9,206,0.050422595188798595,-0.09398098439222131,0.1785541440220032,cinque,G3 student A (c) s1
Cut_ins,RFS (rater),20,0.1536779356326139,-0.012982477975948826,0.38877355874343505,cinque,G3 student A (c) s1
Cut_ins,ADE dec1-9,724,0.029718177819503207,0.011930353255506997,0.04983967855952672,cinque,G3 student A (c) s1
Cut_ins,ADE pre_onset dec1-9,16,0.001001086845010428,-0.13080429945474897,0.10351638730037885,cinque,G3 student A (c) s1
FOD,RFS (rater),78,-0.010261964069457737,-0.07867855141886552,0.054107942204645834,cinque,G3 student A (c) s1
FOD,ADE dec1-9,3175,0.012631223616984254,-0.0006945209724445212,0.026083692751984796,cinque,G3 student A (c) s1
FOD,ADE pre_onset dec1-9,252,-0.045859287969831894,-0.09012552411330262,-0.002695010485510371,cinque,G3 student A (c) s1
Intersections,RFS (rater),116,0.030241333068383273,-0.027216164347373138,0.0901778235440986,cinque,G3 student A (c) s1
Intersections,ADE dec1-9,4299,0.02762892158344309,0.015243822265059298,0.0402922622483328,cinque,G3 student A (c) s1
Intersections,ADE pre_onset dec1-9,301,0.025885884770961192,-0.01977448727280501,0.07539055787306512,cinque,G3 student A (c) s1
all,RFS (rater),478,-0.014377893736448755,-0.04238675457896467,0.010292572799037643,cinque,G3 student A (c) s2
all,ADE dec1-9,17389,0.015627205238040613,0.010087622094605129,0.02168269752246507,cinque,G3 student A (c) s2
all,ADE pre_onset dec1-9,1245,-0.001051717454121514,-0.029525165787612214,0.02482109212028548,cinque,G3 student A (c) s2
Pedestrians,RFS (rater),52,-0.04175700119004447,-0.11167571048924398,0.017882721178196965,cinque,G3 student A (c) s2
Pedestrians,ADE dec1-9,1637,0.018632451847465255,0.005070585143184415,0.033715806188102236,cinque,G3 student A (c) s2
Pedestrians,ADE pre_onset dec1-9,83,-0.0010792011064392512,-0.05197405751745413,0.04907366157293031,cinque,G3 student A (c) s2
Cyclists,RFS (rater),71,-0.07455273243750214,-0.22856557442015965,0.04122814046040397,cinque,G3 student A (c) s2
Cyclists,ADE dec1-9,2326,0.040240125934214194,0.010352715844457148,0.07469424026308491,cinque,G3 student A (c) s2
Cyclists,ADE pre_onset dec1-9,206,0.02542476179801143,-0.11118993505915403,0.14655443326036965,cinque,G3 student A (c) s2
Cut_ins,RFS (rater),20,-0.007197494834673579,-0.12034303767891753,0.09427679699574722,cinque,G3 student A (c) s2
Cut_ins,ADE dec1-9,724,0.018420475212505408,0.006368893966291436,0.03141609173819376,cinque,G3 student A (c) s2
Cut_ins,ADE pre_onset dec1-9,16,-0.010292864971238734,-0.04790721714901985,0.014332370837257708,cinque,G3 student A (c) s2
FOD,RFS (rater),78,-0.0042719136875141485,-0.04661777127022675,0.03666590740310824,cinque,G3 student A (c) s2
FOD,ADE dec1-9,3175,0.0029679849898390557,-0.0058978271343074085,0.011939321718347433,cinque,G3 student A (c) s2
