pair,world,readout,n,median,p95,max,exact
gen-smoke vs gen-smoke-rep,1438210,ts,26,0.0,0.01109996438026492,0.024800002574919988,0.5384615384615384
gen-smoke vs gen-smoke-rep,1438210,ts_scalar,26,0.0,0.011250078678131215,0.024899959564207985,0.5384615384615384
gen-smoke vs gen-smoke-rep,1438210,wp2,26,0.011997446490006336,0.16196079337275138,0.21078027084709738,0.0
gen-smoke vs gen-smoke-rep,1831110,ts,40,0.0007999999797857,0.7478597319684919,2.3930000879336166,0.425
gen-smoke vs gen-smoke-rep,1831110,ts_scalar,40,0.0,0.7476403713226303,2.842700004577636,0.625
gen-smoke vs gen-smoke-rep,1831110,wp2,40,0.02779711246526506,0.3011751484043992,0.7575871983527334,0.0
gen-smoke vs gen-smoke-ref20,1438210,ts,26,0.0,0.005599945783614613,0.006799995899203992,0.5384615384615384
gen-smoke vs gen-smoke-ref20,1438210,ts_scalar,26,0.0,0.005874991416930986,0.006799995899199995,0.5384615384615384
gen-smoke vs gen-smoke-ref20,1438210,wp2,26,0.003392085177227007,0.14374430340633837,0.1619774443211261,0.0
gen-smoke vs gen-smoke-ref20,1831110,ts,40,0.0007998943328841879,0.4578501069016101,1.693800004431978,0.4
gen-smoke vs gen-smoke-ref20,1831110,ts_scalar,40,0.0,0.4645748555660208,2.143300056457519,0.625
gen-smoke vs gen-smoke-ref20,1831110,wp2,40,0.036797542784210435,0.4276797404319,1.3523878751160234,0.0
gen-smoke-rep vs gen-smoke-ref20,1438210,ts,26,0.0,0.006299883127211803,0.025999963283536043,0.5384615384615384
gen-smoke-rep vs gen-smoke-ref20,1438210,ts_scalar,26,0.0,0.006374984979630183,0.02619999647140503,0.5769230769230769
gen-smoke-rep vs gen-smoke-ref20,1438210,wp2,26,0.006393238380731056,0.14807483126163878,0.3724352504612414,0.0
gen-smoke-rep vs gen-smoke-ref20,1831110,ts,40,0.0004000663757319778,0.7074300686363137,1.775800039060404,0.45
gen-smoke-rep vs gen-smoke-ref20,1831110,ts_scalar,40,0.0,0.707564949989318,1.788400053977966,0.625
gen-smoke-rep vs gen-smoke-ref20,1831110,wp2,40,0.04379892349243075,0.6766952615726279,0.8995925341878284,0.0
