a,b,scope,n,routes,flip_a,flip_b,diff,lo,hi
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,pooled,1072,49,0.26492537313432835,0.3460820895522388,-0.08115671641791045,-0.12436069638459331,-0.04530924907018075
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,pedestrian,406,21,0.059113300492610835,0.09113300492610837,-0.03201970443349754,-0.06542823921723487,-0.005811054793612949
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,cut-in,667,26,0.3988005997001499,0.5112443778110944,-0.11244377811094453,-0.17727404862579282,-0.054331034345286744
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,DynamicObjectCrossing,293,13,0.027303754266211604,0.040955631399317405,-0.013651877133105802,-0.034482758620689655,0.003875968992248062
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,HighwayCutIn,207,8,0.6183574879227053,0.6328502415458938,-0.014492753623188406,-0.043478260869565216,0.0
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,Light,9,3,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,ParkingCrossingPedestrian,76,5,0.09210526315789473,0.19736842105263158,-0.10526315789473684,-0.18556701030927836,0.0
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,ParkingCutIn,217,8,0.16129032258064516,0.2857142857142857,-0.12442396313364056,-0.2361111111111111,-0.027649769585253458
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,PedestrianCrossing,27,2,0.0,0.0,0.0,0.0,0.0
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,StaticCutIn,243,10,0.42386831275720166,0.6090534979423868,-0.18518518518518517,-0.3041711956521739,-0.08509736747205197
BLUE waypoint speed 2 s,SimLingo waypoint speed 2 s,VehicleTurningRoutePedestrian,10,1,0.9,1.0,-0.1,-0.1,-0.1
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,pooled,1072,49,0.26492537313432835,0.2994402985074627,-0.03451492537313433,-0.13365768908306347,0.07049280810722457
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,pedestrian,406,21,0.059113300492610835,0.29310344827586204,-0.23399014778325122,-0.2929585803716339,-0.1687073481767423
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,cut-in,667,26,0.3988005997001499,0.31784107946026985,0.08095952023988005,-0.06305493233932799,0.23804914754454767
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,DynamicObjectCrossing,293,13,0.027303754266211604,0.28668941979522183,-0.2593856655290102,-0.32029345308704743,-0.19364558938329435
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,HighwayCutIn,207,8,0.6183574879227053,0.2753623188405797,0.34299516908212563,0.13930348258706468,0.553921568627451
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,Light,9,3,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,ParkingCrossingPedestrian,76,5,0.09210526315789473,0.32894736842105265,-0.23684210526315788,-0.36082474226804123,-0.09523809523809523
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,ParkingCutIn,217,8,0.16129032258064516,0.2672811059907834,-0.10599078341013825,-0.33183563748079875,0.1382488479262673
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,PedestrianCrossing,27,2,0.0,0.0,0.0,0.0,0.0
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,StaticCutIn,243,10,0.42386831275720166,0.3991769547325103,0.024691358024691357,-0.19920731707317074,0.2618253073397831
BLUE waypoint speed 2 s,TFv6 waypoint speed 2 s,VehicleTurningRoutePedestrian,10,1,0.9,1.0,-0.1,-0.1,-0.1
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,pooled,1072,49,0.3460820895522388,0.2994402985074627,0.04664179104477612,-0.05533513498683055,0.15385492700729922
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,pedestrian,406,21,0.09113300492610837,0.29310344827586204,-0.2019704433497537,-0.25385135135135134,-0.14348174247277395
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,cut-in,667,26,0.5112443778110944,0.31784107946026985,0.1934032983508246,0.0406460843373494,0.34398871094426026
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,DynamicObjectCrossing,293,13,0.040955631399317405,0.28668941979522183,-0.24573378839590443,-0.30472103004291845,-0.18464027978963593
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,HighwayCutIn,207,8,0.6328502415458938,0.2753623188405797,0.357487922705314,0.1492403367776502,0.5833635265700482
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,Light,9,3,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,ParkingCrossingPedestrian,76,5,0.19736842105263158,0.32894736842105265,-0.13157894736842105,-0.19230769230769232,-0.06756756756756757
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,ParkingCutIn,217,8,0.2857142857142857,0.2672811059907834,0.018433179723502304,-0.28110599078341014,0.32407407407407407
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,PedestrianCrossing,27,2,0.0,0.0,0.0,0.0,0.0
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,StaticCutIn,243,10,0.6090534979423868,0.3991769547325103,0.20987654320987653,0.020736345848935668,0.41909124405439746
SimLingo waypoint speed 2 s,TFv6 waypoint speed 2 s,VehicleTurningRoutePedestrian,10,1,1.0,1.0,0.0,0.0,0.0
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,pooled,1072,49,0.27238805970149255,0.2994402985074627,-0.027052238805970148,-0.10821457471677755,0.0590629702131389
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,pedestrian,406,21,0.2413793103448276,0.29310344827586204,-0.05172413793103448,-0.09641954495144855,-0.005818464528668678
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,cut-in,667,26,0.30134932533733133,0.31784107946026985,-0.01649175412293853,-0.15292620735087,0.11783583539599853
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,DynamicObjectCrossing,293,13,0.23208191126279865,0.28668941979522183,-0.05460750853242321,-0.11355709507883421,0.006495103257398331
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,HighwayCutIn,207,8,0.3188405797101449,0.2753623188405797,0.043478260869565216,-0.2723557028445181,0.35858585858585856
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,Light,9,3,0.3333333333333333,0.0,0.3333333333333333,0.0,1.0
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,ParkingCrossingPedestrian,76,5,0.2631578947368421,0.32894736842105265,-0.06578947368421052,-0.1111111111111111,0.04878048780487805
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,ParkingCutIn,217,8,0.23963133640552994,0.2672811059907834,-0.027649769585253458,-0.12037037037037036,0.07339449541284404
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,PedestrianCrossing,27,2,0.0,0.0,0.0,0.0,0.0
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,StaticCutIn,243,10,0.34156378600823045,0.3991769547325103,-0.05761316872427984,-0.2637867709718103,0.1945715284533073
BridgeDrive waypoint speed 2 s,TFv6 waypoint speed 2 s,VehicleTurningRoutePedestrian,10,1,1.0,1.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,pooled,1072,49,0.0018656716417910447,0.0,0.0018656716417910447,0.0,0.005714421898406645
BridgeDrive target speed,TFv6 target speed,pedestrian,406,21,0.0,0.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,cut-in,667,26,0.0029985007496251873,0.0,0.0029985007496251873,0.0,0.009104704097116844
BridgeDrive target speed,TFv6 target speed,DynamicObjectCrossing,293,13,0.0,0.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,HighwayCutIn,207,8,0.00966183574879227,0.0,0.00966183574879227,0.0,0.028985507246376812
BridgeDrive target speed,TFv6 target speed,Light,9,3,0.0,0.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,ParkingCrossingPedestrian,76,5,0.0,0.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,ParkingCutIn,217,8,0.0,0.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,PedestrianCrossing,27,2,0.0,0.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,StaticCutIn,243,10,0.0,0.0,0.0,0.0,0.0
BridgeDrive target speed,TFv6 target speed,VehicleTurningRoutePedestrian,10,1,0.0,0.0,0.0,0.0,0.0
