examinee,L_s,window,scope,tau_model,null_ff,null_ff_oos,false_flip_nonreactive,n,unit,routes,flip,lo,hi,sign_agree,abs_over_tau_median
SparseDriveV2,0.0,per frame,pooled,1.939549446105957,0.050062972292191435,0.051134882754099414,0.01903584672435105,1081,frame,49,0.0545790934320074,0.02118973988439306,0.09566189624329159,0.5180388529139686,0.16637025773525238
SparseDriveV2,0.0,per frame,pedestrian,1.939549446105957,0.050062972292191435,0.051134882754099414,0.004491017964071856,406,frame,21,0.0049261083743842365,0.0,0.012258126934984502,0.3399014778325123,0.04961106553673744
SparseDriveV2,0.0,per frame,cut-in,1.939549446105957,0.050062972292191435,0.051134882754099414,0.027699718988358088,676,frame,26,0.08431952662721894,0.03544660700321488,0.14918924579466036,0.6227810650887574,0.2172255665063858
SparseDriveV2,0.0,(b) per pair,pooled,1.939549446105957,0.4105263157894737,0.4217641843971631,0.01903584672435105,147,pair,49,0.19047619047619047,0.10204081632653061,0.2857142857142857,0.5180388529139686,0.16637025773525238
SparseDriveV2,0.0,(b) per pair,pedestrian,1.939549446105957,0.4105263157894737,0.4217641843971631,0.004491017964071856,63,pair,21,0.031746031746031744,0.0,0.07936507936507936,0.3399014778325123,0.04961106553673744
SparseDriveV2,0.0,(b) per pair,cut-in,1.939549446105957,0.4105263157894737,0.4217641843971631,0.027699718988358088,78,pair,26,0.3333333333333333,0.19230769230769232,0.48717948717948717,0.6227810650887574,0.2172255665063858
ZTRS,0.0,per frame,pooled,2.9452542066574097,0.050062972292191435,0.05061880891276713,0.016563658838071694,1081,frame,49,0.060129509713228495,0.018898288583726174,0.11142055314681124,0.6586493987049029,0.16376647353172302
ZTRS,0.0,per frame,pedestrian,2.9452542066574097,0.050062972292191435,0.05061880891276713,0.0014970059880239522,406,frame,21,0.007389162561576354,0.0,0.018870160064383426,0.4753694581280788,0.06161709874868393
ZTRS,0.0,per frame,cut-in,2.9452542066574097,0.050062972292191435,0.05061880891276713,0.025291047771979124,676,frame,26,0.08875739644970414,0.02047261508338071,0.17594196036373178,0.7603550295857988,0.23943965137004852
ZTRS,0.0,(b) per pair,pooled,2.9452542066574097,0.4,0.399822695035461,0.016563658838071694,147,pair,49,0.1564625850340136,0.07482993197278912,0.25170068027210885,0.6586493987049029,0.16376647353172302
ZTRS,0.0,(b) per pair,pedestrian,2.9452542066574097,0.4,0.399822695035461,0.0014970059880239522,63,pair,21,0.047619047619047616,0.0,0.12698412698412698,0.4753694581280788,0.06161709874868393
ZTRS,0.0,(b) per pair,cut-in,2.9452542066574097,0.4,0.399822695035461,0.025291047771979124,78,pair,26,0.23076923076923078,0.08974358974358974,0.3974358974358974,0.7603550295857988,0.23943965137004852
