examinee,scope,tau_model,n_reactive,routes_reactive,pairs_reactive,flip_rate,flip_lo,flip_hi,any_direction_rate,wrong_direction_rate,n_nonreactive,false_flip_nonreactive,false_flip_null_insample,false_flip_null_oos,n_null,flip_rate_family_equal
DrivoR,pooled,2.471093773841858,1081,49,147,0.030527289546716005,0.005575820582874822,0.06351094321596036,0.03145235892691952,0.0009250693802035153,4045,0.00865265760197775,0.050062972292191435,0.05708072498181149,3176.0,0.022651089421275757
DrivoR,DynamicObjectCrossing,2.471093773841858,293,13,39,0.0,0.0,0.0,0.0,0.0,316,0.0,,,,
DrivoR,HighwayCutIn,2.471093773841858,207,8,24,0.15458937198067632,0.04975124378109453,0.2863849765258216,0.15458937198067632,0.0,1112,0.026079136690647483,,,,
DrivoR,Light,2.471093773841858,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
DrivoR,OppositeVehicleRunningRedLight,2.471093773841858,0,0,0,,,,,,58,0.0,,,,
DrivoR,ParkingCrossingPedestrian,2.471093773841858,76,5,15,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105,234,0.0,,,,
DrivoR,ParkingCutIn,2.471093773841858,217,8,24,0.0,0.0,0.0,0.0,0.0,600,0.0,,,,
DrivoR,PedestrianCrossing,2.471093773841858,27,2,6,0.0,0.0,0.0,0.0,0.0,809,0.0012360939431396785,,,,
DrivoR,StaticCutIn,2.471093773841858,252,10,30,0.003968253968253968,0.0,0.012244897959183673,0.003968253968253968,0.0,779,0.006418485237483954,,,,
DrivoR,VehicleTurningRoutePedestrian,2.471093773841858,10,1,3,0.0,0.0,0.0,0.1,0.1,2649,0.0011325028312570782,,,,
WA-JEPA,pooled,1.0686296224594116,1081,49,147,0.1322849213691027,0.08064480789347205,0.1919727354108999,0.1322849213691027,0.0,4045,0.0546353522867738,0.050062972292191435,0.05509837782521447,3176.0,0.14948731088383324
WA-JEPA,DynamicObjectCrossing,1.0686296224594116,293,13,39,0.05460750853242321,0.024760494923033626,0.08934917441957924,0.05460750853242321,0.0,316,0.006329113924050633,,,,
WA-JEPA,HighwayCutIn,1.0686296224594116,207,8,24,0.38164251207729466,0.1877554542943938,0.5797101449275363,0.38164251207729466,0.0,1112,0.11420863309352518,,,,
WA-JEPA,Light,1.0686296224594116,9,3,9,0.0,0.0,0.0,0.0,0.0,195,0.0,,,,
WA-JEPA,OppositeVehicleRunningRedLight,1.0686296224594116,0,0,0,,,,,,58,0.034482758620689655,,,,
WA-JEPA,ParkingCrossingPedestrian,1.0686296224594116,76,5,15,0.02631578947368421,0.0,0.06741573033707865,0.02631578947368421,0.0,234,0.004273504273504274,,,,
WA-JEPA,ParkingCutIn,1.0686296224594116,217,8,24,0.03225806451612903,0.009216589861751152,0.05555555555555555,0.03225806451612903,0.0,600,0.0016666666666666668,,,,
WA-JEPA,PedestrianCrossing,1.0686296224594116,27,2,6,0.4444444444444444,0.0,0.5,0.4444444444444444,0.0,809,0.11124845488257108,,,,
WA-JEPA,StaticCutIn,1.0686296224594116,252,10,30,0.10714285714285714,0.06248788759689922,0.15873015873015872,0.10714285714285714,0.0,779,0.0,,,,
WA-JEPA,VehicleTurningRoutePedestrian,1.0686296224594116,10,1,3,0.1,0.1,0.1,0.1,0.0,2649,0.0007550018875047187,,,,
