scope,row,n,ade5_log,lo,hi,d_cv,d_cv_lo,d_cv_hi,d_ours cls ego,d_ours cls ego_lo,d_ours cls ego_hi,d_Alpamayo 1.5 nav (E[1 sample]),d_Alpamayo 1.5 nav (E[1 sample])_lo,d_Alpamayo 1.5 nav (E[1 sample])_hi,d_openpilot Cinque,d_openpilot Cinque_lo,d_openpilot Cinque_hi
s_ego deciles 1-9,cv,1232,2.5115,2.3514,2.6768,0.0,0.0,0.0,0.7719,0.606,0.9411,0.9183,0.7722,1.0651,0.7265,0.5551,0.9003
s_ego deciles 1-9,ours cls ego,1232,1.7395,1.6267,1.8579,-0.7719,-0.9411,-0.606,0.0,0.0,0.0,0.1464,0.0265,0.2706,-0.0454,-0.189,0.0946
s_ego deciles 1-9,openpilot Cinque,1232,1.7849,1.659,1.915,-0.7265,-0.9003,-0.5551,0.0454,-0.0946,0.189,0.1918,0.0711,0.3254,0.0,0.0,0.0
s_ego deciles 1-9,DrivoR,1232,3.1925,2.9403,3.4722,0.681,0.3693,1.0124,1.453,1.2189,1.7152,1.5994,1.336,1.8878,1.4076,1.1807,1.6571
s_ego deciles 1-9,Alpamayo 1.5 nav (E[1 sample]),1232,1.5932,1.5099,1.6798,-0.9183,-1.0651,-0.7722,-0.1464,-0.2706,-0.0265,0.0,0.0,0.0,-0.1918,-0.3254,-0.0711
top decile,cv,205,6.8193,6.2232,7.4211,0.0,0.0,0.0,1.6789,1.0954,2.259,2.1495,1.6315,2.6725,2.7088,2.1818,3.233
top decile,ours cls ego,205,5.1403,4.6406,5.6668,-1.6789,-2.259,-1.0954,0.0,0.0,0.0,0.4706,-0.0542,0.9729,1.0299,0.5496,1.5029
top decile,openpilot Cinque,205,4.1105,3.6135,4.6082,-2.7088,-3.233,-2.1818,-1.0299,-1.5029,-0.5496,-0.5593,-0.8704,-0.2449,0.0,0.0,0.0
top decile,DrivoR,205,4.1783,3.6058,4.8495,-2.641,-3.4087,-1.7777,-0.9621,-1.529,-0.3318,-0.4915,-1.1675,0.3168,0.0678,-0.5764,0.8101
top decile,Alpamayo 1.5 nav (E[1 sample]),205,4.6698,4.1159,5.2496,-2.1495,-2.6725,-1.6315,-0.4706,-0.9729,0.0542,0.0,0.0,0.0,0.5593,0.2449,0.8704
all,cv,1437,3.126,2.9314,3.3246,0.0,0.0,0.0,0.9013,0.7397,1.067,1.094,0.9438,1.2472,1.0093,0.8364,1.1832
all,ours cls ego,1437,2.2247,2.0803,2.3735,-0.9013,-1.067,-0.7397,0.0,0.0,0.0,0.1926,0.0662,0.3197,0.108,-0.0338,0.2496
all,openpilot Cinque,1437,2.1167,1.9757,2.2658,-1.0093,-1.1832,-0.8364,-0.108,-0.2496,0.0338,0.0846,-0.0281,0.2074,0.0,0.0,0.0
all,DrivoR,1437,3.3331,3.0962,3.5964,0.2071,-0.0977,0.5247,1.1084,0.8785,1.3535,1.3011,1.0442,1.5712,1.2164,0.9927,1.4567
all,Alpamayo 1.5 nav (E[1 sample]),1437,2.0321,1.9054,2.173,-1.094,-1.2472,-0.9438,-0.1926,-0.3197,-0.0662,0.0,0.0,0.0,-0.0846,-0.2074,0.0281
