,Construction,Cut_ins,Cyclist,Foreign Object Debris,Interections,Multi-Lane Maneuvers,Others,Pedestrian,Single-Lane Maneuvers,Special Vehicles
rater_best,9.733333333333333,9.9,9.830985915492958,9.64102564102564,9.594827586206897,9.619047619047619,9.5,9.442307692307692,9.447368421052632,9.16
rater_worst,8.453847075520773,8.313912226440221,7.570609839734295,7.81616362589552,7.580435946016577,7.374321894825918,7.157370757249416,7.778641579456375,7.957063260199601,7.145375802621303
logged_future,8.840379168940274,6.0183540125685635,7.559010298159566,8.352128964688411,8.367238443142748,8.063005946453714,8.722208958574024,8.30632430783723,8.825389189090966,8.25350809594834
cv,6.988208977687143,8.415291516222252,6.766656850256002,6.95926188672888,7.111854600679904,6.835691971831665,6.9836733364218935,7.318696336295361,6.989501986373627,6.664949751023382
zero,5.722172157440957,4.460697995369504,5.259649588746021,4.859833232298929,5.590101643711496,5.466329319101049,5.447304290300009,5.930778657684797,5.341404546821541,5.74736064583947
ours ridge ego,7.6444772407398265,6.726670145071788,6.676968207718762,7.446012194089038,7.058529999994997,6.906313923427288,7.484981563536038,7.31015275434448,6.81204624685892,6.5266327585578345
ours cls ego,6.969499831511792,7.2505647073442265,6.9532989288505584,7.326771077660533,7.461714541318912,7.270736956251116,7.419603341980051,7.807739379319546,7.3775416579802044,7.276152995629266
ours cls_late vision+ego,7.248373564512091,7.228269913056164,7.065057168899867,7.248781563161954,7.305278136412325,7.280691227372436,7.2333751137281945,7.740854879973459,7.002268573825027,7.661649331810577
alpamayo_nav | E[1 sample],8.030738865293674,8.237672406123101,7.927646745702143,7.6442890135282004,7.65378086772359,7.599438519511053,7.726138643212641,8.165718375355796,7.989294948085815,7.593844443133178
alpamayo_nav | sample 0,7.8172744242027745,8.25053575745508,7.730745932785676,7.324658807207038,7.5575878773221685,7.2405815657620485,7.388356069931114,8.032283300339548,8.086067430816753,7.306343779139095
alpamayo_nav | medoid-of-6,8.127962587180628,8.358802441135778,8.258946771734792,7.661136375956387,7.895610806607183,7.763887008638816,7.780442815540055,8.417431492413137,8.348148439336041,7.723542717819128
alpamayo_nav | ORACLE best-of-6 RFS,8.804115354807307,9.4,9.210756709678275,8.607229317082396,8.844320356706636,8.585236994567335,9.227604558770455,9.106437419566571,8.867071106968416,8.844653984099894
alpamayo_nav | ORACLE minADE_6,8.504115354807306,9.353740136379887,8.934041537002603,8.194190483865261,8.379655007987763,8.307081976555965,8.882137771861919,8.674826654346164,8.76109852529976,8.736323326424646
alpamayo_nonav | E[1 sample],7.943867260575973,8.471700869176377,7.981550416505157,7.673436464648607,7.640674683289989,7.576312036788496,7.763538873504567,8.139719244722247,8.018096663379158,7.5845191499941915
alpamayo_nonav | sample 0,7.729595672933723,8.386495019309875,7.843281636326318,7.369479109245473,7.459832028629949,7.216817393706862,7.47561003621079,7.938112844893587,8.163985205067046,7.296688076666831
alpamayo_nonav | medoid-of-6,8.132153541846378,8.78635510857045,8.304672804168781,7.757690438081613,7.934470564777257,7.839518296342239,7.782490440613997,8.358228860550117,8.440282890143713,7.629061499659178
alpamayo_nonav | ORACLE best-of-6 RFS,8.524738916232112,9.455653688678929,9.25440640640455,8.58680927603052,8.789471966265133,8.473948553223318,9.218403147464977,9.063382130040548,8.932997437163536,8.787292090945733
alpamayo_nonav | ORACLE minADE_6,8.410093048745894,9.336127193095901,8.970928407123765,8.219113489045908,8.309778747799378,8.185491108009048,8.873364137608768,8.680787898679238,8.808780194760258,8.551653361912729
op_small,8.515865806853668,7.80778557455112,7.961424042926179,7.919036636133591,7.6889364575753385,7.228564574265574,6.642305416871809,7.894906013064697,7.6668004883310035,7.072666143066427
op_cinque,8.28784775486819,8.769016792679688,8.22763421731541,7.812952261446997,7.7432572355683,7.539766019750356,7.855112158771164,8.234135140297628,8.110316356838283,7.468376135902373
op_lebowski,8.388511616466328,8.502765080126272,7.935073742893886,7.8228779768026,7.506770268771411,7.323379256853198,7.632631326354318,8.16009633346017,8.361666445062701,7.226370095598304
n,15.0,20.0,71.0,78.0,116.0,42.0,22.0,52.0,38.0,25.0
