source,route,seed,step,speed,dense_turn_distance_m,plan_k_near,plan_k_aim,c_cmd_k,b_steer,c_steer,c_plant_steer,c_ack_only_steer,plan_plant_steer,gamma,opposite,s_shape,b_near_zero,c_near_zero,b_matches_plan,c_matches_plan,b_aim_sign,c_aim_sign
D3b,2084,0,382,1.6958959844249846,4.2764835281377,-0.09452483746288752,-0.0425889305030214,0.01887566666033631,-0.059404172003269196,0.04554146070570629,0.04765975252721716,0.04623518069408307,-0.10920609992417663,0.9704990481645902,1,0,1,0,1,0,-1,1
D3b,2084,0,386,2.7814617588477115,3.8292059285862656,-0.12713578690118627,-0.03583511939430503,0.015302061910442234,-0.0552835650742054,0.037691359472744025,0.03932877224610155,0.03815577982665392,-0.09339865536546309,0.9704990481645902,1,0,1,0,1,0,-1,1
D3b,2084,0,387,3.15601173437451,3.6786872062589175,-0.1313517781937379,-0.03799964788127794,0.022740655764093298,-0.05297573283314705,0.05637074867187399,0.05918037217070982,0.057407553354142694,-0.09988082688756979,0.9704990481645902,1,0,1,0,1,0,-1,1
D3b,2084,0,388,3.544846026706917,3.5083915768502685,-0.13024366306380347,-0.055182188670923185,0.02491457656148717,-0.07563294470310211,0.062203788526530905,0.0654207577787892,0.06345872580536398,-0.1475291660703139,0.9704990481645902,1,0,1,0,1,0,-1,1
D3b,2084,0,389,3.9025651871152682,3.3199049354245247,-0.12966950987061662,-0.07112208830616529,0.03214366425584592,-0.09091217815876007,0.08071797909881309,0.08539638329240075,0.08282638422115021,-0.1928399721008962,0.9704990481645902,1,0,1,0,1,0,-1,1
D3b,2084,0,390,4.249979054799057,3.1143248960612517,-0.1301319501876954,-0.08052020479865005,0.03683583919039199,-0.10052479803562164,0.09304567692657542,0.10011715418869759,0.09583639578787033,-0.2234773149331322,0.9581643608304531,1,0,0,0,1,0,-1,1
D3b,2084,0,391,4.59531653548211,2.8914109986255454,-0.13398934750580974,-0.10432447021409666,0.037279016810026815,-0.13833001255989075,0.09479483293884848,0.10203626066644482,0.09767272267068967,-0.29326239091799106,0.9581643608304531,1,0,0,0,1,0,-1,1
D3b,2084,0,393,5.295981761638497,2.39515154592938,-0.1382162754911975,-0.16790126623370863,0.03447986912079692,-0.08796663582324982,0.08894760314890068,0.09552293194592051,0.09144237263289734,-0.4772512849388192,0.9581643608304531,1,0,1,0,1,0,-1,1
D3b,2084,0,394,5.356976825944215,2.128282605036624,-0.12710527598081406,-0.147313740389918,0.001932556603121444,-0.15534180402755737,0.00500755970821981,0.005234605049964218,0.005015278991559948,-0.4208338735681961,0.9581643608304531,1,0,0,1,1,0,-1,1
D3b,2084,0,395,5.352531154607998,1.8626291214805555,-0.12185687314142207,-0.13238282416440778,-0.022269547618481766,-0.1962822675704956,-0.057621540604330314,-0.0612608364281836,-0.058659122981511914,-0.37854119057306074,0.9581643608304531,0,0,0,0,1,1,-1,-1
D3b,2084,0,396,5.310822468760064,1.5992873433651482,-0.12456040551446029,-0.11787340849283308,-0.03160340271612825,-0.21189796924591064,-0.08159323851938005,-0.08741796552544076,-0.0836881725809384,-0.33663319850031326,0.9581643608304531,0,0,0,0,1,1,-1,-1
D3b,2084,0,397,5.490743502228016,1.335694749024121,-0.1188974438143515,-0.1556976584575903,-0.029434791610053204,-0.22575390338897705,-0.07629481180466775,-0.08159538892118434,-0.07811744075699148,-0.4454283730914019,0.9581643608304531,0,0,0,0,1,1,-1,-1
D3b,2084,0,398,6.128201354160652,1.0457206746480168,-0.10127994399315118,-0.14317231624218296,-0.06066438637489056,-0.2985992133617401,-0.15716084040269054,-0.18142324885339414,-0.1649718677289013,-0.4338610980060521,0.9117058100690492,0,0,0,0,1,1,-1,-1
D3b,2084,0,399,6.648430258322559,0.7302822196147218,-0.09732283137360384,-0.15488135609284245,-0.06013895886273781,-0.3020302355289459,-0.1566455398032041,-0.1807531012279067,-0.1643630220443763,-0.4707787273544241,0.9117058100690492,0,0,0,0,1,1,-1,-1
D3b,2084,0,400,7.087164018267028,0.39515276012983946,-0.09300485195601522,-0.16638333653222162,-0.05763548129324589,-0.3098253607749939,-0.1509119607736669,-0.17379043436480954,-0.1580349327157887,-0.5064374626561785,0.9117058100690492,0,0,0,0,1,1,-1,-1
D3b,2084,0,401,7.440797169662507,0.04524397310686368,-0.0847866379743833,-0.15351062549939004,-0.07700671272076873,-0.36238500475883484,-0.200970940557693,-0.2349427029959059,-0.21365544632506503,-0.4705244822901037,0.9117058100690492,0,0,0,0,1,1,-1,-1
D3b,2084,0,402,7.685039113146307,-0.373088778223881,-0.07864222697173798,-0.1528039485778099,-0.07917546424828234,-0.3679431676864624,-0.2069632013965846,-0.2423407554827113,-0.2203914019745674,-0.46959895440595245,0.9117058100690492,0,0,0,0,1,1,-1,-1
D3b,2084,0,403,8.004905241420856,-0.7485238298556922,-0.07309180231398962,-0.15457570951976424,-0.07983854463586736,-0.37962257862091064,-0.2093231632519068,-0.24758377815598273,-0.22301732591371237,-0.4807212169461391,0.9032390161457415,0,0,0,0,1,1,-1,-1
D3b,2084,0,404,8.346008516544229,-1.1335490637361048,-0.06427143116378928,-0.16045488037834563,-0.07620740750811848,-0.38386496901512146,-0.2008013212192014,-0.23686187831200858,-0.21334422414742737,-0.49999651713805277,0.9032390161457415,0,0,0,0,1,1,-1,-1
D3b,2084,0,405,8.538068015499647,-1.7571588980388455,-0.056379471246278345,-0.16061107187302923,-0.07807285956813695,-0.400521457195282,-0.20596869994712674,-0.24329668930826948,-0.21914755937930236,-0.5014521614408549,0.9032390161457415,0,0,0,0,1,1,-1,-1
D3b,2084,0,406,8.625945005533588,-2.1729998578355207,-0.04756963425038016,-0.15958728612539919,-0.07890444735443164,-0.4085034728050232,-0.20828021119595472,-0.24617950233542477,-0.22174794618673774,-0.4988483644940199,0.9032390161457415,0,0,0,0,1,1,-1,-1
