source,route,seed,start,end,ticks
D3b,2084,0,382,382,1
D3b,2084,0,386,391,6
D3b,2084,0,393,394,2
D3b,2084,1,427,427,1
D3b,2084,1,433,439,7
D3b,2084,1,1597,1597,1
D3b,2084,1,1599,1600,2
D3b,2084,1,2729,2740,12
D3b,2084,1,2817,2819,3
D3b,2084,1,2824,2824,1
D3b,2084,1,2826,2830,5
D3b,2084,2,385,387,3
D3b,2084,2,390,392,3
D3b,27529,0,373,373,1
D3b,27529,0,378,379,2
D3b,27529,0,381,381,1
D3b,27529,1,379,379,1
D3b,27529,1,384,386,3
D3b,27529,1,391,391,1
D3b,27529,2,500,501,2
W2,17569,0,372,372,1
W2,17569,0,386,387,2
W2,17569,0,483,483,1
W2,17569,0,491,491,1
W2,17569,0,497,498,2
W2,17569,1,242,243,2
W2,17569,1,375,376,2
W2,17569,1,379,379,1
W2,17569,1,470,476,7
W2,17569,1,478,479,2
W2,17569,1,623,624,2
W2,17569,1,627,629,3
W2,17569,1,631,636,6
W2,17569,1,641,644,4
W2,17569,2,351,355,5
W2,17569,2,395,395,1
W2,17569,2,397,403,7
W2,17569,2,407,407,1
W2,17569,2,409,412,4
W2,2091,0,322,323,2
W2,2091,0,325,326,2
W2,2091,0,329,338,10
W2,2091,0,340,340,1
W2,2091,0,652,652,1
W2,2091,1,309,309,1
W2,2091,1,311,319,9
W2,2091,1,358,359,2
W2,2091,1,361,371,11
W2,2091,1,374,374,1
W2,2091,1,379,380,2
W2,2091,1,390,390,1
W2,2091,1,392,395,4
W2,2091,2,309,322,14
W2,2091,2,324,327,4
W2,2091,2,330,330,1
W2,2091,2,334,335,2
W2,2091,2,355,366,12
W2,2091,2,368,368,1
W2,25381,0,186,186,1
W2,25381,2,187,188,2
W2,25381,2,288,288,1
W2,25424,0,208,211,4
W2,25424,0,213,217,5
W2,25424,0,220,222,3
W2,25424,0,2156,2156,1
W2,25424,1,206,206,1
W2,25424,1,208,212,5
W2,25424,1,215,221,7
W2,25424,1,224,226,3
W2,25424,1,2137,2143,7
W2,25424,1,2150,2150,1
W2,25424,1,2152,2154,3
W2,25424,1,2158,2159,2
W2,25424,1,2192,2193,2
W2,25424,2,209,213,5
W2,25424,2,215,216,2
W2,25424,2,218,222,5
W2,25424,2,225,226,2
W2,25424,2,2136,2142,7
W2,25424,2,2148,2148,1
W2,25424,2,2178,2178,1
W2,25424,2,2180,2180,1
W2,26405,2,403,403,1
W2,27494,0,153,154,2
W2,27494,0,156,157,2
W2,27494,1,147,150,4
W2,27494,2,139,139,1
W2,27494,2,144,149,6
W2,3514,0,126,133,8
W2,3514,1,92,92,1
W2,3514,1,125,133,9
W2,3514,1,225,225,1
W2,3514,2,125,134,10
W2,2050,0,159,159,1
W2,2050,1,161,163,3
W2,2050,2,164,166,3
W2,2084,0,413,413,1
W2,2084,0,426,431,6
W2,2084,1,478,491,14
W2,2084,1,495,495,1
W2,2084,2,411,412,2
W2,2084,2,416,418,3
W2,25318,0,197,202,6
W2,25318,0,232,233,2
W2,25318,0,235,235,1
W2,25318,0,247,248,2
W2,25318,0,484,484,1
W2,25318,0,513,516,4
W2,25318,1,201,203,3
W2,25318,1,237,241,5
W2,25318,2,198,204,7
W2,25318,2,230,231,2
W2,25318,2,238,238,1
W2,25318,2,240,240,1
W2,25318,2,242,242,1
W2,25318,2,472,473,2
W2,25318,2,478,479,2
W2,25318,2,532,532,1
W2,25318,2,534,538,5
W2,27529,0,796,796,1
W2,27529,0,800,812,13
W2,27529,1,492,492,1
W2,27529,1,496,496,1
W2,27529,1,498,498,1
W2,27529,2,468,468,1
W2,27529,2,472,478,7
W2,27529,2,507,507,1
W2,3072,0,399,403,5
W2,3072,1,400,401,2
