source,route,seed,arm,step,t,speed,speed_3d,steer,b_shadow_steer,plan_k_right,k_cmd_right,k_ach_right,k_nom_right,k_ack_right,k_unscaled_right,replay_diff,reason,yaw_rate_right,world_x,world_y,yaw_deg
D3b,2084,0,B,382,19.150000285357237,1.6959032243310352,1.696533555070893,-0.059404172003269196,-0.05940417179734342,-0.09452483746288752,nan,-0.014208624528855029,-0.024638157895103187,-0.024163986517164067,-0.02541663988513272,nan,,-0.02409645215179428,-1387.8802490234375,5323.14599609375,-0.206390380859375
D3b,2084,0,B,386,19.35000028833747,2.781527984454692,2.782202211050933,-0.0552835650742054,-0.055283566158678805,-0.12713578690118627,nan,-0.01542735614208775,-0.022460686212855057,-0.022065952503072455,-0.023648025235604712,nan,,-0.04291162283536605,-1387.4329833984375,5323.13427734375,-0.578277587890625
D3b,2084,0,B,387,19.400000289082527,3.156114282029596,3.1574998931431573,-0.05297573283314705,-0.05297573332157401,-0.1313517781937379,nan,-0.021008198844377678,-0.02136750474145527,-0.021009954207096247,-0.02265800743729744,nan,,-0.06630427641245805,-1387.282470703125,5323.12841796875,-0.7464599013328552
D3b,2084,0,B,388,19.450000289827585,3.5449930938506546,3.546561128041489,-0.07563294470310211,-0.07563294702933894,-0.13024366306380347,nan,-0.02083155707730127,-0.03031782453219905,-0.02960301152606864,-0.0323956921945339,nan,,-0.07384772597318873,-1387.1121826171875,5323.12109375,-0.9495237469673157
D3b,2084,0,B,389,19.500000290572643,3.9027600874300004,3.9057014231930034,-0.09091217815876007,-0.09091217966543304,-0.12966950987061662,nan,-0.02798427931245656,-0.036230454883412117,-0.03521431943360157,-0.03898978689248887,nan,,-0.10921592837614852,-1386.9237060546875,5323.111328125,-1.231842041015625
D3b,2084,0,B,390,19.5500002913177,4.250226392908352,4.254737986573791,-0.10052479803562164,-0.10052479482359357,-0.1301319501876954,nan,-0.03360673879860754,-0.03982114610155257,-0.03859702030428088,-0.04315212612817902,nan,,-0.14283624822141888,-1386.7181396484375,5323.09814453125,-1.610382080078125
D3b,2084,0,B,391,19.60000029206276,4.595625665433759,4.601550973202574,-0.13833001255989075,-0.13833000971211326,-0.13398934750580974,nan,-0.03722554297838069,-0.05463287799228585,-0.05235479742532032,-0.059650852717405424,nan,,-0.17107466072115374,-1386.4952392578125,5323.08056640625,-2.073211908340454
D3b,2084,0,B,393,19.700000293552876,5.2963671824405925,5.29892863419629,-0.08796663582324982,-0.08796663393576941,-0.1382162754911975,nan,-0.021980636868650583,-0.03409692088998955,-0.03319544892546952,-0.03771657885971513,nan,,-0.1164175237602647,-1385.9990234375,5323.03564453125,-3.141632318496704
D3b,2084,0,B,394,19.750000294297934,5.357358253799333,5.360858909498141,-0.15534180402755737,-0.1553418102860451,-0.12710527598081406,nan,-0.02603101457334865,-0.060544296947046286,-0.05775912285699643,-0.06715596364855565,nan,,-0.13945747077930012,-1385.732177734375,5323.01171875,-3.5199286937713623
D3b,2084,0,B,395,19.80000029504299,5.352839460098067,5.361341230987072,-0.1962822675704956,-0.1962822610636552,-0.12185687314142207,nan,-0.04459598359699038,-0.07696475895573258,-0.07251942124627382,-0.08547855762986732,nan,,-0.23871514075985623,-1385.466552734375,5322.982421875,-4.089601039886475
D3b,2084,0,B,396,19.85000029578805,5.311026787378673,5.3237780702789586,-0.21189796924591064,-0.21189796528882449,-0.12456040551446029,nan,-0.05798926301701823,-0.08338053880599665,-0.07818818423600889,-0.09258088086744588,nan,,-0.30798252926373126,-1385.2032470703125,5322.9453125,-4.907808303833008
D3b,2084,0,B,397,19.900000296533108,5.490894296418391,5.510326136745901,-0.22575390338897705,-0.22575390034251744,-0.1188974438143515,nan,-0.0696655138729777,-0.088726053769009,-0.08286997524251696,-0.09894303234270485,nan,,-0.3825259727821896,-1384.939697265625,5322.9013671875,-5.935794353485107
D3b,2084,0,B,398,19.950000297278166,6.128424018386932,6.155463869665031,-0.2985992133617401,-0.29859921652409765,-0.10127994399315118,nan,-0.0778007442708031,-0.11835768562620551,-0.10816171564154625,-0.13351005907546779,nan,,-0.4767959498375692,-1384.6497802734375,5322.8427734375,-7.213599681854248
D3b,2084,0,B,399,20.000000298023224,6.64878546765959,6.690308135594576,-0.3020302355289459,-0.30203023263149786,-0.09732283137360384,nan,-0.09367432657527956,-0.11914646812072104,-0.10882007378178585,-0.13519190793836713,nan,,-0.6228205012265173,-1384.334228515625,5322.767578125,-8.827557563781738
D3b,2084,0,B,400,20.050000298768282,7.087670835743089,7.135700219174888,-0.3098253607749939,-0.30982537354032197,-0.09300485195601522,nan,-0.09996679596850529,-0.12187751415548191,-0.1110937194474433,-0.13903342716200984,nan,,-0.7085317443286547,-1383.9991455078125,5322.67236328125,-10.770859718322754
D3b,2084,0,B,401,20.10000029951334,7.441428308973157,7.493837257414745,-0.36238500475883484,-0.3623850186169147,-0.0847866379743833,nan,-0.10479429593476834,-0.1440896020426082,-0.12925614563060625,-0.16575175299371403,nan,,-0.7798192403878959,-1383.6492919921875,5322.55908203125,-12.928028106689453
D3b,2084,0,B,402,20.150000300258398,7.685699896300372,7.742676361325731,-0.3679431676864624,-0.3679431754847367,-0.07864222697173798,nan,-0.11275279738576138,-0.14614203496442296,-0.13090533192716391,-0.16866878043985423,nan,,-0.8665841631753232,-1383.29248046875,5322.42724609375,-15.302998542785645
D3b,2084,0,B,403,20.200000301003456,8.005565275072897,8.069412592623852,-0.37962257862091064,-0.37962258092231216,-0.07309180231398962,nan,-0.11951858809023713,-0.15077741064346706,-0.13461227140353538,-0.1748613937238777,nan,,-0.9568138585409435,-1382.9290771484375,5322.2734375,-17.944129943847656
