source,route,seed,path,ticks,max_c_replay_diff,max_b_replay_diff
D3b,2084,0,/data/runs/b2d/tfv6-d3/factorial/cases/2/route-2084/seed-0/B/attempt-1/frames.jsonl,537,1.8821749714348357e-15,4.4784971231504045e-08
D3b,2084,1,/data/runs/b2d/tfv6-d3/factorial/cases/2/route-2084/seed-1/B/attempt-1/frames.jsonl,2954,1.1540790025021952e-15,6.780665257055674e-08
D3b,2084,2,/data/runs/b2d/tfv6-d3/factorial/cases/2/route-2084/seed-2/B/attempt-1/frames.jsonl,530,1.7568954104041357e-15,6.098643134944126e-08
D3b,27529,0,/data/runs/b2d/tfv6-d3/factorial/cases/2/route-27529/seed-0/B/attempt-1/frames.jsonl,545,1.8318679906315083e-15,5.583396128772122e-08
D3b,27529,1,/data/runs/b2d/tfv6-d3/factorial/cases/2/route-27529/seed-1/B/attempt-1/frames.jsonl,563,1.951563910473908e-15,6.656659179427038e-08
D3b,27529,2,/data/runs/b2d/tfv6-d3/factorial/cases/2/route-27529/seed-2/B/attempt-1/frames.jsonl,672,1.8557204384261894e-15,6.19030229298545e-08
W2,17569,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-17569/seed-0/B/attempt-1/frames.jsonl,505,2.55351295663786e-15,5.3059093174656624e-08
W2,17569,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-17569/seed-1/B/attempt-1/frames.jsonl,644,7.438494264988549e-15,4.0910639931279746e-08
W2,17569,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-17569/seed-2/B/attempt-1/frames.jsonl,508,4.440892098500626e-15,5.013316994872952e-08
W2,2091,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-2091/seed-0/B/attempt-1/frames.jsonl,746,7.74727504371242e-15,8.702933451676387e-08
W2,2091,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-2091/seed-1/B/attempt-1/frames.jsonl,506,2.7200464103316335e-15,3.9495035908387877e-08
W2,2091,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-2091/seed-2/B/attempt-1/frames.jsonl,3999,6.106226635438361e-16,1.5002996428536974e-08
W2,25378,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25378/seed-0/B/attempt-1/frames.jsonl,261,4.163336342344337e-17,6.278424828642937e-10
W2,25378,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25378/seed-1/B/attempt-1/frames.jsonl,252,2.949029909160572e-17,5.583609824499902e-10
W2,25378,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25378/seed-2/B/attempt-1/frames.jsonl,248,3.122502256758253e-17,1.7846420088257764e-10
W2,25381,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25381/seed-0/B/attempt-1/frames.jsonl,439,7.91033905045424e-16,2.5789654717334187e-08
W2,25381,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25381/seed-1/B/attempt-1/frames.jsonl,439,7.91033905045424e-16,3.8675444014035776e-08
W2,25381,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25381/seed-2/B/attempt-1/frames.jsonl,439,9.43689570931383e-16,3.446617619085046e-08
W2,25424,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25424/seed-0/B/attempt-1/frames.jsonl,2254,4.929390229335695e-14,6.219023679365776e-08
W2,25424,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25424/seed-1/B/attempt-1/frames.jsonl,2290,1.6653345369377348e-13,6.309479277932795e-08
W2,25424,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-25424/seed-2/B/attempt-1/frames.jsonl,2278,4.196643033083092e-14,5.8267610680839965e-08
W2,26405,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-26405/seed-0/B/attempt-1/frames.jsonl,1587,5.440092820663267e-15,6.800506574533571e-08
W2,26405,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-26405/seed-1/B/attempt-1/frames.jsonl,539,5.440092820663267e-15,4.8543694119995706e-08
W2,26405,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-26405/seed-2/B/attempt-1/frames.jsonl,1612,2.842170943040401e-14,5.565507316118712e-08
W2,27494,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-27494/seed-0/B/attempt-1/frames.jsonl,1517,8.856942956825264e-13,7.443993088607215e-08
W2,27494,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-27494/seed-1/B/attempt-1/frames.jsonl,1517,7.044365091246618e-14,5.8393719970517566e-08
W2,27494,2,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-27494/seed-2/B/attempt-1/frames.jsonl,1515,1.4277468096679513e-13,5.352838899908008e-08
W2,28198,0,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-28198/seed-0/B/attempt-1/frames.jsonl,316,1.304512053934559e-15,2.7394318313778143e-08
W2,28198,1,/data/runs/b2d/tfv6-w2/formal/level1/cases/1/route-28198/seed-1/B/attempt-1/frames.jsonl,315,1.7694179454963432e-15,2.795569956082211e-08
