route_id,preset,seed,attempt,selected_attempt,official_status,process_status,completion_pct,full_cte_rms_m,precollision_cte_rms_m,precollision_state,full_cte_samples,precollision_cte_samples,driving_completed,capped,report_source,telemetry_source
17569,carla,0,1,True,Completed,finished,100,0.31150812752680984,0.24746322998709144,available,329,253,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/17569/1/control.jsonl
2091,carla,0,1,True,Completed,finished,100,1.0275081938166954,0.10425608723785643,available,3882,113,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/2091/1/control.jsonl
25378,carla,0,1,True,Completed,finished,100,0.07968209273772736,0.07968209273772736,available,286,286,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25378/1/control.jsonl
25381,carla,0,1,True,Completed,finished,100,0.07592926173094576,0.08131705693806673,available,390,223,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25381/1/control.jsonl
25424,carla,0,1,True,Failed - TickRuntime,finished,47.26,0.0615603718830472,0.0412539424073891,available,4000,159,False,True,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/25424/1/control.jsonl
26405,carla,0,1,True,Completed,finished,100,0.09413484692833526,0.09413484692833526,available,383,383,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/26405/1/control.jsonl
27494,carla,0,1,True,Completed,finished,100,0.24993449833260323,0.3538067950921721,available,471,162,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/27494/1/control.jsonl
28198,carla,0,1,True,Completed,finished,100,0.24107879364898718,0.24107879364898718,available,252,252,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/28198/1/control.jsonl
3255,carla,0,1,True,Completed,finished,100,0.08285912597296019,0.06065666065396494,available,695,172,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3255/1/control.jsonl
3514,carla,0,1,True,Completed,finished,100,1.1815837129485631,3.0939968720043316,available,679,36,True,False,/data/runs/b2d/controller/formal-v4/carla-seed0/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/3514/1/control.jsonl
17569,carla,1,1,True,Completed,finished,100,0.31150812752680984,0.24746322998709144,available,329,253,True,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/17569/1/control.jsonl
2091,carla,1,1,True,Failed - TickRuntime,finished,60.64,1.480507429300244,0.10425608723785643,available,4000,113,False,True,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/2091/1/control.jsonl
25378,carla,1,1,True,Completed,finished,100,0.07968209273772736,0.07968209273772736,available,286,286,True,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25378/1/control.jsonl
25381,carla,1,1,True,Completed,finished,100,0.07592926173094576,0.08131705693806673,available,390,223,True,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25381/1/control.jsonl
25424,carla,1,1,True,Failed - TickRuntime,finished,47.26,0.0615603718830472,0.0412539424073891,available,4000,159,False,True,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/25424/1/control.jsonl
26405,carla,1,1,True,Completed,finished,100,0.09413484692833526,0.09413484692833526,available,383,383,True,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/26405/1/control.jsonl
27494,carla,1,1,True,Completed,finished,100,0.24993449833260323,0.3538067950921721,available,471,162,True,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/27494/1/control.jsonl
28198,carla,1,1,True,Completed,finished,100,0.24107879364898718,0.24107879364898718,available,252,252,True,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/28198/1/control.jsonl
3255,carla,1,1,False,,server_died_rc139,,,,missing_telemetry,,,,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3255/1/control.jsonl
3255,carla,1,2,True,Completed,finished,100,0.08285912597296019,0.06065666065396494,available,695,172,True,False,/data/runs/b2d/controller/formal-v4/carla-seed1/controller-report.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3255/2/control.jsonl
